Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Rob Gronkowski,NE,@OAK,5,80,1,14.0
,Travis Kelce,KC,@NYG,7,80,1,14.0
,Evan Engram,NYG,KC,7,75,1,13.5
,Zach Ertz,PHI,@DAL,6,70,1,13.0
,Vernon Davis,WAS,@NO,5,55,1,11.5
,Jimmy Graham,SEA,ATL,5,50,1,11.0
,Hunter Henry,LAC,BUF,4,45,1,10.5
,Tyler Kroft,CIN,@DEN,4,45,1,10.5
,Jason Witten,DAL,PHI,5,45,1,10.5
,Marcedes Lewis,JAC,@CLE,3,30,1,9.0
,Delanie Walker,TEN,@PIT,5,60,0,6.0
,Cameron Brate,TB,@MIA,4,45,0,4.5
,Jermaine Gresham,ARI,@HOU,4,45,0,4.5
,Charles Clay,BUF,@LAC,4,40,0,4.0
,C.J. Fiedorowicz,HOU,ARI,4,40,0,4.0
,Kyle Rudolph,MIN,LAR,4,40,0,4.0
,Jared Cook,OAK,NE,4,35,0,3.5
,Austin Hooper,ATL,@SEA,3,30,0,3.0
,Ben Watson,BAL,@GB,3,30,0,3.0
,Seth Devalve,CLE,JAC,2,25,0,2.5
,Adam Shaheen,CHI,DET,2,25,0,2.5
,Julius Thomas,MIA,TB,2,25,0,2.5
,Stephen Anderson,HOU,ARI,2,20,0,2.0
,Eric Ebron,DET,@CHI,2,20,0,2.0
,Virgil Green,DEN,CIN,2,20,0,2.0
,Tyler Higbee,LAR,@MIN,2,20,0,2.0
,David Njoku,CLE,JAC,2,20,0,2.0
,Gerald Everett,LAR,@MIN,1,15,0,1.5
,Richard Rodgers,GB,BAL,1,15,0,1.5
,Trey Burton,PHI,@DAL,1,10,0,1.0
,Darren Fells,DET,@CHI,1,10,0,1.0
,Coby Fleener,NO,WAS,1,10,0,1.0
,Antonio Gates,LAC,BUF,1,10,0,1.0
,O.J. Howard,TB,@MIA,1,10,0,1.0
,Jesse James,PIT,TEN,1,10,0,1.0
,Lance Kendricks,GB,BAL,1,10,0,1.0
,Vance McDonald,PIT,TEN,1,10,0,1.0
,Nick O'Leary,BUF,@LAC,1,10,0,1.0
