Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Evan Engram,NYG,@WAS,7,75,1,13.5
,Travis Kelce,KC,BUF,6,75,1,13.5
,Rob Gronkowski,NE,MIA,5,70,1,13.0
,Zach Ertz,PHI,CHI,5,65,1,12.5
,Delanie Walker,TEN,@IND,6,65,1,12.5
,Vernon Davis,WAS,NYG,5,60,1,12.0
,Greg Olsen,CAR,@NYJ,5,60,1,12.0
,Jack Doyle,IND,TEN,6,55,1,11.5
,Jimmy Graham,SEA,@SF,5,55,1,11.5
,Jared Cook,OAK,DEN,5,45,1,10.5
,Jason Witten,DAL,LAC,5,45,1,10.5
,Charles Clay,BUF,@KC,4,40,1,10.0
,Ben Watson,BAL,HOU,4,40,1,10.0
,Tyler Kroft,CIN,CLE,3,30,1,9.0
,Hunter Henry,LAC,@DAL,3,40,0,4.0
,Kyle Rudolph,MIN,@DET,4,40,0,4.0
,Austin Seferian-Jenkins,NYJ,CAR,5,40,0,4.0
,C.J. Fiedorowicz,HOU,@BAL,3,35,0,3.5
,Cameron Brate,TB,@ATL,3,30,0,3.0
,Austin Hooper,ATL,TB,3,30,0,3.0
,Marcedes Lewis,JAC,@ARI,3,30,0,3.0
,Garrett Celek,SF,SEA,2,25,0,2.5
,Jermaine Gresham,ARI,JAC,2,25,0,2.5
,George Kittle,SF,SEA,2,25,0,2.5
,Adam Shaheen,CHI,@PHI,2,25,0,2.5
,Julius Thomas,MIA,@NE,2,25,0,2.5
,Stephen Anderson,HOU,@BAL,2,20,0,2.0
,Eric Ebron,DET,MIN,2,20,0,2.0
,Coby Fleener,NO,@LAR,2,20,0,2.0
,Virgil Green,DEN,@OAK,2,20,0,2.0
,Tyler Higbee,LAR,NO,2,20,0,2.0
,Richard Rodgers,GB,@PIT,2,20,0,2.0
,Ricky Seals-Jones,ARI,JAC,2,20,0,2.0
,Seth Devalve,CLE,@CIN,1,15,0,1.5
,Gerald Everett,LAR,NO,1,15,0,1.5
,O.J. Howard,TB,@ATL,1,15,0,1.5
,David Njoku,CLE,@CIN,1,15,0,1.5
,Trey Burton,PHI,CHI,1,10,0,1.0
,Ed Dickson,CAR,@NYJ,1,10,0,1.0
,Darren Fells,DET,MIN,1,10,0,1.0
,Antonio Gates,LAC,@DAL,1,10,0,1.0
,Jesse James,PIT,GB,1,10,0,1.0
,Lance Kendricks,GB,@PIT,1,10,0,1.0
,Vance McDonald,PIT,GB,1,10,0,1.0
,Nick O'Leary,BUF,@KC,1,10,0,1.0
,Dion Sims,CHI,@PHI,1,10,0,1.0
