Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Kai Forbath,MIN,@CLE,3,0,2,0,11.0
,Randy Bullock,CIN,IND,2,0,3,0,9.0
,Wil Lutz,NO,CHI,2,0,3,0,9.0
,Blair Walsh,SEA,HOU,2,0,3,0,9.0
,Harrison Butker,KC,DEN,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,ATL,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,@SEA,2,0,2,0,8.0
,Matt Prater,DET,PIT,2,0,2,0,8.0
,Nick Rose,WAS,DAL,2,0,2,0,8.0
,Giorgio Tavecchio,OAK,@BUF,2,0,2,0,8.0
,Adam Vinatieri,IND,@CIN,2,0,2,0,8.0
,Jake Elliott,PHI,SF,1,0,4,0,7.0
,Stephen Gostkowski,NE,LAC,1,0,4,0,7.0
,Mike Nugent,DAL,@WAS,1,0,4,0,7.0
,Cody Parkey,MIA,@BAL,2,0,1,0,7.0
,Chris Boswell,PIT,@DET,1,0,3,0,6.0
,Matt Bryant,ATL,@NYJ,1,0,3,0,6.0
,Graham Gano,CAR,@TB,1,0,3,0,6.0
,Steve Hauschka,BUF,OAK,1,0,3,0,6.0
,Patrick Murray,TB,CAR,1,0,3,0,6.0
,Nick Novak,LAC,@NE,1,0,3,0,6.0
,Connor Barth,CHI,@NO,1,0,2,0,5.0
,Zane Gonzalez,CLE,MIN,1,0,2,0,5.0
,Robbie Gould,SF,@PHI,1,0,2,0,5.0
,Brandon McManus,DEN,@KC,1,0,2,0,5.0
,Justin Tucker,BAL,MIA,1,0,2,0,5.0
