Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,@DET,24,105,1,4,45,0,21.0
,Ezekiel Elliott,DAL,@WAS,25,110,1,4,25,0,19.5
,LeSean McCoy,BUF,OAK,24,95,1,4,30,0,18.5
,Kareem Hunt,KC,DEN,22,95,1,4,25,0,18.0
,Mark Ingram,NO,CHI,23,80,1,3,25,0,16.5
,Joe Mixon,CIN,IND,19,75,1,4,30,0,16.5
,Melvin Gordon,LAC,@NE,16,65,1,6,35,0,16.0
,Jay Ajayi,MIA,@BAL,20,80,1,1,10,0,15.0
,Devonta Freeman,ATL,@NYJ,16,70,1,2,20,0,15.0
,Jordan Howard,CHI,@NO,20,80,1,1,10,0,15.0
,Carlos Hyde,SF,@PHI,14,60,1,2,20,0,14.0
,LeGarrette Blount,PHI,SF,18,70,1,1,5,0,13.5
,Javorius Allen,BAL,MIA,10,40,0,4,30,1,13.0
,Chris Thompson,WAS,DAL,8,30,0,5,40,1,13.0
,Dion Lewis,NE,LAC,14,55,1,1,10,0,12.5
,Latavius Murray,MIN,@CLE,11,45,1,1,10,0,11.5
,Theo Riddick,DET,PIT,3,10,0,6,45,1,11.5
,Alvin Kamara,NO,CHI,12,40,0,6,45,0,8.5
,Lamar Miller,HOU,@SEA,15,60,0,3,25,0,8.5
,Tarik Cohen,CHI,@NO,8,30,0,6,50,0,8.0
,Jerick McKinnon,MIN,@CLE,15,55,0,3,25,0,8.0
,C.J. Anderson,DEN,@KC,14,55,0,2,20,0,7.5
,Matt Forte,NYJ,ATL,11,45,0,3,25,0,7.0
,Frank Gore,IND,@CIN,15,50,0,2,20,0,7.0
,Duke Johnson,CLE,MIN,5,20,0,6,45,0,6.5
,Marlon Mack,IND,@CIN,9,35,0,4,30,0,6.5
,Christian McCaffrey,CAR,@TB,5,15,0,7,50,0,6.5
,Jalen Richard,OAK,@BUF,10,40,0,3,25,0,6.5
,DeAndre Washington,OAK,@BUF,12,45,0,2,20,0,6.5
,Tevin Coleman,ATL,@NYJ,9,35,0,3,25,0,6.0
,Isaiah Crowell,CLE,MIN,11,45,0,2,15,0,6.0
,Ameer Abdullah,DET,PIT,11,45,0,1,10,0,5.5
,Doug Martin,TB,CAR,13,55,0,0,0,0,5.5
,Bilal Powell,NYJ,ATL,9,35,0,2,20,0,5.5
,Thomas Rawls,SEA,HOU,9,35,0,3,20,0,5.5
,James White,NE,LAC,5,20,0,5,35,0,5.5
,Jamaal Charles,DEN,@KC,8,30,0,2,20,0,5.0
,Alex Collins,BAL,MIA,11,45,0,0,0,0,4.5
,Wendell Smallwood,PHI,SF,7,20,0,3,25,0,4.5
,Jonathan Stewart,CAR,@TB,11,45,0,0,0,0,4.5
,Giovani Bernard,CIN,IND,5,20,0,2,20,0,4.0
,D'Onta Foreman,HOU,@SEA,8,30,0,1,10,0,4.0
,Rob Kelley,WAS,DAL,11,40,0,0,0,0,4.0
,Eddie Lacy,SEA,HOU,7,35,0,1,5,0,4.0
,Mike Tolbert,BUF,OAK,10,30,0,1,10,0,4.0
,Matt Breida,SF,@PHI,6,25,0,1,10,0,3.5
,Devontae Booker,DEN,@KC,4,15,0,1,10,0,2.5
,Austin Ekeler,LAC,@NE,3,10,0,2,15,0,2.5
,Mike Gillislee,NE,LAC,6,25,0,0,0,0,2.5
,Charles Sims,TB,CAR,1,5,0,2,20,0,2.5
