Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Mason Crosby,GB,CHI,3,0,3,0,12.0
,Ryan Succop,TEN,@HOU,3,0,2,0,11.0
,Chris Boswell,PIT,@BAL,3,0,1,0,10.0
,Stephen Gostkowski,NE,CAR,2,0,4,0,10.0
,Matt Bryant,ATL,BUF,2,0,3,0,9.0
,Randy Bullock,CIN,@CLE,2,0,3,0,9.0
,Nick Folk,TB,NYG,2,0,3,0,9.0
,Younghoe Koo,LAC,PHI,2,0,3,0,9.0
,Brandon McManus,DEN,OAK,2,0,3,0,9.0
,Jason Myers,JAC,@NYJ,2,0,3,0,9.0
,Matt Prater,DET,@MIN,2,0,3,0,9.0
,Connor Barth,CHI,@GB,2,0,2,0,8.0
,Phil Dawson,ARI,SF,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,TEN,2,0,2,0,8.0
,Aldrick Rosas,NYG,@TB,2,0,2,0,8.0
,Giorgio Tavecchio,OAK,@DEN,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,JAC,2,0,1,0,7.0
,Steve Hauschka,BUF,@ATL,2,0,1,0,7.0
,Adam Vinatieri,IND,@SEA,2,0,1,0,7.0
,Dan Bailey,DAL,LAR,1,0,3,0,6.0
,Harrison Butker,KC,WAS,1,0,3,0,6.0
,Jake Elliott,PHI,@LAC,1,0,3,0,6.0
,Kai Forbath,MIN,DET,1,0,3,0,6.0
,Graham Gano,CAR,@NE,1,0,3,0,6.0
,Cody Parkey,MIA,NO,1,0,3,0,6.0
,Zane Gonzalez,CLE,CIN,1,0,2,0,5.0
,Robbie Gould,SF,@ARI,1,0,2,0,5.0
,Justin Tucker,BAL,PIT,1,0,2,0,5.0
,Wil Lutz,NO,@MIA,0,0,4,0,4.0
,Blair Walsh,SEA,IND,0,0,4,0,4.0
,Dustin Hopkins,WAS,@KC,0,0,3,0,3.0
,Greg Zuerlein,LAR,@DAL,0,0,3,0,3.0
