Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Tom Brady,NE,@MIA,24,37,305,3,0,0,0,0,27.3
,DeShone Kizer,CLE,GB,19,34,235,1,2,8,40,1,25.8
,Russell Wilson,SEA,@JAC,20,32,240,1,0,7,35,1,25.5
,Alex Smith,KC,OAK,25,37,280,2,0,5,25,0,24.5
,Carson Wentz,PHI,@LAR,21,34,265,2,0,5,25,0,23.8
,Cam Newton,CAR,MIN,19,30,230,2,0,7,40,0,23.5
,Kirk Cousins,WAS,@LAC,23,37,275,2,1,3,15,0,23.3
,Josh McCown,NYJ,@DEN,23,36,270,2,1,3,15,0,23.0
,Matthew Stafford,DET,@TB,24,37,280,2,0,1,5,0,22.5
,Jameis Winston,TB,DET,21,34,270,2,1,3,10,0,22.5
,Jacoby Brissett,IND,@BUF,20,35,245,2,1,5,20,0,22.3
,Philip Rivers,LAC,WAS,24,37,285,2,0,0,0,0,22.3
,Jimmy Garoppolo,SF,@HOU,19,39,270,2,1,1,5,0,22.0
,Jared Goff,LAR,PHI,25,38,265,2,1,2,5,0,21.8
,Case Keenum,MIN,@CAR,22,37,255,2,1,3,10,0,21.8
,Drew Brees,NO,@ATL,25,39,270,2,0,0,0,0,21.5
,Derek Carr,OAK,@KC,22,35,270,2,0,0,0,0,21.5
,Andy Dalton,CIN,CHI,21,33,235,2,0,3,15,0,21.3
,Blaine Gabbert,ARI,TEN,19,31,235,2,1,4,15,0,21.3
,Dak Prescott,DAL,@NYG,19,31,215,2,0,3,25,0,21.3
,Tom Savage,HOU,SF,22,38,265,2,1,0,0,0,21.3
,Eli Manning,NYG,DAL,20,33,255,2,0,0,0,0,20.8
,Ben Roethlisberger,PIT,BAL,22,38,255,2,1,0,0,0,20.8
,Matt Ryan,ATL,NO,22,33,245,2,1,1,5,0,20.8
,Trevor Siemian,DEN,NYJ,19,32,230,2,1,1,10,0,20.5
,Blake Bortles,JAC,SEA,20,32,245,1,1,6,25,0,18.8
,Jay Cutler,MIA,NE,19,32,240,1,2,2,10,0,17.0
,Brett Hundley,GB,@CLE,17,30,200,1,1,6,30,0,17.0
,Marcus Mariota,TEN,@ARI,17,28,210,1,1,4,25,0,17.0
,Joe Flacco,BAL,@PIT,19,33,225,1,1,2,5,0,15.8
,Nathan Peterman,BUF,IND,17,29,185,1,1,3,10,0,14.3
,Mitchell Trubisky,CHI,@CIN,13,23,165,1,1,5,20,0,14.3
