Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Stephen Gostkowski,NE,KC,3,0,3,0,12.0
,Randy Bullock,CIN,BAL,3,0,2,0,11.0
,Brandon McManus,DEN,LAC,3,0,2,0,11.0
,Matt Bryant,ATL,@CHI,2,0,3,0,9.0
,Mason Crosby,GB,SEA,2,0,3,0,9.0
,Graham Gano,CAR,@SF,2,0,3,0,9.0
,Sebastian Janikowski,OAK,@TEN,2,0,3,0,9.0
,Wil Lutz,NO,@MIN,2,0,3,0,9.0
,Connor Barth,CHI,ATL,2,0,2,0,8.0
,Chris Boswell,PIT,@CLE,2,0,2,0,8.0
,Steve Hauschka,BUF,NYJ,2,0,2,0,8.0
,Aldrick Rosas,NYG,@DAL,2,0,2,0,8.0
,Cairo Santos,KC,@NE,2,0,2,0,8.0
,Caleb Sturgis,PHI,@WAS,2,0,2,0,8.0
,Justin Tucker,BAL,@CIN,2,0,2,0,8.0
,Adam Vinatieri,IND,@LAR,2,0,2,0,8.0
,Greg Zuerlein,LAR,IND,2,0,2,0,8.0
,Dan Bailey,DAL,NYG,1,0,3,0,6.0
,Chandler Catanzaro,NYJ,@BUF,2,0,0,0,6.0
,Ka'imi Fairbairn,HOU,JAC,1,0,3,0,6.0
,Kai Forbath,MIN,NO,1,0,3,0,6.0
,Robbie Gould,SF,CAR,1,0,3,0,6.0
,Dustin Hopkins,WAS,PHI,1,0,3,0,6.0
,Younghoe Koo,LAC,@DEN,1,0,3,0,6.0
,Matt Prater,DET,ARI,1,0,3,0,6.0
,Blair Walsh,SEA,@GB,1,0,3,0,6.0
,Zane Gonzalez,CLE,PIT,1,0,2,0,5.0
,Jason Myers,JAC,@HOU,1,0,2,0,5.0
,Ryan Succop,TEN,OAK,0,0,4,0,4.0
,Phil Dawson,ARI,@DET,0,0,3,0,3.0
