Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Jake Elliott,PHI,@SEA,3,0,3,0,12.0
,Josh Lambo,JAC,IND,3,0,2,0,11.0
,Wil Lutz,NO,CAR,3,0,2,0,11.0
,Ryan Succop,TEN,HOU,3,0,2,0,11.0
,Stephen Gostkowski,NE,@BUF,2,0,4,0,10.0
,Chandler Catanzaro,NYJ,KC,2,0,3,0,9.0
,Travis Coons,LAC,CLE,2,0,3,0,9.0
,Nick Rose,WAS,@DAL,2,0,3,0,9.0
,Blair Walsh,SEA,PHI,2,0,3,0,9.0
,Greg Zuerlein,LAR,@ARI,2,0,3,0,9.0
,Dan Bailey,DAL,WAS,2,0,2,0,8.0
,Harrison Butker,KC,@NYJ,2,0,2,0,8.0
,Phil Dawson,ARI,LAR,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,@TEN,2,0,2,0,8.0
,Brandon McManus,DEN,@MIA,2,0,2,0,8.0
,Patrick Murray,TB,@GB,2,0,2,0,8.0
,Cody Parkey,MIA,DEN,2,0,2,0,8.0
,Randy Bullock,CIN,PIT,2,0,1,0,7.0
,Chris Boswell,PIT,@CIN,1,0,3,0,6.0
,Mason Crosby,GB,TB,1,0,3,0,6.0
,Kai Forbath,MIN,@ATL,1,0,3,0,6.0
,Graham Gano,CAR,@NO,1,0,3,0,6.0
,Steve Hauschka,BUF,NE,1,0,3,0,6.0
,Matt Prater,DET,@BAL,1,0,3,0,6.0
,Cairo Santos,CHI,SF,1,0,3,0,6.0
,Giorgio Tavecchio,OAK,NYG,1,0,3,0,6.0
,Matt Bryant,ATL,MIN,1,0,2,0,5.0
,Zane Gonzalez,CLE,@LAC,1,0,2,0,5.0
,Robbie Gould,SF,@CHI,1,0,2,0,5.0
,Aldrick Rosas,NYG,@OAK,1,0,2,0,5.0
,Justin Tucker,BAL,DET,1,0,2,0,5.0
,Adam Vinatieri,IND,@JAC,0,0,1,0,1.0
