Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Nick Folk,TB,CHI,3,0,3,0,12.0
,Justin Tucker,BAL,CLE,3,0,2,0,11.0
,Chris Boswell,PIT,MIN,2,0,3,0,9.0
,Matt Bryant,ATL,GB,2,0,3,0,9.0
,Phil Dawson,ARI,@IND,2,0,3,0,9.0
,Graham Gano,CAR,BUF,2,0,3,0,9.0
,Younghoe Koo,LAC,MIA,2,0,3,0,9.0
,Wil Lutz,NO,NE,2,0,3,0,9.0
,Giorgio Tavecchio,OAK,NYJ,2,0,3,0,9.0
,Blair Walsh,SEA,SF,2,0,3,0,9.0
,Dan Bailey,DAL,@DEN,2,0,2,0,8.0
,Randy Bullock,CIN,HOU,2,0,2,0,8.0
,Jake Elliott,PHI,@KC,2,0,2,0,8.0
,Steve Hauschka,BUF,@CAR,2,0,2,0,8.0
,Dustin Hopkins,WAS,@LAR,2,0,2,0,8.0
,Jason Myers,JAC,TEN,2,0,2,0,8.0
,Matt Prater,DET,@NYG,2,0,2,0,8.0
,Cairo Santos,KC,PHI,2,0,2,0,8.0
,Greg Zuerlein,LAR,WAS,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,@OAK,2,0,1,0,7.0
,Stephen Gostkowski,NE,@NO,1,0,4,0,7.0
,Adam Vinatieri,IND,ARI,2,0,1,0,7.0
,Mason Crosby,GB,@ATL,1,0,3,0,6.0
,Kai Forbath,MIN,@PIT,1,0,3,0,6.0
,Brandon McManus,DEN,DAL,1,0,3,0,6.0
,Cody Parkey,MIA,@LAC,1,0,3,0,6.0
,Aldrick Rosas,NYG,DET,1,0,3,0,6.0
,Ka'imi Fairbairn,HOU,@CIN,1,0,2,0,5.0
,Zane Gonzalez,CLE,@BAL,1,0,2,0,5.0
,Ryan Succop,TEN,@JAC,1,0,2,0,5.0
,Robbie Gould,SF,@SEA,1,0,1,0,4.0
,Connor Barth,CHI,@TB,0,0,3,0,3.0
