Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,LeSean McCoy,BUF,TB,25,100,1,4,35,0,19.5
,Ezekiel Elliott,DAL,@SF,23,100,1,4,25,0,18.5
,Melvin Gordon,LAC,DEN,21,85,1,7,40,0,18.5
,Kareem Hunt,KC,@OAK,23,100,1,4,25,0,18.5
,Le'Veon Bell,PIT,CIN,23,100,1,2,20,0,18.0
,Todd Gurley,LAR,ARI,23,95,1,4,25,0,18.0
,Jordan Howard,CHI,CAR,23,95,1,1,10,0,16.5
,Chris Ivory,JAC,@IND,21,85,1,2,20,0,16.5
,Mark Ingram,NO,@GB,21,75,1,3,25,0,16.0
,Jay Ajayi,MIA,NYJ,23,90,1,1,5,0,15.5
,Devonta Freeman,ATL,@NE,16,70,0,3,25,1,15.5
,Jerick McKinnon,MIN,BAL,16,60,1,4,35,0,15.5
,C.J. Anderson,DEN,@LAC,18,70,1,2,20,0,15.0
,Derrick Henry,TEN,@CLE,19,75,1,1,10,0,14.5
,Carlos Hyde,SF,DAL,15,65,1,2,20,0,14.5
,Javorius Allen,BAL,@MIN,14,55,1,3,25,0,14.0
,Frank Gore,IND,JAC,18,60,1,2,20,0,14.0
,Alvin Kamara,NO,@GB,9,30,0,6,50,1,14.0
,LeGarrette Blount,PHI,WAS,16,65,1,1,5,0,13.0
,Marshawn Lynch,OAK,KC,14,60,1,1,10,0,13.0
,Isaiah Crowell,CLE,TEN,13,50,1,1,10,0,12.0
,Chris Thompson,WAS,@PHI,6,25,0,4,35,1,12.0
,Aaron Jones,GB,NO,11,45,1,1,10,0,11.5
,James White,NE,ATL,3,15,0,5,35,1,11.0
,Joe Mixon,CIN,@PIT,15,60,0,2,20,0,8.0
,Doug Martin,TB,@BUF,17,70,0,0,0,0,7.0
,Adrian Peterson,ARI,@LAR,19,65,0,1,5,0,7.0
,Tarik Cohen,CHI,CAR,10,40,0,3,25,0,6.5
,Tevin Coleman,ATL,@NE,10,40,0,3,25,0,6.5
,Orleans Darkwa,NYG,SEA,14,55,0,1,10,0,6.5
,Matt Forte,NYJ,@MIA,10,40,0,3,25,0,6.5
,Christian McCaffrey,CAR,@CHI,6,20,0,5,45,0,6.5
,DeMarco Murray,TEN,@CLE,9,40,0,3,25,0,6.5
,Duke Johnson,CLE,TEN,4,15,0,5,40,0,5.5
,Marlon Mack,IND,JAC,8,30,0,3,25,0,5.5
,Jonathan Stewart,CAR,@CHI,11,45,0,1,10,0,5.5
,Giovani Bernard,CIN,@PIT,5,20,0,4,30,0,5.0
,Dion Lewis,NE,ATL,10,40,0,1,10,0,5.0
,Mike Tolbert,BUF,TB,12,35,0,2,15,0,5.0
,Matt Breida,SF,DAL,9,35,0,1,10,0,4.5
,Jamaal Charles,DEN,@LAC,9,35,0,1,10,0,4.5
,Alex Collins,BAL,@MIN,11,45,0,0,0,0,4.5
,Wayne Gallman,NYG,SEA,9,35,0,1,10,0,4.5
,Rob Kelley,WAS,@PHI,12,45,0,0,0,0,4.5
,Eddie Lacy,SEA,@NYG,9,40,0,1,5,0,4.5
,Ty Montgomery,GB,NO,9,35,0,1,10,0,4.5
,Latavius Murray,MIN,BAL,9,35,0,1,10,0,4.5
,Thomas Rawls,SEA,@NYG,9,35,0,2,10,0,4.5
,Mike Gillislee,NE,ATL,10,40,0,0,0,0,4.0
,T.J. Yeldon,JAC,@IND,5,20,0,2,20,0,4.0
,Charles Sims,TB,@BUF,1,5,0,4,30,0,3.5
,Wendell Smallwood,PHI,WAS,8,25,0,1,10,0,3.5
,Shane Vereen,NYG,SEA,3,10,0,3,25,0,3.5
,Jalen Richard,OAK,KC,5,20,0,1,10,0,3.0
,C.J. Spiller,KC,@OAK,4,15,0,2,15,0,3.0
,Kerwynn Williams,ARI,@LAR,3,10,0,2,20,0,3.0
,Devontae Booker,DEN,@LAC,4,15,0,1,10,0,2.5
,Elijah McGuire,NYJ,@MIA,6,20,0,1,5,0,2.5
,Benny Cunningham,CHI,CAR,3,10,0,1,10,0,2.0
,Kenyan Drake,MIA,NYJ,3,10,0,1,10,0,2.0
,Austin Ekeler,LAC,DEN,3,10,0,1,10,0,2.0
,Jeremy Hill,CIN,@PIT,4,15,0,1,5,0,2.0
,C.J. Prosise,SEA,@NYG,3,10,0,1,10,0,2.0
,Jacquizz Rodgers,TB,@BUF,3,10,0,1,10,0,2.0
,DeAndre Washington,OAK,KC,3,10,0,1,10,0,2.0
,Damien Williams,MIA,NYJ,3,10,0,1,5,0,1.5
,Malcolm Brown,LAR,ARI,3,10,0,0,0,0,1.0
,James Conner,PIT,CIN,2,10,0,0,0,0,1.0
,Leonard Fournette,JAC,@IND,3,10,0,0,0,0,1.0
,Kyle Juszczyk,SF,DAL,1,5,0,1,5,0,1.0
,Alfred Morris,DAL,@SF,3,10,0,0,0,0,1.0
,Branden Oliver,LAC,DEN,3,10,0,0,0,0,1.0
,Samaje Perine,WAS,@PHI,3,10,0,0,0,0,1.0
