Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Zach Ertz,PHI,ARI,6,70,1,13.0
,Charles Clay,BUF,@CIN,5,60,1,12.0
,Jimmy Graham,SEA,@LAR,5,55,1,11.5
,Jason Witten,DAL,GB,5,55,1,11.5
,Martellus Bennett,GB,@DAL,4,50,1,11.0
,Travis Kelce,KC,@HOU,4,50,1,11.0
,Evan Engram,NYG,LAC,4,45,1,10.5
,Tyler Kroft,CIN,BUF,4,40,1,10.0
,Delanie Walker,TEN,@MIA,5,60,0,6.0
,Dwayne Allen,NE,@TB,4,45,0,4.5
,Jared Cook,OAK,BAL,5,40,0,4.0
,Zach Miller,CHI,MIN,3,40,0,4.0
,Kyle Rudolph,MIN,@CHI,4,40,0,4.0
,Ben Watson,BAL,@OAK,4,40,0,4.0
,Cameron Brate,TB,NE,3,35,0,3.5
,Seth Devalve,CLE,NYJ,3,35,0,3.5
,Eric Ebron,DET,CAR,3,35,0,3.5
,Ryan Griffin,HOU,KC,3,35,0,3.5
,Jesse James,PIT,JAC,3,35,0,3.5
,Austin Seferian-Jenkins,NYJ,@CLE,3,35,0,3.5
,Hunter Henry,LAC,@NYG,3,30,0,3.0
,Julius Thomas,MIA,TEN,3,30,0,3.0
,Brandon Williams,IND,SF,3,30,0,3.0
,Gerald Everett,LAR,SEA,2,25,0,2.5
,Jermaine Gresham,ARI,@PHI,2,25,0,2.5
,George Kittle,SF,@IND,2,25,0,2.5
,Marcedes Lewis,JAC,@PIT,2,25,0,2.5
,Nick Boyle,BAL,@OAK,2,20,0,2.0
,Ed Dickson,CAR,@DET,2,20,0,2.0
,Antonio Gates,LAC,@NYG,2,20,0,2.0
,O.J. Howard,TB,NE,2,20,0,2.0
,David Njoku,CLE,NYJ,2,20,0,2.0
,Trey Burton,PHI,ARI,1,10,0,1.0
,Brent Celek,PHI,ARI,1,10,0,1.0
,Rhett Ellison,NYG,LAC,1,10,0,1.0
,Tyler Higbee,LAR,SEA,1,10,0,1.0
,Nick O'Leary,BUF,@CIN,1,10,0,1.0
