Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Russell Wilson,SEA,PHI,25,39,295,2,0,7,35,1,32.3
,Tom Brady,NE,@BUF,23,35,290,3,0,0,0,0,26.5
,Cam Newton,CAR,@NO,19,30,230,1,0,9,50,1,26.5
,Philip Rivers,LAC,CLE,22,33,255,3,1,0,0,0,24.8
,Carson Wentz,PHI,@SEA,22,36,280,2,0,5,25,0,24.5
,Tyrod Taylor,BUF,NE,16,27,215,1,0,6,35,1,24.3
,Kirk Cousins,WAS,@DAL,23,38,280,2,1,3,15,0,23.5
,Josh McCown,NYJ,KC,23,37,275,2,1,3,15,0,23.3
,Jameis Winston,TB,@GB,22,35,280,2,1,3,10,0,23.0
,Blake Bortles,JAC,IND,21,33,255,2,1,5,20,0,22.8
,Alex Smith,KC,@NYJ,23,34,255,2,0,4,20,0,22.8
,Case Keenum,MIN,@ATL,22,38,260,2,1,3,10,0,22.0
,Drew Brees,NO,CAR,26,39,275,2,0,0,0,0,21.8
,Blaine Gabbert,ARI,LAR,19,31,235,2,1,5,20,0,21.8
,Jared Goff,LAR,@ARI,25,38,265,2,1,2,5,0,21.8
,Matthew Stafford,DET,@BAL,22,34,255,2,0,1,5,0,21.3
,Ben Roethlisberger,PIT,@CIN,23,38,260,2,1,0,0,0,21.0
,Matt Ryan,ATL,MIN,23,33,250,2,0,1,5,0,21.0
,Derek Carr,OAK,NYG,20,32,245,2,1,0,0,0,20.3
,Marcus Mariota,TEN,HOU,20,34,255,1,1,5,30,0,19.8
,Andy Dalton,CIN,PIT,18,29,210,2,0,2,10,0,19.5
,DeShone Kizer,CLE,@LAC,21,38,225,1,1,7,35,0,18.8
,Dak Prescott,DAL,WAS,20,33,230,1,0,3,25,0,18.0
,Jay Cutler,MIA,DEN,20,33,245,1,1,2,10,0,17.3
,Trevor Siemian,DEN,@MIA,20,34,245,1,1,1,10,0,17.3
,Brett Hundley,GB,TB,19,33,220,1,0,4,20,0,17.0
,Jacoby Brissett,IND,@JAC,18,30,215,1,1,5,20,0,16.8
,Geno Smith,NYG,@OAK,18,29,225,1,1,7,15,0,16.8
,Tom Savage,HOU,@TEN,21,36,250,1,1,0,0,0,16.5
,Jimmy Garoppolo,SF,@CHI,16,32,225,1,1,1,5,0,15.8
,Mitchell Trubisky,CHI,SF,15,25,180,1,1,6,25,0,15.5
,Joe Flacco,BAL,DET,17,30,205,1,1,2,5,0,14.8
