Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,BAL,27,120,1,4,35,0,21.5
,LeSean McCoy,BUF,IND,26,120,1,4,30,0,21.0
,Todd Gurley,LAR,PHI,18,80,1,6,40,0,18.0
,Alvin Kamara,NO,@ATL,13,65,0,6,50,1,17.5
,Kenyan Drake,MIA,NE,19,75,1,4,30,0,16.5
,Mark Ingram,NO,@ATL,17,75,1,5,30,0,16.5
,Jamaal Williams,GB,@CLE,20,85,1,2,20,0,16.5
,Giovani Bernard,CIN,CHI,17,75,1,3,25,0,16.0
,Leonard Fournette,JAC,SEA,20,80,1,2,20,0,16.0
,Melvin Gordon,LAC,WAS,17,75,1,3,20,0,15.5
,Lamar Miller,HOU,SF,16,65,1,4,30,0,15.5
,Carlos Hyde,SF,@HOU,15,60,1,4,30,0,15.0
,Christian McCaffrey,CAR,MIN,12,35,0,8,55,1,15.0
,Alfred Morris,DAL,@NYG,19,80,1,0,0,0,14.0
,Samaje Perine,WAS,@LAC,15,60,1,3,20,0,14.0
,Dion Lewis,NE,@MIA,16,65,1,1,10,0,13.5
,Latavius Murray,MIN,@CAR,15,60,1,2,15,0,13.5
,Alex Collins,BAL,@PIT,15,60,1,1,10,0,13.0
,LeGarrette Blount,PHI,@LAR,16,65,1,0,0,0,12.5
,Rex Burkhead,NE,@MIA,8,35,0,4,30,1,12.5
,Derrick Henry,TEN,@ARI,14,55,1,1,10,0,12.5
,Orleans Darkwa,NYG,DAL,15,70,0,3,25,0,9.5
,Devonta Freeman,ATL,NO,15,60,0,2,20,0,8.0
,Frank Gore,IND,@BUF,19,65,0,2,15,0,8.0
,Marshawn Lynch,OAK,@KC,18,70,0,1,10,0,8.0
,DeMarco Murray,TEN,@ARI,12,50,0,4,30,0,8.0
,Isaiah Crowell,CLE,GB,15,60,0,2,15,0,7.5
,Kareem Hunt,KC,OAK,15,50,0,4,25,0,7.5
,Jerick McKinnon,MIN,@CAR,9,40,0,4,35,0,7.5
,Kerwynn Williams,ARI,TEN,19,65,0,1,5,0,7.0
,C.J. Anderson,DEN,NYJ,14,55,0,1,10,0,6.5
,Jordan Howard,CHI,@CIN,15,60,0,1,5,0,6.5
,Theo Riddick,DET,@TB,8,30,0,5,35,0,6.5
,Devontae Booker,DEN,NYJ,10,40,0,2,20,0,6.0
,Matt Forte,NYJ,@DEN,10,40,0,2,20,0,6.0
,Duke Johnson,CLE,GB,6,25,0,4,35,0,6.0
,Austin Ekeler,LAC,WAS,8,30,0,3,25,0,5.5
,Bilal Powell,NYJ,@DEN,8,35,0,2,20,0,5.5
,Tevin Coleman,ATL,NO,7,30,0,2,20,0,5.0
,Doug Martin,TB,DET,14,50,0,0,0,0,5.0
,Jonathan Stewart,CAR,MIN,13,50,0,0,0,0,5.0
,Mike Davis,SEA,@JAC,10,45,0,0,0,0,4.5
,Tion Green,DET,@TB,11,45,0,0,0,0,4.5
,J.D. McKissic,SEA,@JAC,5,20,0,3,25,0,4.5
,Matt Breida,SF,@HOU,5,20,0,2,20,0,4.0
,Jay Ajayi,PHI,@LAR,6,25,0,1,10,0,3.5
,Aaron Jones,GB,@CLE,7,25,0,1,10,0,3.5
,Byron Marshall,WAS,@LAC,4,15,0,3,20,0,3.5
,DeAndre Washington,OAK,@KC,7,25,0,1,10,0,3.5
,Danny Woodhead,BAL,@PIT,3,10,0,4,25,0,3.5
,T.J. Yeldon,JAC,SEA,5,20,0,2,15,0,3.5
,Javorius Allen,BAL,@PIT,5,20,0,1,10,0,3.0
,Peyton Barber,TB,DET,5,20,0,1,10,0,3.0
,Corey Clement,PHI,@LAR,5,15,0,2,15,0,3.0
,Marlon Mack,IND,@BUF,3,10,0,2,20,0,3.0
,Jalen Richard,OAK,@KC,4,15,0,2,15,0,3.0
,Rod Smith,DAL,@NYG,4,20,0,1,10,0,3.0
,Tarik Cohen,CHI,@CIN,3,10,0,2,15,0,2.5
,Wayne Gallman,NYG,DAL,4,15,0,1,10,0,2.5
,Elijah McGuire,NYJ,@DEN,4,15,0,1,10,0,2.5
,Travaris Cadet,BUF,IND,3,10,0,1,10,0,2.0
,Jamaal Charles,DEN,NYJ,3,10,0,1,10,0,2.0
,Andre Ellington,HOU,SF,4,15,0,1,5,0,2.0
,D.J. Foster,ARI,TEN,3,10,0,1,10,0,2.0
,Akeem Hunt,KC,OAK,3,10,0,1,10,0,2.0
,Chris Ivory,JAC,SEA,3,10,0,1,10,0,2.0
,James White,NE,@MIA,2,10,0,1,10,0,2.0
,Benny Cunningham,CHI,@CIN,1,5,0,1,10,0,1.5
,Brian Hill,CIN,CHI,3,10,0,1,5,0,1.5
,Eddie Lacy,SEA,@JAC,3,15,0,0,0,0,1.5
,Charles Sims,TB,DET,1,5,0,1,10,0,1.5
,Lance Dunbar,LAR,PHI,1,5,0,1,5,0,1.0
,Zach Zenner,DET,@TB,3,10,0,0,0,0,1.0
