Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Ezekiel Elliott,DAL,KC,25,115,1,4,25,0,20.0
,Todd Gurley,LAR,@NYG,24,105,1,5,35,0,20.0
,LeSean McCoy,BUF,@NYJ,25,100,1,4,30,0,19.0
,Mark Ingram,NO,TB,19,80,1,4,25,0,16.5
,Aaron Jones,GB,DET,24,95,1,1,5,0,16.0
,Lamar Miller,HOU,IND,19,75,1,3,25,0,16.0
,Adrian Peterson,ARI,@SF,22,95,1,1,5,0,16.0
,DeMarco Murray,TEN,BAL,15,70,1,3,25,0,15.5
,Carlos Hyde,SF,ARI,16,65,1,3,25,0,15.0
,Chris Ivory,JAC,CIN,18,70,1,2,20,0,15.0
,Devonta Freeman,ATL,@CAR,15,65,1,2,20,0,14.5
,Chris Thompson,WAS,@SEA,8,30,0,7,55,1,14.5
,DeAndre Washington,OAK,@MIA,12,45,1,2,20,0,12.5
,LeGarrette Blount,PHI,DEN,14,55,1,1,5,0,12.0
,Alex Collins,BAL,@TEN,14,55,1,0,0,0,11.5
,Kareem Hunt,KC,@DAL,18,75,0,5,35,0,11.0
,Joe Mixon,CIN,@JAC,15,60,0,4,30,0,9.0
,Alvin Kamara,NO,TB,13,45,0,5,40,0,8.5
,Orleans Darkwa,NYG,LAR,15,60,0,2,15,0,7.5
,Frank Gore,IND,@HOU,18,60,0,2,15,0,7.5
,Christian McCaffrey,CAR,ATL,8,25,0,7,50,0,7.5
,Javorius Allen,BAL,@TEN,11,45,0,3,25,0,7.0
,C.J. Anderson,DEN,@PHI,15,60,0,1,10,0,7.0
,Matt Forte,NYJ,BUF,9,35,0,4,35,0,7.0
,Kenyan Drake,MIA,OAK,14,55,0,1,10,0,6.5
,Doug Martin,TB,@NO,15,65,0,0,0,0,6.5
,Damien Williams,MIA,OAK,11,45,0,2,20,0,6.5
,Ameer Abdullah,DET,@GB,13,50,0,1,10,0,6.0
,Devontae Booker,DEN,@PHI,9,35,0,3,25,0,6.0
,Jonathan Stewart,CAR,ATL,15,60,0,0,0,0,6.0
,T.J. Yeldon,JAC,CIN,8,30,0,4,30,0,6.0
,Tevin Coleman,ATL,@CAR,8,30,0,3,25,0,5.5
,Bilal Powell,NYJ,BUF,9,35,0,2,20,0,5.5
,Jalen Richard,OAK,@MIA,8,30,0,3,25,0,5.5
,Marlon Mack,IND,@HOU,7,25,0,3,25,0,5.0
,Giovani Bernard,CIN,@JAC,6,25,0,2,20,0,4.5
,Wayne Gallman,NYG,LAR,8,30,0,2,15,0,4.5
,Eddie Lacy,SEA,WAS,9,40,0,1,5,0,4.5
,Thomas Rawls,SEA,WAS,6,25,0,3,20,0,4.5
,Theo Riddick,DET,@GB,3,10,0,5,35,0,4.5
,Mike Tolbert,BUF,@NYJ,10,30,0,2,15,0,4.5
,Derrick Henry,TEN,BAL,10,40,0,0,0,0,4.0
,Jamaal Charles,DEN,@PHI,6,25,0,1,10,0,3.5
,Rob Kelley,WAS,@SEA,9,35,0,0,0,0,3.5
,Marshawn Lynch,OAK,@MIA,6,25,0,1,10,0,3.5
,Ty Montgomery,GB,DET,4,15,0,2,20,0,3.5
,Matt Breida,SF,ARI,5,20,0,1,10,0,3.0
,Andre Ellington,ARI,@SF,3,10,0,2,20,0,3.0
,Jay Ajayi,PHI,DEN,6,25,0,0,0,0,2.5
,Alfred Blue,HOU,IND,6,25,0,0,0,0,2.5
,Malcolm Brown,LAR,@NYG,5,20,0,1,5,0,2.5
,Wendell Smallwood,PHI,DEN,3,10,0,1,10,0,2.0
,Charcandrick West,KC,@DAL,3,10,0,1,10,0,2.0
,Charles Sims,TB,@NO,1,5,0,1,10,0,1.5
,D'Onta Foreman,HOU,IND,3,10,0,0,0,0,1.0
,Elijah McGuire,NYJ,BUF,3,10,0,0,0,0,1.0
,Alfred Morris,DAL,KC,2,10,0,0,0,0,1.0
,Jacquizz Rodgers,TB,@NO,1,5,0,1,5,0,1.0
