Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Travis Kelce,KC,@DAL,6,75,1,13.5
,Vernon Davis,WAS,@SEA,6,65,1,12.5
,Jack Doyle,IND,@HOU,6,60,1,12.0
,Evan Engram,NYG,LAR,5,60,1,12.0
,Cameron Brate,TB,@NO,5,55,1,11.5
,Jimmy Graham,SEA,WAS,5,55,1,11.5
,Delanie Walker,TEN,BAL,5,55,1,11.5
,Trey Burton,PHI,DEN,4,50,1,11.0
,Jason Witten,DAL,KC,5,50,1,11.0
,Tyler Kroft,CIN,@JAC,4,45,1,10.5
,Austin Seferian-Jenkins,NYJ,BUF,5,45,1,10.5
,George Kittle,SF,ARI,3,35,0,3.5
,Nick O'Leary,BUF,@NYJ,3,35,0,3.5
,Ben Watson,BAL,@TEN,3,35,0,3.5
,Jared Cook,OAK,@MIA,4,30,0,3.0
,Ed Dickson,CAR,ATL,3,30,0,3.0
,Darren Fells,DET,@GB,3,30,0,3.0
,Ryan Griffin,HOU,IND,2,30,0,3.0
,Austin Hooper,ATL,@CAR,3,30,0,3.0
,Martellus Bennett,GB,DET,2,25,0,2.5
,A.J. Derby,DEN,@PHI,2,25,0,2.5
,Jermaine Gresham,ARI,@SF,2,25,0,2.5
,Julius Thomas,MIA,OAK,2,25,0,2.5
,Eric Ebron,DET,@GB,2,20,0,2.0
,Coby Fleener,NO,TB,2,20,0,2.0
,Tyler Higbee,LAR,@NYG,2,20,0,2.0
,O.J. Howard,TB,@NO,2,20,0,2.0
,Marcedes Lewis,JAC,CIN,2,20,0,2.0
,Jonnu Smith,TEN,BAL,2,20,0,2.0
,Nick Boyle,BAL,@TEN,1,10,0,1.0
,Gerald Everett,LAR,@NYG,1,10,0,1.0
,Virgil Green,DEN,@PHI,1,10,0,1.0
