Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Zach Ertz,PHI,@KC,6,70,1,13.0
,Jimmy Graham,SEA,SF,6,70,1,13.0
,Rob Gronkowski,NE,@NO,5,70,1,13.0
,Tyler Eifert,CIN,HOU,5,60,1,12.0
,Travis Kelce,KC,PHI,5,60,1,12.0
,Jordan Reed,WAS,@LAR,5,60,1,12.0
,Delanie Walker,TEN,@JAC,5,60,1,12.0
,Coby Fleener,NO,NE,5,55,1,11.5
,Kyle Rudolph,MIN,@PIT,5,55,1,11.5
,Charles Clay,BUF,@CAR,4,50,1,11.0
,Evan Engram,NYG,DET,4,50,1,11.0
,Cameron Brate,TB,CHI,4,45,1,10.5
,Austin Hooper,ATL,GB,4,45,1,10.5
,Antonio Gates,LAC,MIA,4,40,1,10.0
,Greg Olsen,CAR,BUF,6,70,0,7.0
,Martellus Bennett,GB,@ATL,4,50,0,5.0
,Jason Witten,DAL,@DEN,4,45,0,4.5
,Jack Doyle,IND,ARI,4,40,0,4.0
,Eric Ebron,DET,@NYG,3,35,0,3.5
,Julius Thomas,MIA,@LAC,3,35,0,3.5
,Jared Cook,OAK,NYJ,4,30,0,3.0
,Hunter Henry,LAC,MIA,3,30,0,3.0
,Zach Miller,CHI,@TB,2,30,0,3.0
,Will Tye,NYJ,@OAK,3,30,0,3.0
,Maxx Williams,BAL,CLE,3,30,0,3.0
,Seth Devalve,CLE,@BAL,2,25,0,2.5
,Tyler Higbee,LAR,WAS,2,25,0,2.5
,George Kittle,SF,@SEA,2,25,0,2.5
,Marcedes Lewis,JAC,TEN,2,25,0,2.5
,Dion Sims,CHI,@TB,2,25,0,2.5
,A.J. Derby,DEN,DAL,2,20,0,2.0
,Jesse James,PIT,MIN,2,20,0,2.0
,Vance McDonald,PIT,MIN,2,20,0,2.0
,David Njoku,CLE,@BAL,2,20,0,2.0
,Ben Watson,BAL,CLE,2,20,0,2.0
,Virgil Green,DEN,DAL,1,15,0,1.5
,Trey Burton,PHI,@KC,1,10,0,1.0
,Brent Celek,PHI,@KC,1,10,0,1.0
,Vernon Davis,WAS,@LAR,1,10,0,1.0
,Rhett Ellison,NYG,DET,1,10,0,1.0
,Gerald Everett,LAR,WAS,1,10,0,1.0
,Jermaine Gresham,ARI,@IND,1,10,0,1.0
,O.J. Howard,TB,CHI,1,10,0,1.0
,Nick O'Leary,BUF,@CAR,1,10,0,1.0
,Dwayne Allen,NE,@NO,1,5,0,0.5
