Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,GB,25,110,1,3,30,0,20.0
,LeSean McCoy,BUF,@KC,28,110,1,4,30,0,20.0
,Todd Gurley,LAR,NO,19,90,1,5,35,0,18.5
,Tevin Coleman,ATL,TB,19,80,1,3,25,0,16.5
,Leonard Fournette,JAC,@ARI,23,90,1,1,10,0,16.0
,Melvin Gordon,LAC,@DAL,20,80,1,3,20,0,16.0
,Carlos Hyde,SF,SEA,15,60,1,5,40,0,16.0
,Mark Ingram,NO,@LAR,18,80,1,3,20,0,16.0
,Jerick McKinnon,MIN,@DET,14,65,1,4,35,0,16.0
,Alvin Kamara,NO,@LAR,11,50,1,5,40,0,15.0
,Jordan Howard,CHI,@PHI,20,80,1,1,5,0,14.5
,Alfred Morris,DAL,LAC,21,85,1,0,0,0,14.5
,Samaje Perine,WAS,NYG,20,80,1,1,5,0,14.5
,Alex Collins,BAL,HOU,19,75,1,1,5,0,14.0
,DeMarco Murray,TEN,@IND,13,55,1,3,25,0,14.0
,Jamaal Williams,GB,@PIT,16,60,1,1,10,0,13.0
,Jay Ajayi,PHI,CHI,14,55,1,1,10,0,12.5
,Dion Lewis,NE,MIA,14,55,1,1,10,0,12.5
,Marshawn Lynch,OAK,DEN,14,60,1,1,5,0,12.5
,Joe Mixon,CIN,CLE,13,50,1,2,15,0,12.5
,Christian McCaffrey,CAR,@NYJ,8,25,1,5,35,0,12.0
,Kareem Hunt,KC,BUF,18,75,0,4,25,0,10.0
,Orleans Darkwa,NYG,@WAS,14,65,0,2,20,0,8.5
,Lamar Miller,HOU,@BAL,15,60,0,3,25,0,8.5
,Isaiah Crowell,CLE,@CIN,14,55,0,2,20,0,7.5
,Frank Gore,IND,TEN,18,60,0,2,15,0,7.5
,Devontae Booker,DEN,@OAK,11,45,0,2,20,0,6.5
,Elijah McGuire,NYJ,CAR,13,45,0,2,20,0,6.5
,Adrian Peterson,ARI,JAC,13,55,0,1,10,0,6.5
,Damien Williams,MIA,@NE,11,45,0,2,20,0,6.5
,Doug Martin,TB,@ATL,14,50,0,1,10,0,6.0
,Bilal Powell,NYJ,CAR,10,40,0,2,20,0,6.0
,T.J. Yeldon,JAC,@ARI,8,30,0,4,30,0,6.0
,C.J. Anderson,DEN,@OAK,10,40,0,2,15,0,5.5
,Kenyan Drake,MIA,@NE,9,35,0,2,20,0,5.5
,Duke Johnson,CLE,@CIN,6,25,0,4,30,0,5.5
,Austin Ekeler,LAC,@DAL,6,25,0,3,25,0,5.0
,Derrick Henry,TEN,@IND,10,40,0,1,10,0,5.0
,Latavius Murray,MIN,@DET,10,40,0,1,10,0,5.0
,Theo Riddick,DET,MIN,5,20,0,4,30,0,5.0
,Rod Smith,DAL,LAC,7,30,0,2,20,0,5.0
,Jonathan Stewart,CAR,@NYJ,13,50,0,0,0,0,5.0
,Ameer Abdullah,DET,MIN,9,35,0,1,10,0,4.5
,Giovani Bernard,CIN,CLE,6,25,0,2,20,0,4.5
,LeGarrette Blount,PHI,CHI,11,45,0,0,0,0,4.5
,Rex Burkhead,NE,MIA,6,25,0,3,20,0,4.5
,Corey Clement,PHI,CHI,8,25,0,2,20,0,4.5
,J.D. McKissic,SEA,@SF,5,20,0,3,25,0,4.5
,Danny Woodhead,BAL,HOU,3,10,0,6,35,0,4.5
,Matt Breida,SF,SEA,5,20,0,2,20,0,4.0
,Travaris Cadet,BUF,@KC,4,15,0,3,25,0,4.0
,Marlon Mack,IND,TEN,5,20,0,2,20,0,4.0
,Jalen Richard,OAK,DEN,5,20,0,2,20,0,4.0
,Javorius Allen,BAL,HOU,6,25,0,1,10,0,3.5
,Tarik Cohen,CHI,@PHI,3,10,0,3,25,0,3.5
,Lance Dunbar,LAR,NO,4,15,0,2,20,0,3.5
,Matt Forte,NYJ,CAR,6,25,0,1,10,0,3.5
,Wayne Gallman,NYG,@WAS,6,25,0,1,10,0,3.5
,Byron Marshall,WAS,NYG,4,15,0,3,20,0,3.5
,DeAndre Washington,OAK,DEN,4,15,0,2,20,0,3.5
,James White,NE,MIA,2,10,0,3,25,0,3.5
,Thomas Rawls,SEA,@SF,7,30,0,0,0,0,3.0
,Terron Ward,ATL,TB,6,20,0,1,10,0,3.0
,Charcandrick West,KC,BUF,3,10,0,2,20,0,3.0
,Jamaal Charles,DEN,@OAK,4,15,0,1,10,0,2.5
,Benny Cunningham,CHI,@PHI,1,5,0,2,20,0,2.5
,Alfred Blue,HOU,@BAL,4,15,0,1,5,0,2.0
,D.J. Foster,ARI,JAC,3,10,0,1,10,0,2.0
,Chris Ivory,JAC,@ARI,3,10,0,1,10,0,2.0
,Kerwynn Williams,ARI,JAC,3,10,0,1,10,0,2.0
,Eddie Lacy,SEA,@SF,3,15,0,0,0,0,1.5
,Charles Sims,TB,@ATL,1,5,0,1,10,0,1.5
,Jacquizz Rodgers,TB,@ATL,3,10,0,0,0,0,1.0
