Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Rob Gronkowski,NE,@DEN,5,75,1,13.5
,Evan Engram,NYG,@SF,6,70,1,13.0
,Vernon Davis,WAS,MIN,6,65,1,12.5
,Jimmy Graham,SEA,@ARI,6,60,1,12.0
,Delanie Walker,TEN,CIN,5,60,1,12.0
,Cameron Brate,TB,NYJ,4,50,1,11.0
,Jack Doyle,IND,PIT,5,50,1,11.0
,Tyler Kroft,CIN,@TEN,4,50,1,11.0
,Austin Seferian-Jenkins,NYJ,@TB,6,50,1,11.0
,Kyle Rudolph,MIN,@WAS,4,45,1,10.5
,Hunter Henry,LAC,@JAC,3,35,1,9.5
,Jason Witten,DAL,@ATL,5,45,0,4.5
,Garrett Celek,SF,NYG,3,35,0,3.5
,Charles Clay,BUF,NO,3,35,0,3.5
,Ed Dickson,CAR,MIA,3,30,0,3.0
,Eric Ebron,DET,CLE,3,30,0,3.0
,Austin Hooper,ATL,DAL,3,30,0,3.0
,A.J. Derby,DEN,NE,2,25,0,2.5
,Seth Devalve,CLE,@DET,2,25,0,2.5
,Jermaine Gresham,ARI,SEA,2,25,0,2.5
,O.J. Howard,TB,NYJ,2,25,0,2.5
,Jesse James,PIT,@IND,2,25,0,2.5
,David Njoku,CLE,@DET,2,25,0,2.5
,Adam Shaheen,CHI,GB,2,25,0,2.5
,Julius Thomas,MIA,@CAR,2,25,0,2.5
,Stephen Anderson,HOU,@LAR,2,20,0,2.0
,Darren Fells,DET,CLE,2,20,0,2.0
,C.J. Fiedorowicz,HOU,@LAR,2,20,0,2.0
,Coby Fleener,NO,@BUF,2,20,0,2.0
,Tyler Higbee,LAR,HOU,2,20,0,2.0
,Marcedes Lewis,JAC,LAC,2,20,0,2.0
,Gerald Everett,LAR,HOU,1,15,0,1.5
,Richard Rodgers,GB,@CHI,1,15,0,1.5
,Antonio Gates,LAC,@JAC,1,10,0,1.0
,Virgil Green,DEN,NE,1,10,0,1.0
,Lance Kendricks,GB,@CHI,1,10,0,1.0
,Nick O'Leary,BUF,NO,1,10,0,1.0
,Jonnu Smith,TEN,CIN,1,10,0,1.0
