Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Michael Thomas,NO,CAR,8,100,1,16.0
,Tyreek Hill,KC,TEN,6,80,1,14.0
,Rishard Matthews,TEN,@KC,5,70,1,13.0
,Robert Woods,LAR,ATL,5,70,1,13.0
,Dede Westbrook,JAC,BUF,5,65,1,12.5
,Keelan Cole,JAC,BUF,4,55,1,11.5
,Devin Funchess,CAR,@NO,4,55,1,11.5
,Mohamed Sanu,ATL,@LAR,4,50,1,11.0
,Julio Jones,ATL,@LAR,5,85,0,8.5
,Cooper Kupp,LAR,ATL,6,65,0,6.5
,Kelvin Benjamin,BUF,@JAC,4,50,0,5.0
,Ted Ginn Jr.,NO,CAR,3,45,0,4.5
,Corey Davis,TEN,@KC,3,40,0,4.0
,Eric Decker,TEN,@KC,3,40,0,4.0
,Deonte Thompson,BUF,@JAC,3,40,0,4.0
,Zay Jones,BUF,@JAC,3,35,0,3.5
,Sammy Watkins,LAR,ATL,2,35,0,3.5
,Albert Wilson,KC,TEN,2,35,0,3.5
,Kaelin Clay,CAR,@NO,2,30,0,3.0
,Allen Hurns,JAC,BUF,2,30,0,3.0
,Brandon Coleman,NO,CAR,1,20,0,2.0
,Justin Hardy,ATL,@LAR,1,20,0,2.0
,Tavon Austin,LAR,ATL,1,10,0,1.5
,Taylor Gabriel,ATL,@LAR,1,15,0,1.5
,Demarcus Robinson,KC,TEN,1,15,0,1.5
,Russell Shepard,CAR,@NO,1,10,0,1.0
,Willie Snead,NO,CAR,1,10,0,1.0
