Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Julio Jones,ATL,BUF,7,110,1,17.0
,A.J. Green,CIN,@CLE,7,100,1,16.0
,Odell Beckham Jr.,NYG,@TB,7,95,1,15.5
,Antonio Brown,PIT,@BAL,7,90,1,15.5
,Brandin Cooks,NE,CAR,6,90,1,15.0
,Stefon Diggs,MIN,DET,7,85,1,15.0
,Jordy Nelson,GB,CHI,7,90,1,15.0
,Golden Tate,DET,@MIN,7,80,1,15.0
,Michael Thomas,NO,@MIA,6,90,1,15.0
,Keenan Allen,LAC,PHI,8,85,1,14.5
,DeAndre Hopkins,HOU,TEN,6,85,1,14.5
,DeVante Parker,MIA,NO,5,85,1,14.5
,Alshon Jeffery,PHI,@LAC,6,80,1,14.0
,Demaryius Thomas,DEN,OAK,6,80,1,14.0
,Sammy Watkins,LAR,@DAL,6,80,1,14.0
,Dez Bryant,DAL,LAR,6,75,1,13.5
,Larry Fitzgerald,ARI,SF,7,75,1,13.5
,Rishard Matthews,TEN,@HOU,6,75,1,13.5
,Emmanuel Sanders,DEN,OAK,5,75,1,13.5
,Devin Funchess,CAR,@NE,5,70,1,13.0
,DeSean Jackson,TB,NYG,5,70,1,13.0
,Jarvis Landry,MIA,NO,7,70,1,13.0
,Adam Thielen,MIN,DET,4,65,1,12.5
,Chris Hogan,NE,CAR,5,60,1,12.0
,Marqise Lee,JAC,@NYJ,4,60,1,12.0
,Tyrell Williams,LAC,PHI,5,60,1,12.0
,Tyler Lockett,SEA,IND,4,55,1,11.5
,Mohamed Sanu,ATL,BUF,4,55,1,11.5
,Davante Adams,GB,CHI,3,50,1,11.0
,Mike Evans,TB,NYG,6,75,0,7.5
,Doug Baldwin,SEA,IND,6,70,0,7.0
,Amari Cooper,OAK,@DEN,5,70,0,7.0
,Jamison Crowder,WAS,@KC,5,65,0,6.5
,Marquise Goodwin,SF,@ARI,4,65,0,6.5
,T.Y. Hilton,IND,@SEA,4,65,0,6.5
,Jermaine Kearse,NYJ,JAC,4,65,0,6.5
,Kelvin Benjamin,CAR,@NE,5,60,0,6.0
,Eric Decker,TEN,@HOU,5,60,0,6.0
,Tyreek Hill,KC,WAS,4,50,0,6.0
,Allen Hurns,JAC,@NYJ,4,60,0,6.0
,Jordan Matthews,BUF,@ATL,5,60,0,6.0
,Robby Anderson,NYJ,JAC,4,55,0,5.5
,Kenny Britt,CLE,CIN,4,55,0,5.5
,Sterling Shepard,NYG,@TB,4,55,0,5.5
,Martavis Bryant,PIT,@BAL,3,50,0,5.0
,Randall Cobb,GB,CHI,4,50,0,5.0
,Jeremy Maclin,BAL,PIT,4,50,0,5.0
,Seth Roberts,OAK,@DEN,3,50,0,5.0
,Kendall Wright,CHI,@GB,4,50,0,5.0
,Travis Benjamin,LAC,PHI,3,45,0,4.5
,John Brown,ARI,SF,3,45,0,4.5
,Pierre Garcon,SF,@ARI,3,45,0,4.5
,Ted Ginn Jr.,NO,@MIA,2,35,0,4.5
,Rashard Higgins,CLE,CIN,4,45,0,4.5
,Marvin Jones,DET,@MIN,3,45,0,4.5
,Willie Snead,NO,@MIA,3,45,0,4.5
,Kenny Stills,MIA,NO,4,45,0,4.5
,Danny Amendola,NE,CAR,4,40,0,4.0
,Cole Beasley,DAL,LAR,4,40,0,4.0
,Jaron Brown,ARI,SF,3,40,0,4.0
,Cooper Kupp,LAR,@DAL,4,40,0,4.0
,Brandon LaFell,CIN,@CLE,3,40,0,4.0
,Brandon Marshall,NYG,@TB,3,40,0,4.0
,Donte Moncrief,IND,@SEA,2,40,0,4.0
,J.J. Nelson,ARI,SF,3,40,0,4.0
,Terrelle Pryor,WAS,@KC,3,40,0,4.0
,Paul Richardson,SEA,IND,3,40,0,4.0
,Torrey Smith,PHI,@LAC,2,40,0,4.0
,Terrance Williams,DAL,LAR,3,40,0,4.0
,Nelson Agholor,PHI,@LAC,2,35,0,3.5
,Taylor Gabriel,ATL,BUF,3,35,0,3.5
,Deonte Thompson,CHI,@GB,2,35,0,3.5
,Robert Woods,LAR,@DAL,2,35,0,3.5
,Josh Bellamy,CHI,@GB,2,30,0,3.0
,Chris Conley,KC,WAS,2,30,0,3.0
,Bennie Fowler,DEN,OAK,2,30,0,3.0
,Will Fuller,HOU,TEN,2,30,0,3.0
,Cordarrelle Patterson,OAK,@DEN,2,30,0,3.0
,Breshad Perriman,BAL,PIT,2,30,0,3.0
,Mike Wallace,BAL,PIT,2,30,0,3.0
,Kamar Aiken,IND,@SEA,2,25,0,2.5
,Tyler Boyd,CIN,@CLE,2,25,0,2.5
,Andre Holmes,BUF,@ATL,2,25,0,2.5
,Adam Humphries,TB,NYG,2,25,0,2.5
,T.J. Jones,DET,@MIN,2,25,0,2.5
,Zay Jones,BUF,@ATL,2,25,0,2.5
,Jeremy Kerley,NYJ,JAC,2,25,0,2.5
,Braxton Miller,HOU,TEN,2,25,0,2.5
,JuJu Smith-Schuster,PIT,@BAL,2,25,0,2.5
,Taywan Taylor,TEN,@HOU,2,25,0,2.5
,Albert Wilson,KC,WAS,2,25,0,2.5
,Geronimo Allison,GB,CHI,1,20,0,2.0
,Brandon Coleman,NO,@MIA,1,20,0,2.0
,Josh Doctson,WAS,@KC,1,20,0,2.0
,Aldrick Robinson,SF,@ARI,1,20,0,2.0
,Russell Shepard,CAR,@NE,2,20,0,2.0
,Trent Taylor,SF,@ARI,2,20,0,2.0
,Laquon Treadwell,MIN,DET,1,20,0,2.0
,Markus Wheaton,CHI,@GB,1,20,0,2.0
,Tavon Austin,LAR,@DAL,1,15,0,1.5
