Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Russell Wilson,SEA,IND,24,36,275,2,0,6,30,1,30.8
,Aaron Rodgers,GB,CHI,27,40,310,3,0,5,25,0,30.0
,Tom Brady,NE,CAR,28,41,330,3,0,0,0,0,28.5
,Carson Wentz,PHI,@LAC,23,36,275,2,1,4,20,0,23.8
,Drew Brees,NO,@MIA,29,44,310,2,0,0,0,0,23.5
,Jameis Winston,TB,NYG,22,36,285,2,1,2,10,0,23.3
,Kirk Cousins,WAS,@KC,23,37,275,2,1,2,10,0,22.8
,Matt Ryan,ATL,BUF,29,42,285,2,0,1,5,0,22.8
,Tyrod Taylor,BUF,@ATL,17,28,225,2,1,7,35,0,22.8
,DeShone Kizer,CLE,CIN,20,34,230,2,1,7,30,0,22.5
,Marcus Mariota,TEN,@HOU,19,32,240,2,1,4,25,0,22.5
,Carson Palmer,ARI,SF,26,42,280,2,1,1,5,0,22.5
,Dak Prescott,DAL,LAR,21,33,250,2,0,4,20,0,22.5
,Philip Rivers,LAC,PHI,24,38,290,2,1,0,0,0,22.5
,Matthew Stafford,DET,@MIN,23,35,260,2,1,4,15,0,22.5
,Jay Cutler,MIA,NO,22,36,270,2,1,1,5,0,22.0
,Cam Newton,CAR,@NE,20,31,240,2,0,5,20,0,22.0
,Trevor Siemian,DEN,OAK,21,34,250,2,1,2,15,0,22.0
,Alex Smith,KC,WAS,24,35,240,2,0,5,20,0,22.0
,Andy Dalton,CIN,@CLE,22,35,255,2,0,2,10,0,21.8
,Eli Manning,NYG,@TB,21,36,275,2,1,0,0,0,21.8
,Jared Goff,LAR,@DAL,23,36,250,2,1,2,5,0,21.0
,Case Keenum,MIN,DET,22,37,255,2,1,0,0,0,20.8
,Blake Bortles,JAC,@NYJ,17,27,210,2,1,5,20,0,20.5
,Deshaun Watson,HOU,TEN,20,31,235,1,1,7,30,0,18.8
,Derek Carr,OAK,@DEN,20,32,250,1,1,1,5,0,17.0
,Jacoby Brissett,IND,@SEA,17,30,210,1,1,5,20,0,16.5
,Josh McCown,NYJ,JAC,19,30,225,1,1,2,10,0,16.3
,Ben Roethlisberger,PIT,@BAL,21,36,245,1,1,0,0,0,16.3
,Brian Hoyer,SF,@ARI,22,37,230,1,1,1,5,0,16.0
,Mike Glennon,CHI,@GB,20,34,235,1,1,0,0,0,15.8
,Joe Flacco,BAL,PIT,19,33,225,1,1,0,0,0,15.3
