Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Wil Lutz,NO,@ATL,3,0,2,0,11.0
,Stephen Gostkowski,NE,@MIA,2,0,4,0,10.0
,Justin Tucker,BAL,@PIT,3,0,1,0,10.0
,Harrison Butker,KC,OAK,2,0,3,0,9.0
,Travis Coons,LAC,WAS,2,0,3,0,9.0
,Ka'imi Fairbairn,HOU,SF,2,0,3,0,9.0
,Kai Forbath,MIN,@CAR,2,0,3,0,9.0
,Matt Prater,DET,@TB,2,0,3,0,9.0
,Giorgio Tavecchio,OAK,@KC,2,0,3,0,9.0
,Greg Zuerlein,LAR,PHI,2,0,3,0,9.0
,Matt Bryant,ATL,NO,2,0,2,0,8.0
,Mason Crosby,GB,@CLE,2,0,2,0,8.0
,Zane Gonzalez,CLE,GB,2,0,2,0,8.0
,Steve Hauschka,BUF,IND,2,0,2,0,8.0
,Patrick Murray,TB,DET,2,0,2,0,8.0
,Aldrick Rosas,NYG,DAL,2,0,2,0,8.0
,Nick Rose,WAS,@LAC,2,0,2,0,8.0
,Blair Walsh,SEA,@JAC,2,0,2,0,8.0
,Brandon McManus,DEN,NYJ,2,0,1,0,7.0
,Dan Bailey,DAL,@NYG,1,0,3,0,6.0
,Chris Boswell,PIT,BAL,1,0,3,0,6.0
,Randy Bullock,CIN,CHI,1,0,3,0,6.0
,Chandler Catanzaro,NYJ,@DEN,1,0,3,0,6.0
,Phil Dawson,ARI,TEN,1,0,3,0,6.0
,Jake Elliott,PHI,@LAR,1,0,3,0,6.0
,Robbie Gould,SF,@HOU,1,0,3,0,6.0
,Ryan Succop,TEN,@ARI,1,0,3,0,6.0
,Graham Gano,CAR,MIN,1,0,2,0,5.0
,Josh Lambo,JAC,SEA,1,0,2,0,5.0
,Cody Parkey,MIA,NE,1,0,2,0,5.0
,Mike Nugent,CHI,@CIN,1,0,1,0,4.0
,Adam Vinatieri,IND,@BUF,0,0,1,0,1.0
