Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Cam Newton,CAR,@ATL,20,32,245,2,1,9,50,1,31.3
,Blake Bortles,JAC,@TEN,23,36,275,2,1,5,20,0,23.8
,Russell Wilson,SEA,ARI,20,31,235,2,0,6,30,0,22.8
,Jameis Winston,TB,NO,21,34,275,2,1,3,10,0,22.8
,Jimmy Garoppolo,SF,@LAR,20,40,280,2,1,1,5,0,22.5
,Matthew Stafford,DET,GB,24,37,280,2,0,1,5,0,22.5
,Kirk Cousins,WAS,@NYG,22,36,265,2,0,2,10,0,22.3
,Philip Rivers,LAC,OAK,24,37,285,2,0,0,0,0,22.3
,Matt Ryan,ATL,CAR,25,37,275,2,1,1,5,0,22.3
,Tom Brady,NE,NYJ,21,33,270,2,1,4,5,0,22.0
,Drew Brees,NO,@TB,25,38,265,2,0,0,0,0,21.3
,Joe Flacco,BAL,CIN,21,37,250,2,0,0,0,0,20.5
,Case Keenum,MIN,CHI,20,33,230,2,0,3,10,0,20.5
,Tyrod Taylor,BUF,@MIA,17,29,230,1,1,5,30,0,18.5
,Jacoby Brissett,IND,HOU,20,35,245,1,1,5,20,0,18.3
,Brett Hundley,GB,@DET,18,31,205,1,1,6,30,0,17.3
,Landry Jones,PIT,CLE,18,31,225,1,1,4,20,0,17.3
,DeShone Kizer,CLE,@PIT,17,30,210,1,2,5,25,0,17.0
,Patrick Mahomes,KC,@DEN,17,28,220,1,1,3,20,0,17.0
,Marcus Mariota,TEN,JAC,18,29,220,1,1,4,20,0,17.0
,Paxton Lynch,DEN,KC,14,22,185,1,1,9,35,0,16.8
,Andy Dalton,CIN,@BAL,20,32,230,1,1,2,10,0,16.5
,Sean Mannion,LAR,SF,20,31,220,1,1,2,10,0,16.0
,Mitchell Trubisky,CHI,@MIN,15,26,185,1,1,6,25,0,15.8
,Derek Carr,OAK,@LAC,18,29,220,1,1,1,5,0,15.5
,Drew Stanton,ARI,@SEA,18,28,215,1,2,1,5,0,15.3
,Bryce Petty,NYJ,@NE,15,23,180,1,1,10,20,0,15.0
,T.J. Yates,HOU,@IND,16,27,190,1,1,2,10,0,14.5
,Jay Cutler,MIA,BUF,14,24,180,1,1,1,5,0,13.5
,Dak Prescott,DAL,@PHI,14,23,160,1,1,2,15,0,13.5
,Eli Manning,NYG,WAS,14,24,185,1,1,0,0,0,13.3
,Nick Foles,PHI,DAL,12,18,130,1,1,1,5,0,11.0
,Nate Sudfeld,PHI,DAL,10,16,115,1,1,1,5,0,10.3
,David Fales,MIA,BUF,7,11,85,0,0,1,5,0,4.8
,Cooper Rush,DAL,@PHI,6,10,70,0,1,1,10,0,4.5
,Davis Webb,NYG,WAS,3,5,35,0,1,3,10,0,2.8
