Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,@DET,8,110,1,17.0
,A.J. Green,CIN,IND,7,105,1,16.5
,T.Y. Hilton,IND,@CIN,7,95,1,15.5
,Julio Jones,ATL,@NYJ,6,95,1,15.5
,Demaryius Thomas,DEN,@KC,8,95,1,15.5
,Mike Evans,TB,CAR,7,90,1,15.0
,Doug Baldwin,SEA,HOU,7,85,1,14.5
,Kelvin Benjamin,CAR,@TB,7,85,1,14.5
,Keenan Allen,LAC,@NE,7,80,1,14.0
,Michael Crabtree,OAK,@BUF,6,80,1,14.0
,Michael Thomas,NO,CHI,6,80,1,14.0
,Dez Bryant,DAL,@WAS,6,75,1,13.5
,Devin Funchess,CAR,@TB,5,75,1,13.5
,Pierre Garcon,SF,@PHI,6,75,1,13.5
,DeAndre Hopkins,HOU,@SEA,5,75,1,13.5
,Jarvis Landry,MIA,@BAL,7,75,1,13.5
,Brandin Cooks,NE,LAC,5,70,1,13.0
,Chris Hogan,NE,LAC,6,70,1,13.0
,Adam Thielen,MIN,@CLE,5,70,1,13.0
,Marvin Jones,DET,PIT,4,65,1,12.5
,Robby Anderson,NYJ,ATL,4,60,1,12.0
,Alshon Jeffery,PHI,SF,4,60,1,12.0
,Nelson Agholor,PHI,SF,3,45,1,10.5
,Amari Cooper,OAK,@BUF,5,70,0,7.0
,Will Fuller,HOU,@SEA,4,65,0,6.5
,Tyreek Hill,KC,DEN,4,55,0,6.5
,Josh Doctson,WAS,DAL,4,60,0,6.0
,Jeremy Maclin,BAL,MIA,5,60,0,6.0
,DeSean Jackson,TB,CAR,4,55,0,5.5
,Kenny Stills,MIA,@BAL,4,55,0,5.5
,Tyrell Williams,LAC,@NE,5,55,0,5.5
,Danny Amendola,NE,LAC,5,50,0,5.0
,Ted Ginn Jr.,NO,CHI,3,50,0,5.0
,Marquise Goodwin,SF,@PHI,3,50,0,5.0
,Mohamed Sanu,ATL,@NYJ,4,50,0,5.0
,JuJu Smith-Schuster,PIT,@DET,4,50,0,5.0
,Jamison Crowder,WAS,DAL,4,45,0,4.5
,Stefon Diggs,MIN,@CLE,4,45,0,4.5
,Adam Humphries,TB,CAR,4,45,0,4.5
,T.J. Jones,DET,PIT,3,45,0,4.5
,Jermaine Kearse,NYJ,ATL,3,45,0,4.5
,Brandon LaFell,CIN,IND,3,45,0,4.5
,Golden Tate,DET,PIT,4,45,0,4.5
,Deonte Thompson,BUF,OAK,3,45,0,4.5
,Bennie Fowler,DEN,@KC,3,40,0,4.0
,Tyler Lockett,SEA,HOU,3,40,0,4.0
,Jordan Matthews,BUF,OAK,3,40,0,4.0
,Taylor Gabriel,ATL,@NYJ,3,35,0,3.5
,Jeremy Kerley,NYJ,ATL,2,35,0,3.5
,Breshad Perriman,BAL,MIA,2,35,0,3.5
