Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Tom Brady,NE,@OAK,24,37,305,3,0,0,0,0,27.3
,Carson Wentz,PHI,@DAL,24,38,300,2,0,5,25,0,25.5
,Russell Wilson,SEA,ATL,22,35,265,2,0,7,35,0,24.8
,Dak Prescott,DAL,PHI,22,35,245,2,0,5,35,0,23.8
,Alex Smith,KC,@NYG,23,34,255,2,0,5,25,0,23.3
,Kirk Cousins,WAS,@NO,22,36,270,2,1,3,15,0,23.0
,Jared Goff,LAR,@MIN,26,40,280,2,1,3,10,0,23.0
,Derek Carr,OAK,NE,24,38,290,2,1,0,0,0,22.5
,Blaine Gabbert,ARI,@HOU,20,32,245,2,1,5,20,0,22.3
,Blake Bortles,JAC,@CLE,19,30,230,2,1,6,25,0,22.0
,Ryan Fitzpatrick,TB,@MIA,21,34,260,2,1,2,10,0,22.0
,Case Keenum,MIN,LAR,23,39,270,2,2,1,5,0,22.0
,Matthew Stafford,DET,@CHI,22,33,250,2,0,3,10,0,21.5
,Ben Roethlisberger,PIT,TEN,23,39,265,2,1,0,0,0,21.3
,Jay Cutler,MIA,TB,21,35,260,2,1,0,0,0,21.0
,Philip Rivers,LAC,BUF,22,33,255,2,2,0,0,0,20.8
,Matt Ryan,ATL,@SEA,22,33,245,2,0,1,5,0,20.8
,Drew Brees,NO,WAS,23,36,250,2,0,0,0,0,20.5
,Eli Manning,NYG,KC,19,32,250,2,1,0,0,0,20.5
,Marcus Mariota,TEN,@PIT,20,33,245,1,1,5,30,0,19.3
,Brock Osweiler,DEN,CIN,18,31,225,2,1,0,0,0,19.3
,DeShone Kizer,CLE,JAC,16,29,175,1,0,7,35,0,16.3
,Andy Dalton,CIN,@DEN,20,32,230,1,1,1,5,0,16.0
,Joe Flacco,BAL,@GB,19,34,230,1,1,2,5,0,16.0
,Nathan Peterman,BUF,@LAC,20,34,220,1,1,3,10,0,16.0
,Mitchell Trubisky,CHI,DET,16,28,200,1,1,5,20,0,16.0
,Brett Hundley,GB,BAL,16,29,190,1,1,4,20,0,15.5
,Tom Savage,HOU,ARI,19,32,225,1,1,0,0,0,15.3
