Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,BAL,8,110,1,17.0
,DeAndre Hopkins,HOU,SF,8,110,1,17.0
,Brandin Cooks,NE,@MIA,6,100,1,16.0
,Michael Crabtree,OAK,@KC,7,95,1,15.5
,A.J. Green,CIN,CHI,7,95,1,15.5
,Tyreek Hill,KC,OAK,6,80,1,15.0
,Keenan Allen,LAC,WAS,7,85,1,14.5
,Robby Anderson,NYJ,@DEN,6,85,1,14.5
,Jamison Crowder,WAS,@LAC,7,85,1,14.5
,Larry Fitzgerald,ARI,TEN,8,85,1,14.5
,Marquise Goodwin,SF,@HOU,5,85,1,14.5
,Marvin Jones,DET,@TB,6,85,1,14.5
,Mike Evans,TB,DET,6,80,1,14.0
,Josh Gordon,CLE,GB,6,80,1,14.0
,T.Y. Hilton,IND,@BUF,6,80,1,14.0
,Julio Jones,ATL,NO,5,80,1,14.0
,Sterling Shepard,NYG,DAL,6,80,1,14.0
,Adam Thielen,MIN,@CAR,6,80,1,14.0
,Demaryius Thomas,DEN,NYJ,6,80,1,14.0
,Michael Thomas,NO,@ATL,6,80,1,14.0
,Dez Bryant,DAL,@NYG,6,75,1,13.5
,Devin Funchess,CAR,MIN,6,75,1,13.5
,Alshon Jeffery,PHI,@LAR,5,75,1,13.5
,Cooper Kupp,LAR,PHI,7,75,1,13.5
,Jarvis Landry,MIA,NE,7,75,1,13.5
,Danny Amendola,NE,@MIA,7,70,1,13.0
,Marqise Lee,JAC,SEA,5,70,1,13.0
,Golden Tate,DET,@TB,7,70,1,13.0
,Davante Adams,GB,@CLE,5,65,1,12.5
,Jermaine Kearse,NYJ,@DEN,4,65,1,12.5
,Emmanuel Sanders,DEN,NYJ,5,65,1,12.5
,Sammy Watkins,LAR,PHI,4,60,1,12.0
,Martavis Bryant,PIT,BAL,3,50,1,11.5
,Cordarrelle Patterson,OAK,@KC,3,40,1,11.5
,Mohamed Sanu,ATL,NO,4,55,1,11.5
,Mike Wallace,BAL,@PIT,4,55,1,11.5
,Zay Jones,BUF,IND,4,45,1,10.5
,Doug Baldwin,SEA,@JAC,5,60,0,6.0
,DeSean Jackson,TB,DET,4,60,0,6.0
,Kenny Stills,MIA,NE,5,60,0,6.0
,Stefon Diggs,MIN,@CAR,5,55,0,5.5
,Chris Hogan,NE,@MIA,4,55,0,5.5
,Dede Westbrook,JAC,SEA,4,55,0,5.5
,Randall Cobb,GB,@CLE,4,45,0,5.0
,Will Fuller,HOU,SF,3,50,0,5.0
,Dontrelle Inman,CHI,@CIN,4,50,0,5.0
,Jeremy Maclin,BAL,@PIT,4,50,0,5.0
,Paul Richardson,SEA,@JAC,3,50,0,5.0
,Josh Doctson,WAS,@LAC,4,45,0,4.5
,Tyler Lockett,SEA,@JAC,4,45,0,4.5
,Trent Taylor,SF,@HOU,4,45,0,4.5
,Nelson Agholor,PHI,@LAR,3,40,0,4.0
,Travis Benjamin,LAC,WAS,3,40,0,4.0
,Corey Coleman,CLE,GB,3,40,0,4.0
,Corey Davis,TEN,@ARI,3,40,0,4.0
,Ted Ginn Jr.,NO,@ATL,3,40,0,4.0
,Brandon LaFell,CIN,CHI,3,40,0,4.0
,J.J. Nelson,ARI,TEN,3,40,0,4.0
,Chester Rogers,IND,@BUF,3,40,0,4.0
,Torrey Smith,PHI,@LAR,2,40,0,4.0
,Terrance Williams,DAL,@NYG,3,40,0,4.0
,Cole Beasley,DAL,@NYG,3,35,0,3.5
,Kelvin Benjamin,BUF,IND,3,35,0,3.5
,Kenny Golladay,DET,@TB,2,35,0,3.5
,Ryan Grant,WAS,@LAC,3,35,0,3.5
,Louis Murphy,SF,@HOU,3,35,0,3.5
,DeVante Parker,MIA,NE,2,35,0,3.5
,Russell Shepard,CAR,MIN,3,35,0,3.5
,Keelan Cole,JAC,SEA,2,30,0,3.0
,Amari Cooper,OAK,@KC,2,30,0,3.0
,Adam Humphries,TB,DET,3,30,0,3.0
,Rishard Matthews,TEN,@ARI,2,30,0,3.0
,Jordy Nelson,GB,@CLE,2,30,0,3.0
,Josh Reynolds,LAR,PHI,2,30,0,3.0
,Demarcus Robinson,KC,OAK,2,30,0,3.0
,Eli Rogers,PIT,BAL,2,30,0,3.0
,Deonte Thompson,BUF,IND,2,30,0,3.0
,Tyrell Williams,LAC,WAS,3,30,0,3.0
,Albert Wilson,KC,OAK,2,30,0,3.0
,Kendall Wright,CHI,@CIN,2,30,0,3.0
,Jaron Brown,ARI,TEN,2,25,0,2.5
,Brandon Coleman,NO,@ATL,2,25,0,2.5
,Eric Decker,TEN,@ARI,2,25,0,2.5
,Tavon Austin,LAR,PHI,1,10,0,2.0
,Josh Bellamy,CHI,@CIN,1,20,0,2.0
,Bennie Fowler,DEN,NYJ,2,20,0,2.0
,Taylor Gabriel,ATL,NO,2,20,0,2.0
,Justin Hardy,ATL,NO,1,20,0,2.0
,Tavarres King,NYG,DAL,1,20,0,2.0
,Roger Lewis,NYG,DAL,1,20,0,2.0
,Seth Roberts,OAK,@KC,1,20,0,2.0
,Willie Snead,NO,@ATL,1,20,0,2.0
,Laquon Treadwell,MIN,@CAR,1,20,0,2.0
,Phillip Dorsett,NE,@MIA,1,10,0,1.0
,Chris Godwin,TB,DET,1,10,0,1.0
,Maurice Harris,WAS,@LAC,1,10,0,1.0
,T.J. Jones,DET,@TB,1,10,0,1.0
,Ricardo Louis,CLE,GB,1,10,0,1.0
,Breshad Perriman,BAL,@PIT,1,10,0,1.0
,Aldrick Robinson,SF,@HOU,1,10,0,1.0
