Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,@CIN,25,110,1,3,35,0,20.5
,Todd Gurley,LAR,@ARI,18,85,1,6,40,0,18.5
,Leonard Fournette,JAC,IND,23,95,1,2,20,0,17.5
,LeSean McCoy,BUF,NE,21,85,1,4,30,0,17.5
,Jordan Howard,CHI,SF,24,100,1,1,5,0,16.5
,Mark Ingram,NO,CAR,18,80,1,4,25,0,16.5
,Melvin Gordon,LAC,CLE,18,80,1,3,20,0,16.0
,Carlos Hyde,SF,@CHI,16,65,1,4,35,0,16.0
,Samaje Perine,WAS,@DAL,21,85,1,2,15,0,16.0
,Jamaal Williams,GB,TB,21,80,1,2,20,0,16.0
,Kenyan Drake,MIA,DEN,18,70,1,3,25,0,15.5
,Alvin Kamara,NO,CAR,10,50,0,6,45,1,15.5
,Devontae Booker,DEN,@MIA,16,65,1,3,25,0,15.0
,Marshawn Lynch,OAK,NYG,19,75,1,2,15,0,15.0
,Jerick McKinnon,MIN,@ATL,12,55,1,4,35,0,15.0
,Lamar Miller,HOU,@TEN,16,65,1,3,25,0,15.0
,Dion Lewis,NE,@BUF,16,65,1,1,10,0,13.5
,Rod Smith,DAL,WAS,11,50,1,3,25,0,13.5
,Alex Collins,BAL,DET,16,65,1,1,5,0,13.0
,Christian McCaffrey,CAR,@NO,12,35,1,5,35,0,13.0
,Derrick Henry,TEN,HOU,14,55,1,1,10,0,12.5
,LeGarrette Blount,PHI,@SEA,14,55,1,0,0,0,11.5
,Orleans Darkwa,NYG,@OAK,13,60,0,4,30,0,9.0
,Devonta Freeman,ATL,MIN,16,65,0,3,25,0,9.0
,Kareem Hunt,KC,@NYJ,18,60,0,4,25,0,8.5
,Frank Gore,IND,@JAC,18,60,0,2,15,0,7.5
,Theo Riddick,DET,@BAL,11,40,0,5,35,0,7.5
,Joe Mixon,CIN,PIT,14,55,0,2,15,0,7.0
,Isaiah Crowell,CLE,@LAC,13,50,0,2,15,0,6.5
,Matt Forte,NYJ,KC,11,45,0,2,20,0,6.5
,Latavius Murray,MIN,@ATL,13,50,0,2,15,0,6.5
,Duke Johnson,CLE,@LAC,6,25,0,4,35,0,6.0
,DeMarco Murray,TEN,HOU,7,30,0,4,30,0,6.0
,Rex Burkhead,NE,@BUF,7,30,0,4,25,0,5.5
,Austin Ekeler,LAC,CLE,8,30,0,3,25,0,5.5
,Bilal Powell,NYJ,KC,10,40,0,2,15,0,5.5
,Jacquizz Rodgers,TB,@GB,12,45,0,1,10,0,5.5
,D.J. Foster,ARI,LAR,6,25,0,3,25,0,5.0
,DeAndre Washington,OAK,NYG,7,25,0,3,25,0,5.0
,C.J. Anderson,DEN,@MIA,9,35,0,1,10,0,4.5
,Tevin Coleman,ATL,MIN,8,35,0,1,10,0,4.5
,J.D. McKissic,SEA,PHI,5,20,0,3,25,0,4.5
,Jonathan Stewart,CAR,@NO,11,45,0,0,0,0,4.5
,Kerwynn Williams,ARI,LAR,10,35,0,1,10,0,4.5
,Danny Woodhead,BAL,DET,4,15,0,5,30,0,4.5
,T.J. Yeldon,JAC,IND,6,25,0,3,20,0,4.5
,Jay Ajayi,PHI,@SEA,8,30,0,1,10,0,4.0
,Giovani Bernard,CIN,PIT,5,20,0,2,20,0,4.0
,Matt Breida,SF,@CHI,5,20,0,2,20,0,4.0
,Alfred Morris,DAL,WAS,12,40,0,0,0,0,4.0
