Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Stephen Gostkowski,NE,NYJ,3,0,3,0,12.0
,Dan Bailey,DAL,@PHI,3,0,2,0,11.0
,Harrison Butker,KC,@DEN,3,0,2,0,11.0
,Robbie Gould,SF,@LAR,3,0,2,0,11.0
,Justin Tucker,BAL,CIN,3,0,2,0,11.0
,Chris Boswell,PIT,CLE,2,0,3,0,9.0
,Kai Forbath,MIN,CHI,2,0,3,0,9.0
,Graham Gano,CAR,@ATL,2,0,3,0,9.0
,Josh Lambo,JAC,@TEN,2,0,3,0,9.0
,Wil Lutz,NO,@TB,2,0,3,0,9.0
,Matt Prater,DET,GB,2,0,3,0,9.0
,Nick Rose,LAC,OAK,2,0,3,0,9.0
,Blair Walsh,SEA,ARI,2,0,3,0,9.0
,Matt Bryant,ATL,CAR,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,@NE,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,@IND,2,0,2,0,8.0
,Steve Hauschka,BUF,@MIA,2,0,2,0,8.0
,Brandon McManus,DEN,KC,2,0,2,0,8.0
,Patrick Murray,TB,NO,2,0,2,0,8.0
,Cody Parkey,MIA,BUF,2,0,2,0,8.0
,Ryan Succop,TEN,JAC,2,0,2,0,8.0
,Jake Elliott,PHI,DAL,1,0,3,0,6.0
,Dustin Hopkins,WAS,@NYG,1,0,3,0,6.0
,Adam Vinatieri,IND,HOU,1,0,3,0,6.0
,Randy Bullock,CIN,@BAL,1,0,2,0,5.0
,Mason Crosby,GB,@DET,1,0,2,0,5.0
,Phil Dawson,ARI,@SEA,1,0,2,0,5.0
,Sam Ficken,LAR,SF,1,0,2,0,5.0
,Zane Gonzalez,CLE,@PIT,1,0,2,0,5.0
,Mike Nugent,CHI,@MIN,1,0,2,0,5.0
,Aldrick Rosas,NYG,WAS,1,0,2,0,5.0
,Giorgio Tavecchio,OAK,@LAC,1,0,2,0,5.0
