Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Travis Kelce,KC,DEN,7,80,1,14.0
,Zach Ertz,PHI,SF,6,70,1,13.0
,Rob Gronkowski,NE,LAC,4,65,1,12.5
,Hunter Henry,LAC,@NE,5,60,1,12.0
,Jason Witten,DAL,@WAS,6,55,1,11.5
,Cameron Brate,TB,CAR,4,50,1,11.0
,Jack Doyle,IND,@CIN,5,50,1,11.0
,Jimmy Graham,SEA,HOU,5,50,1,11.0
,Jordan Reed,WAS,DAL,4,50,1,11.0
,Austin Seferian-Jenkins,NYJ,ATL,6,50,1,11.0
,Tyler Kroft,CIN,IND,4,45,1,10.5
,Jared Cook,OAK,@BUF,4,30,1,9.0
,Kyle Rudolph,MIN,@CLE,5,55,0,5.5
,Vernon Davis,WAS,DAL,4,50,0,5.0
,George Kittle,SF,@PHI,4,40,0,4.0
,Zach Miller,CHI,@NO,3,40,0,4.0
,Nick O'Leary,BUF,OAK,4,40,0,4.0
,Ben Watson,BAL,MIA,4,40,0,4.0
,Ed Dickson,CAR,@TB,3,35,0,3.5
,Darren Fells,DET,PIT,3,30,0,3.0
,Coby Fleener,NO,CHI,3,30,0,3.0
,Ryan Griffin,HOU,@SEA,2,30,0,3.0
,Austin Hooper,ATL,@NYJ,3,30,0,3.0
,Jesse James,PIT,@DET,3,30,0,3.0
,David Njoku,CLE,MIN,2,30,0,3.0
,A.J. Derby,DEN,@KC,2,25,0,2.5
,Seth Devalve,CLE,MIN,2,25,0,2.5
,Julius Thomas,MIA,@BAL,2,25,0,2.5
,Eric Ebron,DET,PIT,2,20,0,2.0
,Antonio Gates,LAC,@NE,2,20,0,2.0
,O.J. Howard,TB,CAR,1,15,0,1.5
,Nick Boyle,BAL,MIA,1,10,0,1.0
,Trey Burton,PHI,SF,1,10,0,1.0
,Virgil Green,DEN,@KC,1,10,0,1.0
