Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Dion Lewis,NE,NYJ,21,85,1,4,30,0,17.5
,Kenyan Drake,MIA,BUF,19,80,1,4,30,0,17.0
,Alvin Kamara,NO,@TB,11,55,0,7,55,1,17.0
,LeSean McCoy,BUF,@MIA,16,75,1,4,35,0,17.0
,C.J. Anderson,DEN,KC,20,80,1,3,25,0,16.5
,Mark Ingram,NO,@TB,19,75,1,4,25,0,16.0
,Derrick Henry,TEN,JAC,21,85,1,1,10,0,15.5
,Bilal Powell,NYJ,@NE,18,75,1,2,20,0,15.5
,Alex Collins,BAL,CIN,18,70,1,2,20,0,15.0
,Christian McCaffrey,CAR,@ATL,12,35,0,8,55,1,15.0
,Jamaal Williams,GB,@DET,17,70,1,2,20,0,15.0
,Ezekiel Elliott,DAL,@PHI,14,65,1,3,20,0,14.5
,Frank Gore,IND,HOU,19,65,1,2,20,0,14.5
,Carlos Hyde,SF,@LAR,15,60,1,3,25,0,14.5
,Malcolm Brown,LAR,SF,15,60,1,2,20,0,14.0
,Latavius Murray,MIN,CHI,18,70,1,1,10,0,14.0
,Leonard Fournette,JAC,@TEN,16,65,1,1,10,0,13.5
,Marshawn Lynch,OAK,@LAC,16,65,1,1,10,0,13.5
,Lamar Miller,HOU,@IND,15,60,1,2,15,0,13.5
,Joe Mixon,CIN,@BAL,14,55,1,2,20,0,13.5
,Samaje Perine,WAS,@NYG,16,65,1,1,10,0,13.5
,Corey Clement,PHI,DAL,18,55,1,2,15,0,13.0
,Melvin Gordon,LAC,OAK,11,50,1,3,20,0,13.0
,Duke Johnson,CLE,@PIT,6,25,0,6,45,1,13.0
,Wayne Gallman,NYG,WAS,14,55,0,5,40,0,9.5
,Devonta Freeman,ATL,CAR,16,65,0,3,25,0,9.0
,Fitzgerald Toussaint,PIT,CLE,14,55,0,3,25,0,8.0
,Isaiah Crowell,CLE,@PIT,14,55,0,2,20,0,7.5
,Akeem Hunt,KC,@DEN,14,55,0,2,20,0,7.5
,Kerwynn Williams,ARI,@SEA,15,50,0,2,20,0,7.0
,Peyton Barber,TB,NO,12,45,0,2,20,0,6.5
,Jerick McKinnon,MIN,CHI,7,35,0,4,30,0,6.5
,Giovani Bernard,CIN,@BAL,10,45,0,2,15,0,6.0
,Kapri Bibbs,WAS,@NYG,8,30,0,4,30,0,6.0
,Alfred Blue,HOU,@IND,13,55,0,1,5,0,6.0
,Mike Davis,SEA,ARI,9,40,0,3,20,0,6.0
,Jordan Howard,CHI,@MIN,13,55,0,1,5,0,6.0
,Rod Smith,DAL,@PHI,10,45,0,2,15,0,6.0
,T.J. Yeldon,JAC,@TEN,8,30,0,4,30,0,6.0
,Devontae Booker,DEN,KC,8,30,0,3,25,0,5.5
,Theo Riddick,DET,GB,8,30,0,4,25,0,5.5
,Jay Ajayi,PHI,DAL,10,40,0,1,10,0,5.0
,Matt Breida,SF,@LAR,10,40,0,1,10,0,5.0
,J.D. McKissic,SEA,ARI,6,25,0,3,25,0,5.0
,Branden Oliver,LAC,OAK,10,40,0,1,10,0,5.0
,Jonathan Stewart,CAR,@ATL,11,45,0,1,5,0,5.0
,Tarik Cohen,CHI,@MIN,6,25,0,2,20,0,4.5
,Tion Green,DET,GB,11,45,0,0,0,0,4.5
,Tevin Coleman,ATL,CAR,5,20,0,2,20,0,4.0
,Danny Woodhead,BAL,CIN,3,10,0,5,30,0,4.0
,Javorius Allen,BAL,CIN,6,25,0,1,10,0,3.5
,Marlon Mack,IND,HOU,5,20,0,2,15,0,3.5
,Elijah McGuire,NYJ,@NE,7,25,0,1,10,0,3.5
,Jalen Richard,OAK,@LAC,4,15,0,2,20,0,3.5
,Stevan Ridley,PIT,CLE,9,30,0,1,5,0,3.5
,Devante Mays,GB,@DET,5,20,0,1,10,0,3.0
,Ameer Abdullah,DET,GB,4,15,0,1,10,0,2.5
,Orleans Darkwa,NYG,WAS,3,15,0,1,10,0,2.5
,Doug Martin,TB,NO,6,20,0,1,5,0,2.5
,Elijhaa Penny,ARI,@SEA,5,20,0,1,5,0,2.5
,Charles Sims,TB,NO,1,5,0,2,20,0,2.5
,D.J. Foster,ARI,@SEA,1,5,0,2,15,0,2.0
,Kareem Hunt,KC,@DEN,4,15,0,1,5,0,2.0
,DeAndre Washington,OAK,@LAC,3,10,0,1,10,0,2.0
,LeGarrette Blount,PHI,DAL,4,15,0,0,0,0,1.5
,Benny Cunningham,CHI,@MIN,1,5,0,1,10,0,1.5
,Shane Vereen,NYG,WAS,4,15,0,0,0,0,1.5
,David Fluellen,TEN,JAC,3,10,0,0,0,0,1.0
,Brian Hill,CIN,@BAL,3,10,0,0,0,0,1.0
,Chris Ivory,JAC,@TEN,3,10,0,0,0,0,1.0
,Thomas Rawls,SEA,ARI,2,10,0,0,0,0,1.0
,Eddie Lacy,SEA,ARI,1,5,0,0,0,0,0.5
