Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Aaron Rodgers,GB,@DAL,28,42,320,3,0,4,20,0,30.0
,Tom Brady,NE,@TB,27,41,325,3,0,0,0,0,28.3
,Russell Wilson,SEA,@LAR,23,35,265,2,0,6,30,0,24.3
,Jameis Winston,TB,NE,24,38,300,2,1,2,10,0,24.0
,Dak Prescott,DAL,GB,22,35,265,2,0,3,25,0,23.8
,Carson Palmer,ARI,@PHI,27,43,290,2,1,1,5,0,23.0
,Alex Smith,KC,@HOU,25,36,250,2,0,6,25,0,23.0
,Carson Wentz,PHI,ARI,21,33,255,2,1,4,20,0,22.8
,Matthew Stafford,DET,CAR,22,34,255,2,1,4,15,0,22.3
,Andy Dalton,CIN,BUF,23,36,260,2,0,2,10,0,22.0
,Cam Newton,CAR,@DET,19,31,235,2,1,5,20,0,21.8
,Eli Manning,NYG,LAC,21,35,270,2,1,0,0,0,21.5
,Tyrod Taylor,BUF,@CIN,17,28,220,2,0,5,25,0,21.5
,Philip Rivers,LAC,@NYG,22,34,265,2,1,0,0,0,21.3
,Sam Bradford,MIN,@CHI,21,35,260,2,1,0,0,0,21.0
,Jared Goff,LAR,SEA,22,34,235,2,1,0,0,0,19.8
,Deshaun Watson,HOU,KC,21,33,245,1,1,9,35,0,19.8
,Mitchell Trubisky,CHI,MIN,18,31,225,1,1,8,25,0,17.8
,Blake Bortles,JAC,@PIT,18,28,215,1,1,6,25,0,17.3
,DeShone Kizer,CLE,NYJ,18,31,210,1,2,5,25,0,17.0
,Jacoby Brissett,IND,SF,18,30,215,1,1,5,20,0,16.8
,Brian Hoyer,SF,@IND,23,39,245,1,1,1,5,0,16.8
,Jay Cutler,MIA,TEN,19,32,240,1,1,1,5,0,16.5
,Josh McCown,NYJ,@CLE,20,31,230,1,1,2,10,0,16.5
,Ben Roethlisberger,PIT,JAC,22,37,250,1,1,0,0,0,16.5
,Matt Cassel,TEN,@MIA,20,29,220,1,1,3,10,0,16.0
,Joe Flacco,BAL,@OAK,19,33,225,1,1,0,0,0,15.3
,EJ Manuel,OAK,BAL,18,28,215,1,1,0,0,0,14.8
