Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Wil Lutz,NO,TB,3,0,3,0,12.0
,Blair Walsh,SEA,WAS,3,0,3,0,12.0
,Matt Prater,DET,@GB,3,0,2,0,11.0
,Ryan Succop,TEN,BAL,3,0,2,0,11.0
,Harrison Butker,KC,@DAL,2,0,3,0,9.0
,Chandler Catanzaro,NYJ,BUF,2,0,3,0,9.0
,Jake Elliott,PHI,DEN,2,0,3,0,9.0
,Graham Gano,CAR,ATL,2,0,3,0,9.0
,Giorgio Tavecchio,OAK,@MIA,2,0,3,0,9.0
,Matt Bryant,ATL,@CAR,2,0,2,0,8.0
,Randy Bullock,CIN,@JAC,2,0,2,0,8.0
,Mason Crosby,GB,DET,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,IND,2,0,2,0,8.0
,Steve Hauschka,BUF,@NYJ,2,0,2,0,8.0
,Brandon McManus,DEN,@PHI,2,0,2,0,8.0
,Patrick Murray,TB,@NO,2,0,2,0,8.0
,Cody Parkey,MIA,OAK,2,0,2,0,8.0
,Aldrick Rosas,NYG,LAR,2,0,2,0,8.0
,Nick Rose,WAS,@SEA,2,0,2,0,8.0
,Adam Vinatieri,IND,@HOU,2,0,2,0,8.0
,Mike Nugent,DAL,KC,1,0,4,0,7.0
,Josh Lambo,JAC,CIN,1,0,3,0,6.0
,Greg Zuerlein,LAR,@NYG,1,0,3,0,6.0
,Phil Dawson,ARI,@SF,1,0,2,0,5.0
,Justin Tucker,BAL,@TEN,1,0,2,0,5.0
,Robbie Gould,SF,ARI,0,0,2,0,2.0
