Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Dustin Hopkins,WAS,DEN,3,0,2,0,11.0
,Chris Boswell,PIT,@HOU,2,0,3,0,9.0
,Harrison Butker,KC,MIA,2,0,3,0,9.0
,Sam Ficken,LAR,@TEN,2,0,3,0,9.0
,Kai Forbath,MIN,@GB,2,0,3,0,9.0
,Graham Gano,CAR,TB,2,0,3,0,9.0
,Josh Lambo,JAC,@SF,2,0,3,0,9.0
,Matt Prater,DET,@CIN,2,0,3,0,9.0
,Justin Tucker,BAL,IND,2,0,3,0,9.0
,Blair Walsh,SEA,@DAL,2,0,3,0,9.0
,Dan Bailey,DAL,SEA,2,0,2,0,8.0
,Matt Bryant,ATL,@NO,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,LAC,2,0,2,0,8.0
,Phil Dawson,ARI,NYG,2,0,2,0,8.0
,Zane Gonzalez,CLE,@CHI,2,0,2,0,8.0
,Brandon McManus,DEN,@WAS,2,0,2,0,8.0
,Patrick Murray,TB,@CAR,2,0,2,0,8.0
,Cody Parkey,MIA,@KC,2,0,2,0,8.0
,Ryan Succop,TEN,LAR,2,0,2,0,8.0
,Jake Elliott,PHI,OAK,1,0,4,0,7.0
,Ka'imi Fairbairn,HOU,PIT,2,0,1,0,7.0
,Stephen Gostkowski,NE,BUF,1,0,4,0,7.0
,Aldrick Rosas,NYG,@ARI,2,0,1,0,7.0
,Adam Vinatieri,IND,@BAL,2,0,1,0,7.0
,Robbie Gould,SF,JAC,1,0,3,0,6.0
,Wil Lutz,NO,ATL,1,0,3,0,6.0
,Nick Rose,LAC,@NYJ,1,0,3,0,6.0
,Randy Bullock,CIN,DET,1,0,2,0,5.0
,Mason Crosby,GB,MIN,1,0,2,0,5.0
,Steve Hauschka,BUF,@NE,1,0,2,0,5.0
,Mike Nugent,CHI,CLE,1,0,2,0,5.0
,Giorgio Tavecchio,OAK,@PHI,1,0,2,0,5.0
