Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Zach Ertz,PHI,@CAR,6,70,1,13.0
,Travis Kelce,KC,PIT,5,65,1,12.5
,Evan Engram,NYG,@DEN,5,60,1,12.0
,Rob Gronkowski,NE,@NYJ,5,60,1,12.0
,Jordan Reed,WAS,SF,5,55,1,11.5
,Cameron Brate,TB,@ARI,4,50,1,11.0
,Delanie Walker,TEN,IND,4,50,1,11.0
,Kyle Rudolph,MIN,GB,4,45,1,10.5
,Austin Seferian-Jenkins,NYJ,NE,4,45,1,10.5
,Coby Fleener,NO,DET,4,40,1,10.0
,Jared Cook,OAK,LAC,4,35,1,9.5
,Ed Dickson,CAR,PHI,4,45,0,4.5
,Jack Doyle,IND,@TEN,4,45,0,4.5
,George Kittle,SF,@WAS,4,45,0,4.5
,Hunter Henry,LAC,@OAK,4,40,0,4.0
,Zach Miller,CHI,@BAL,3,40,0,4.0
,Martellus Bennett,GB,@MIN,3,35,0,3.5
,Eric Ebron,DET,@NO,3,35,0,3.5
,Ryan Griffin,HOU,CLE,3,35,0,3.5
,Austin Hooper,ATL,MIA,3,35,0,3.5
,Jesse James,PIT,@KC,3,35,0,3.5
,Seth Devalve,CLE,@HOU,3,30,0,3.0
,Julius Thomas,MIA,@ATL,3,30,0,3.0
,Ben Watson,BAL,CHI,3,30,0,3.0
,Gerald Everett,LAR,@JAC,2,25,0,2.5
,Marcedes Lewis,JAC,LAR,2,25,0,2.5
,David Njoku,CLE,@HOU,2,25,0,2.5
,Nick Boyle,BAL,CHI,2,20,0,2.0
,Vernon Davis,WAS,SF,2,20,0,2.0
,A.J. Derby,DEN,NYG,2,20,0,2.0
,Darren Fells,DET,@NO,2,20,0,2.0
,Jermaine Gresham,ARI,TB,2,20,0,2.0
,O.J. Howard,TB,@ARI,1,15,0,1.5
,Trey Burton,PHI,@CAR,1,10,0,1.0
,Brent Celek,PHI,@CAR,1,10,0,1.0
,Rhett Ellison,NYG,@DEN,1,10,0,1.0
,Antonio Gates,LAC,@OAK,1,10,0,1.0
,Virgil Green,DEN,NYG,1,10,0,1.0
,Tyler Higbee,LAR,@JAC,1,10,0,1.0
