Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,NE,9,120,1,18.0
,Julio Jones,ATL,@TB,7,110,1,17.0
,Keenan Allen,LAC,@KC,7,100,1,16.0
,Tyreek Hill,KC,LAC,6,85,1,15.5
,Brandin Cooks,NE,@PIT,5,90,1,15.0
,Michael Thomas,NO,NYJ,7,90,1,15.0
,Michael Crabtree,OAK,DAL,7,85,1,14.5
,Larry Fitzgerald,ARI,@WAS,8,85,1,14.5
,Devin Funchess,CAR,GB,6,85,1,14.5
,Adam Thielen,MIN,CIN,6,85,1,14.5
,Davante Adams,GB,@CAR,6,80,1,14.0
,Jamison Crowder,WAS,ARI,7,80,1,14.0
,Marquise Goodwin,SF,TEN,6,80,1,14.0
,DeAndre Hopkins,HOU,@JAC,8,80,1,14.0
,Marvin Jones,DET,CHI,6,80,1,14.0
,Golden Tate,DET,CHI,8,80,1,14.0
,Demaryius Thomas,DEN,@IND,6,80,1,14.0
,Jarvis Landry,MIA,@BUF,8,75,1,13.5
,Marqise Lee,JAC,HOU,6,75,1,13.5
,Mike Wallace,BAL,@CLE,5,75,1,13.5
,Dez Bryant,DAL,@OAK,6,70,1,13.0
,Josh Gordon,CLE,BAL,5,70,1,13.0
,Alshon Jeffery,PHI,@NYG,5,70,1,13.0
,Cooper Kupp,LAR,@SEA,7,70,1,13.0
,Jordy Nelson,GB,@CAR,4,70,1,13.0
,DeSean Jackson,TB,ATL,4,60,1,12.5
,JuJu Smith-Schuster,PIT,NE,5,65,1,12.5
,Dede Westbrook,JAC,HOU,5,65,1,12.5
,Doug Baldwin,SEA,LAR,5,60,1,12.0
,Robert Woods,LAR,@SEA,4,55,1,11.5
,Mohamed Sanu,ATL,@TB,4,50,1,11.0
,Martavis Bryant,PIT,NE,2,30,1,9.5
,T.Y. Hilton,IND,DEN,5,70,0,7.0
,Mike Evans,TB,ATL,5,65,0,6.5
,A.J. Green,CIN,@MIN,4,65,0,6.5
,Sterling Shepard,NYG,PHI,5,65,0,6.5
,Danny Amendola,NE,@PIT,6,60,0,6.0
,Robby Anderson,NYJ,@NO,4,60,0,6.0
,Stefon Diggs,MIN,CIN,5,60,0,6.0
,Jermaine Kearse,NYJ,@NO,4,55,0,5.5
,Rishard Matthews,TEN,@SF,4,55,0,5.5
,Brandon LaFell,CIN,@MIN,3,50,0,5.0
,Jeremy Maclin,BAL,@CLE,4,50,0,5.0
,DeVante Parker,MIA,@BUF,3,50,0,5.0
,Paul Richardson,SEA,LAR,3,50,0,5.0
,Trent Taylor,SF,TEN,4,50,0,5.0
,Kelvin Benjamin,BUF,MIA,4,45,0,4.5
,Randall Cobb,GB,@CAR,3,40,0,4.5
,Corey Coleman,CLE,BAL,4,45,0,4.5
,Ryan Grant,WAS,ARI,4,45,0,4.5
,Dontrelle Inman,CHI,@DET,3,45,0,4.5
,Cordarrelle Patterson,OAK,DAL,2,30,0,4.5
,Emmanuel Sanders,DEN,@IND,4,45,0,4.5
,Kenny Stills,MIA,@BUF,4,45,0,4.5
,Sammy Watkins,LAR,@SEA,3,45,0,4.5
,Nelson Agholor,PHI,@NYG,3,40,0,4.0
,Jaron Brown,ARI,@WAS,3,40,0,4.0
,Corey Davis,TEN,@SF,3,40,0,4.0
,Josh Doctson,WAS,ARI,3,40,0,4.0
,Will Fuller,HOU,@JAC,3,40,0,4.0
,Tyler Lockett,SEA,LAR,3,40,0,4.0
,Louis Murphy,SF,TEN,3,40,0,4.0
,Seth Roberts,OAK,DAL,3,40,0,4.0
,Chester Rogers,IND,DEN,3,40,0,4.0
,Torrey Smith,PHI,@NYG,2,40,0,4.0
,Deonte Thompson,BUF,MIA,3,40,0,4.0
,Terrance Williams,DAL,@OAK,3,40,0,4.0
,Tyrell Williams,LAC,@KC,3,40,0,4.0
,Cole Beasley,DAL,@OAK,3,35,0,3.5
,Roger Lewis,NYG,PHI,3,35,0,3.5
,Russell Shepard,CAR,GB,3,35,0,3.5
,Willie Snead,NO,NYJ,2,35,0,3.5
,Kendall Wright,CHI,@DET,3,35,0,3.5
,Travis Benjamin,LAC,@KC,2,30,0,3.0
,Keelan Cole,JAC,HOU,2,30,0,3.0
,Kenny Golladay,DET,CHI,2,30,0,3.0
,Adam Humphries,TB,ATL,3,30,0,3.0
,Josh Reynolds,LAR,@SEA,2,30,0,3.0
,Brandon Coleman,NO,NYJ,2,25,0,2.5
,J.J. Nelson,ARI,@WAS,2,25,0,2.5
,Tavon Austin,LAR,@SEA,1,10,0,2.0
,Josh Bellamy,CHI,@DET,1,20,0,2.0
,Eric Decker,TEN,@SF,2,20,0,2.0
,Taylor Gabriel,ATL,@TB,2,20,0,2.0
,Justin Hardy,ATL,@TB,1,20,0,2.0
,Zay Jones,BUF,MIA,2,20,0,2.0
,Cody Latimer,DEN,@IND,1,20,0,2.0
,Aldrick Robinson,SF,TEN,1,20,0,2.0
,Demarcus Robinson,KC,LAC,1,20,0,2.0
,Laquon Treadwell,MIN,CIN,1,20,0,2.0
,Albert Wilson,KC,LAC,1,20,0,2.0
,T.J. Jones,DET,CHI,1,15,0,1.5
,Chris Godwin,TB,ATL,1,10,0,1.0
,Maurice Harris,WAS,ARI,1,10,0,1.0
,Ricardo Louis,CLE,BAL,1,10,0,1.0
,Eli Rogers,PIT,NE,1,10,0,1.0
,Taywan Taylor,TEN,@SF,1,10,0,1.0
