Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Rob Gronkowski,NE,HOU,5,65,1,12.5
,Zach Ertz,PHI,NYG,5,60,1,12.0
,Travis Kelce,KC,@LAC,5,60,1,12.0
,Jason Witten,DAL,@ARI,5,55,1,11.5
,Martellus Bennett,GB,CIN,4,50,1,11.0
,Jack Doyle,IND,CLE,5,50,1,11.0
,Eric Ebron,DET,ATL,4,50,1,11.0
,Kyle Rudolph,MIN,TB,4,50,1,11.0
,Ben Watson,BAL,@JAC,4,50,1,11.0
,Charles Clay,BUF,DEN,4,45,1,10.5
,Evan Engram,NYG,@PHI,4,45,1,10.5
,Zach Miller,CHI,PIT,4,45,1,10.5
,Hunter Henry,LAC,KC,4,40,1,10.0
,Delanie Walker,TEN,SEA,6,65,0,6.5
,Jared Cook,OAK,@WAS,5,45,0,4.5
,Coby Fleener,NO,@CAR,4,45,0,4.5
,Cameron Brate,TB,@MIN,4,40,0,4.0
,Jimmy Graham,SEA,@TEN,4,40,0,4.0
,Austin Hooper,ATL,@DET,4,40,0,4.0
,Vernon Davis,WAS,OAK,3,35,0,3.5
,Ed Dickson,CAR,NO,3,35,0,3.5
,Antonio Gates,LAC,KC,3,30,0,3.0
,Julius Thomas,MIA,@NYJ,3,30,0,3.0
,Seth Devalve,CLE,@IND,2,25,0,2.5
,Virgil Green,DEN,@BUF,2,25,0,2.5
,Jermaine Gresham,ARI,DAL,2,25,0,2.5
,Jesse James,PIT,@CHI,2,25,0,2.5
,George Kittle,SF,LAR,2,25,0,2.5
,David Njoku,CLE,@IND,2,25,0,2.5
,Austin Seferian-Jenkins,NYJ,MIA,2,25,0,2.5
,Nick Boyle,BAL,@JAC,2,20,0,2.0
,Gerald Everett,LAR,@SF,2,20,0,2.0
,Ryan Griffin,HOU,@NE,2,20,0,2.0
,Tyler Higbee,LAR,@SF,2,20,0,2.0
,Tyler Kroft,CIN,@GB,2,20,0,2.0
,Jordan Reed,WAS,OAK,2,20,0,2.0
,C.J. Uzomah,CIN,@GB,2,20,0,2.0
,Trey Burton,PHI,NYG,1,10,0,1.0
,Brent Celek,PHI,NYG,1,10,0,1.0
,A.J. Derby,DEN,@BUF,1,10,0,1.0
,Rhett Ellison,NYG,@PHI,1,10,0,1.0
,O.J. Howard,TB,@MIN,1,10,0,1.0
,Marcedes Lewis,JAC,BAL,1,10,0,1.0
,Nick O'Leary,BUF,DEN,1,10,0,1.0
,Dwayne Allen,NE,HOU,1,5,0,0.5
