Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Jimmy Graham,SEA,@GB,7,75,1,13.5
,Rob Gronkowski,NE,KC,5,70,1,13.0
,Greg Olsen,CAR,@SF,6,70,1,13.0
,Tyler Eifert,CIN,BAL,5,65,1,12.5
,Zach Ertz,PHI,@WAS,6,65,1,12.5
,Travis Kelce,KC,@NE,5,65,1,12.5
,Jordan Reed,WAS,PHI,6,65,1,12.5
,Delanie Walker,TEN,OAK,5,60,1,12.0
,Martellus Bennett,GB,SEA,5,55,1,11.5
,Jack Doyle,IND,@LAR,5,55,1,11.5
,Evan Engram,NYG,@DAL,5,55,1,11.5
,Coby Fleener,NO,@MIN,5,55,1,11.5
,Kyle Rudolph,MIN,NO,5,55,1,11.5
,Hunter Henry,LAC,@DEN,5,50,1,11.0
,Charles Clay,BUF,NYJ,4,45,1,10.5
,Austin Hooper,ATL,@CHI,3,35,1,9.5
,C.J. Fiedorowicz,HOU,JAC,5,55,0,5.5
,Jason Witten,DAL,NYG,4,40,0,4.0
,Jared Cook,OAK,@TEN,4,30,0,3.0
,Eric Ebron,DET,ARI,3,30,0,3.0
,Jermaine Gresham,ARI,@DET,3,30,0,3.0
,Ben Koyack,JAC,@HOU,2,30,0,3.0
,Maxx Williams,BAL,@CIN,3,30,0,3.0
,Garrett Celek,SF,CAR,2,25,0,2.5
,Seth Devalve,CLE,PIT,2,25,0,2.5
,Antonio Gates,LAC,@DEN,2,25,0,2.5
,Virgil Green,DEN,LAC,2,25,0,2.5
,Ryan Griffin,HOU,JAC,2,25,0,2.5
,Tyler Higbee,LAR,IND,2,25,0,2.5
,Zach Miller,CHI,ATL,2,25,0,2.5
,Will Tye,NYJ,@BUF,2,25,0,2.5
,Jesse James,PIT,@CLE,2,20,0,2.0
,George Kittle,SF,CAR,2,20,0,2.0
,Marcedes Lewis,JAC,@HOU,2,20,0,2.0
,Vance McDonald,PIT,@CLE,2,20,0,2.0
,David Njoku,CLE,PIT,2,20,0,2.0
,Ben Watson,BAL,@CIN,2,20,0,2.0
,Trey Burton,PHI,@WAS,1,10,0,1.0
,Brent Celek,PHI,@WAS,1,10,0,1.0
,Vernon Davis,WAS,PHI,1,10,0,1.0
,Rhett Ellison,NYG,@DAL,1,10,0,1.0
,Gerald Everett,LAR,IND,1,10,0,1.0
,Jordan Leggett,NYJ,@BUF,1,10,0,1.0
,Dwayne Allen,NE,KC,1,5,0,0.5
