Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Russell Wilson,SEA,WAS,23,36,270,2,0,6,30,1,30.5
,Dak Prescott,DAL,KC,23,36,255,2,0,4,30,1,29.8
,Alex Smith,KC,@DAL,26,38,285,2,0,6,30,0,25.3
,Cam Newton,CAR,ATL,22,34,265,2,1,9,35,0,24.8
,Drew Brees,NO,TB,29,44,310,2,0,0,0,0,23.5
,Jacoby Brissett,IND,@HOU,21,37,260,2,1,6,25,0,23.5
,Derek Carr,OAK,@MIA,24,38,290,2,1,1,5,0,23.0
,Carson Wentz,PHI,DEN,19,31,240,2,0,5,25,0,22.5
,Jameis Winston,TB,@NO,21,34,270,2,1,3,10,0,22.5
,Matt Ryan,ATL,@CAR,24,35,265,2,0,2,10,0,22.3
,Matthew Stafford,DET,@GB,24,37,275,2,0,1,5,0,22.3
,Kirk Cousins,WAS,@SEA,20,32,240,2,0,4,20,0,22.0
,Jared Goff,LAR,@NYG,24,36,255,2,1,3,10,0,21.8
,Josh McCown,NYJ,BUF,20,31,235,2,1,1,5,0,20.3
,Tom Savage,HOU,IND,19,33,230,2,1,1,5,0,20.0
,Tyrod Taylor,BUF,@NYJ,17,28,225,1,0,7,35,0,18.8
,Jay Cutler,MIA,OAK,21,35,265,1,1,0,0,0,17.3
,Brett Hundley,GB,DET,17,30,195,1,1,6,30,0,16.8
,Blake Bortles,JAC,CIN,17,27,210,1,1,5,20,0,16.5
,Marcus Mariota,TEN,BAL,18,31,230,1,1,2,10,0,16.5
,Andy Dalton,CIN,@JAC,20,31,225,1,1,2,10,0,16.3
,Brock Osweiler,DEN,@PHI,18,31,225,1,1,1,10,0,16.3
,C.J. Beathard,SF,ARI,16,26,190,1,1,4,25,0,16.0
,Drew Stanton,ARI,@SF,18,28,215,1,1,3,10,0,15.8
,Eli Manning,NYG,LAR,15,25,195,1,1,0,0,0,13.8
,Joe Flacco,BAL,@TEN,16,28,190,1,1,0,0,0,13.5
