Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Stephen Gostkowski,NE,@DEN,3,0,3,0,12.0
,Wil Lutz,NO,@BUF,3,0,3,0,12.0
,Greg Zuerlein,LAR,HOU,3,0,3,0,12.0
,Kai Forbath,MIN,@WAS,3,0,2,0,11.0
,Josh Lambo,JAC,LAC,3,0,2,0,11.0
,Ryan Succop,TEN,CIN,3,0,2,0,11.0
,Nick Rose,WAS,MIN,3,0,1,0,10.0
,Chris Boswell,PIT,@IND,2,0,3,0,9.0
,Chandler Catanzaro,NYJ,@TB,2,0,3,0,9.0
,Graham Gano,CAR,MIA,2,0,3,0,9.0
,Mike Nugent,DAL,@ATL,2,0,3,0,9.0
,Matt Prater,DET,CLE,2,0,3,0,9.0
,Connor Barth,CHI,GB,2,0,2,0,8.0
,Randy Bullock,CIN,@TEN,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,@LAR,2,0,2,0,8.0
,Patrick Murray,TB,NYJ,2,0,2,0,8.0
,Nick Novak,LAC,@JAC,2,0,2,0,8.0
,Cody Parkey,MIA,@CAR,2,0,2,0,8.0
,Aldrick Rosas,NYG,@SF,2,0,2,0,8.0
,Blair Walsh,SEA,@ARI,2,0,2,0,8.0
,Matt Bryant,ATL,DAL,1,0,3,0,6.0
,Steve Hauschka,BUF,NO,1,0,3,0,6.0
,Mason Crosby,GB,@CHI,1,0,2,0,5.0
,Phil Dawson,ARI,SEA,1,0,2,0,5.0
,Robbie Gould,SF,NYG,1,0,2,0,5.0
,Brandon McManus,DEN,NE,1,0,2,0,5.0
,Adam Vinatieri,IND,PIT,1,0,2,0,5.0
,Zane Gonzalez,CLE,@DET,1,0,1,0,4.0
