Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Chris Boswell,PIT,GB,3,0,3,0,12.0
,Randy Bullock,CIN,CLE,3,0,2,0,11.0
,Justin Tucker,BAL,HOU,3,0,2,0,11.0
,Phil Dawson,ARI,JAC,3,0,1,0,10.0
,Matt Bryant,ATL,TB,2,0,3,0,9.0
,Jake Elliott,PHI,CHI,2,0,3,0,9.0
,Graham Gano,CAR,@NYJ,2,0,3,0,9.0
,Wil Lutz,NO,@LAR,2,0,3,0,9.0
,Nick Rose,WAS,NYG,2,0,3,0,9.0
,Ryan Succop,TEN,@IND,2,0,3,0,9.0
,Giorgio Tavecchio,OAK,DEN,2,0,3,0,9.0
,Blair Walsh,SEA,@SF,2,0,3,0,9.0
,Harrison Butker,KC,BUF,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,CAR,2,0,2,0,8.0
,Robbie Gould,SF,SEA,2,0,2,0,8.0
,Aldrick Rosas,NYG,@WAS,2,0,2,0,8.0
,Cairo Santos,CHI,@PHI,2,0,2,0,8.0
,Greg Zuerlein,LAR,NO,2,0,2,0,8.0
,Stephen Gostkowski,NE,MIA,1,0,4,0,7.0
,Nick Novak,LAC,@DAL,2,0,1,0,7.0
,Kai Forbath,MIN,@DET,1,0,3,0,6.0
,Mike Nugent,DAL,LAC,1,0,3,0,6.0
,Matt Prater,DET,MIN,1,0,3,0,6.0
,Adam Vinatieri,IND,TEN,1,0,3,0,6.0
,Ka'imi Fairbairn,HOU,@BAL,1,0,2,0,5.0
,Zane Gonzalez,CLE,@CIN,1,0,2,0,5.0
,Steve Hauschka,BUF,@KC,1,0,2,0,5.0
,Josh Lambo,JAC,@ARI,1,0,2,0,5.0
,Brandon McManus,DEN,@OAK,1,0,2,0,5.0
,Patrick Murray,TB,@ATL,1,0,2,0,5.0
,Cody Parkey,MIA,@NE,1,0,2,0,5.0
,Mason Crosby,GB,@PIT,0,0,2,0,2.0
