Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,David Johnson,ARI,@DET,22,95,1,6,45,0,20.0
,LeSean McCoy,BUF,NYJ,26,110,1,4,30,0,20.0
,Le'Veon Bell,PIT,@CLE,25,100,1,3,35,0,19.5
,Todd Gurley,LAR,IND,23,95,1,4,30,0,18.5
,Ezekiel Elliott,DAL,NYG,23,100,1,3,20,0,18.0
,Melvin Gordon,LAC,@DEN,21,85,1,5,30,0,17.5
,Lamar Miller,HOU,JAC,24,95,1,2,20,0,17.5
,DeMarco Murray,TEN,OAK,18,85,1,3,25,0,17.0
,Devonta Freeman,ATL,@CHI,18,70,1,4,35,0,16.5
,Jordan Howard,CHI,ATL,18,85,1,3,20,0,16.5
,Ameer Abdullah,DET,ARI,16,65,1,4,35,0,16.0
,Ty Montgomery,GB,SEA,18,65,1,4,35,0,16.0
,Carlos Hyde,SF,CAR,19,75,1,2,20,0,15.5
,C.J. Anderson,DEN,LAC,16,65,1,3,25,0,15.0
,Frank Gore,IND,@LAR,16,65,1,3,25,0,15.0
,Marshawn Lynch,OAK,@TEN,20,75,1,1,10,0,14.5
,Jonathan Stewart,CAR,@SF,19,75,1,1,10,0,14.5
,Leonard Fournette,JAC,@HOU,17,70,1,1,10,0,14.0
,Duke Johnson,CLE,PIT,8,30,0,6,45,1,13.5
,Bilal Powell,NYJ,@BUF,10,40,0,4,30,1,13.0
,Rob Kelley,WAS,PHI,15,60,1,0,0,0,12.0
,Danny Woodhead,BAL,@CIN,8,30,0,5,30,1,12.0
,Mike Gillislee,NE,KC,11,45,1,1,10,0,11.5
,Theo Riddick,DET,ARI,3,10,0,6,45,1,11.5
,Jeremy Hill,CIN,BAL,11,45,1,0,0,0,10.5
,Adrian Peterson,NO,@MIN,11,40,1,1,5,0,10.5
,Dalvin Cook,MIN,NO,16,70,0,4,30,0,10.0
,Eddie Lacy,SEA,@GB,9,40,1,0,0,0,10.0
,Latavius Murray,MIN,NO,8,30,1,1,5,0,9.5
,Isaiah Crowell,CLE,PIT,16,65,0,3,25,0,9.0
,Kareem Hunt,KC,@NE,16,65,0,4,25,0,9.0
,Mark Ingram,NO,@MIN,19,65,0,3,25,0,9.0
,Matt Forte,NYJ,@BUF,11,45,0,3,25,0,7.0
,Christian McCaffrey,CAR,@SF,11,40,0,4,30,0,7.0
,Joe Mixon,CIN,BAL,10,40,0,2,20,0,6.0
,Terrance West,BAL,@CIN,11,45,0,2,15,0,6.0
,Tevin Coleman,ATL,@CHI,8,30,0,3,25,0,5.5
,Paul Perkins,NYG,@DAL,14,55,0,0,0,0,5.5
,Darren Sproles,PHI,@WAS,6,25,0,4,30,0,5.5
,Jamaal Charles,DEN,LAC,9,35,0,2,15,0,5.0
,Chris Thompson,WAS,PHI,5,20,0,4,30,0,5.0
,Shane Vereen,NYG,@DAL,5,20,0,3,25,0,4.5
,Giovani Bernard,CIN,BAL,6,25,0,2,15,0,4.0
,LeGarrette Blount,PHI,@WAS,13,40,0,0,0,0,4.0
,Tarik Cohen,CHI,ATL,4,15,0,3,25,0,4.0
,Derrick Henry,TEN,OAK,8,35,0,1,5,0,4.0
,Darren McFadden,DAL,NYG,5,20,0,2,20,0,4.0
,Wendell Smallwood,PHI,@WAS,10,30,0,1,10,0,4.0
,DeAndre Washington,OAK,@TEN,10,30,0,1,10,0,4.0
,James White,NE,KC,2,10,0,4,30,0,4.0
,Chris Ivory,JAC,@HOU,6,25,0,1,10,0,3.5
,Robert Turbin,IND,@LAR,5,20,0,2,15,0,3.5
,Javorius Allen,BAL,@CIN,4,15,0,2,15,0,3.0
,Matt Breida,SF,CAR,5,20,0,1,10,0,3.0
,Rex Burkhead,NE,KC,5,20,0,1,10,0,3.0
,Chris Carson,SEA,@GB,8,30,0,0,0,0,3.0
,D'Onta Foreman,HOU,JAC,6,25,0,1,5,0,3.0
,Branden Oliver,LAC,@DEN,5,20,0,1,10,0,3.0
,Charcandrick West,KC,@NE,5,20,0,1,10,0,3.0
,Kyle Juszczyk,SF,CAR,1,5,0,2,20,0,2.5
,Thomas Rawls,SEA,@GB,6,25,0,0,0,0,2.5
,Aaron Ripkowski,GB,SEA,2,10,0,2,15,0,2.5
,T.J. Yeldon,JAC,@HOU,3,10,0,2,15,0,2.5
,Benny Cunningham,CHI,ATL,3,10,0,1,10,0,2.0
,Andre Ellington,ARI,@DET,1,5,0,2,15,0,2.0
,Samaje Perine,WAS,PHI,5,20,0,0,0,0,2.0
,Jalen Richard,OAK,@TEN,3,10,0,1,10,0,2.0
,Jamaal Williams,GB,SEA,5,20,0,0,0,0,2.0
,Kerwynn Williams,ARI,@DET,4,15,0,1,5,0,2.0
,Orleans Darkwa,NYG,@DAL,0,0,0,2,15,0,1.5
,Jerick McKinnon,MIN,NO,3,10,0,1,5,0,1.5
,C.J. Prosise,SEA,@GB,0,0,0,2,15,0,1.5
,De'Angelo Henderson,DEN,LAC,2,10,0,0,0,0,1.0
,Dion Lewis,NE,KC,0,0,0,1,10,0,1.0
,Marlon Mack,IND,@LAR,3,10,0,0,0,0,1.0
,C.J. Spiller,KC,@NE,3,10,0,0,0,0,1.0
,Mike Tolbert,BUF,NYJ,3,10,0,0,0,0,1.0
,James Conner,PIT,@CLE,1,5,0,0,0,0,0.5
,Alfred Morris,DAL,NYG,2,5,0,0,0,0,0.5
,Zach Zenner,DET,ARI,1,5,0,0,0,0,0.5
