Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Ka'imi Fairbairn,HOU,KC,3,0,1,0,10.0
,Jake Elliott,PHI,ARI,2,0,3,0,9.0
,Nick Folk,TB,NE,2,0,3,0,9.0
,Greg Zuerlein,LAR,SEA,2,0,3,0,9.0
,Connor Barth,CHI,MIN,2,0,2,0,8.0
,Chris Boswell,PIT,JAC,2,0,2,0,8.0
,Harrison Butker,KC,@HOU,2,0,2,0,8.0
,Phil Dawson,ARI,@PHI,2,0,2,0,8.0
,Kai Forbath,MIN,@CHI,2,0,2,0,8.0
,Robbie Gould,SF,@IND,2,0,2,0,8.0
,Jason Myers,JAC,@PIT,2,0,2,0,8.0
,Nick Novak,LAC,@NYG,2,0,2,0,8.0
,Justin Tucker,BAL,@OAK,2,0,2,0,8.0
,Blair Walsh,SEA,@LAR,2,0,2,0,8.0
,Dan Bailey,DAL,GB,1,0,4,0,7.0
,Chandler Catanzaro,NYJ,@CLE,2,0,1,0,7.0
,Stephen Gostkowski,NE,@TB,1,0,4,0,7.0
,Giorgio Tavecchio,OAK,BAL,2,0,1,0,7.0
,Randy Bullock,CIN,BUF,1,0,3,0,6.0
,Mason Crosby,GB,@DAL,1,0,3,0,6.0
,Matt Prater,DET,CAR,1,0,3,0,6.0
,Aldrick Rosas,NYG,LAC,1,0,3,0,6.0
,Ryan Succop,TEN,@MIA,1,0,3,0,6.0
,Adam Vinatieri,IND,SF,1,0,3,0,6.0
,Graham Gano,CAR,@DET,1,0,2,0,5.0
,Zane Gonzalez,CLE,NYJ,1,0,2,0,5.0
,Steve Hauschka,BUF,@CIN,1,0,2,0,5.0
,Cody Parkey,MIA,TEN,1,0,2,0,5.0
