Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Tom Brady,NE,@NO,27,41,325,3,0,0,0,0,28.3
,Drew Brees,NO,NE,29,44,310,3,0,0,0,0,27.5
,Aaron Rodgers,GB,@ATL,27,40,305,2,0,5,25,0,25.8
,Russell Wilson,SEA,SF,23,36,270,2,0,6,30,0,24.5
,Jameis Winston,TB,CHI,24,38,300,2,1,4,15,0,24.5
,Matt Ryan,ATL,GB,30,43,295,2,0,1,5,0,23.3
,Carson Wentz,PHI,@KC,23,36,275,2,1,3,15,0,23.3
,Derek Carr,OAK,NYJ,23,37,285,2,1,1,5,0,22.8
,Ben Roethlisberger,PIT,MIN,24,41,280,2,1,4,5,0,22.5
,Kirk Cousins,WAS,@LAR,22,36,265,2,1,2,10,0,22.3
,Andy Dalton,CIN,HOU,22,35,255,2,1,3,15,0,22.3
,Philip Rivers,LAC,MIA,24,37,285,2,1,0,0,0,22.3
,Matthew Stafford,DET,@NYG,23,35,265,2,1,3,10,0,22.3
,Jay Cutler,MIA,@LAC,22,36,270,2,1,1,5,0,22.0
,Eli Manning,NYG,DET,21,35,270,2,2,2,5,0,22.0
,Cam Newton,CAR,BUF,19,31,235,2,0,5,20,0,21.8
,Marcus Mariota,TEN,@JAC,18,31,230,2,0,4,20,0,21.5
,Joe Flacco,BAL,CLE,21,38,255,2,1,2,5,0,21.3
,Trevor Siemian,DEN,DAL,21,34,250,2,1,1,5,0,21.0
,Carson Palmer,ARI,@IND,24,38,255,2,1,0,0,0,20.8
,Alex Smith,KC,PHI,26,38,265,1,0,5,20,0,19.3
,Dak Prescott,DAL,@DEN,19,31,235,1,0,5,25,0,18.3
,Case Keenum,MIN,@PIT,22,37,255,1,0,3,10,0,17.8
,DeShone Kizer,CLE,@BAL,20,33,225,1,1,5,25,0,17.8
,Tyrod Taylor,BUF,@CAR,16,27,215,1,0,5,30,0,17.8
,Blake Bortles,JAC,TEN,19,31,235,1,1,4,15,0,17.3
,Deshaun Watson,HOU,@CIN,18,29,215,1,1,6,25,0,17.3
,Jared Goff,LAR,WAS,22,34,240,1,1,2,5,0,16.5
,Mike Glennon,CHI,@TB,20,33,230,1,1,1,5,0,16.0
,Josh McCown,NYJ,@OAK,19,29,220,1,1,2,10,0,16.0
,Jacoby Brissett,IND,ARI,18,30,215,1,1,2,10,0,15.8
,Brian Hoyer,SF,@SEA,20,34,215,1,1,2,10,0,15.8
