Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Aaron Rodgers,GB,CIN,27,40,310,3,0,5,25,0,30.0
,Matthew Stafford,DET,ATL,24,37,280,2,1,4,15,0,23.5
,Carson Wentz,PHI,NYG,22,35,270,2,1,4,20,0,23.5
,Dak Prescott,DAL,@ARI,21,34,255,2,0,5,25,0,23.3
,Tom Brady,NE,HOU,25,38,300,2,0,0,0,0,23.0
,Derek Carr,OAK,@WAS,24,38,290,2,1,1,5,0,23.0
,Andy Dalton,CIN,@GB,24,38,270,2,0,3,15,0,23.0
,Alex Smith,KC,@LAC,26,38,260,2,0,5,20,0,23.0
,Cam Newton,CAR,NO,21,33,255,2,0,5,20,0,22.8
,Matt Ryan,ATL,@DET,29,42,285,2,0,1,5,0,22.8
,Drew Brees,NO,@CAR,27,41,290,2,0,0,0,0,22.5
,Philip Rivers,LAC,KC,24,37,285,2,1,0,0,0,22.3
,Jameis Winston,TB,@MIN,21,33,265,2,1,2,10,0,22.3
,Kirk Cousins,WAS,OAK,21,35,260,2,1,2,10,0,22.0
,Carson Palmer,ARI,DAL,25,41,275,2,1,0,0,0,21.8
,Trevor Siemian,DEN,@BUF,20,34,245,2,1,2,15,0,21.8
,Ben Roethlisberger,PIT,@CHI,23,40,270,2,1,0,0,0,21.5
,Jay Cutler,MIA,@NYJ,20,33,250,2,1,1,5,0,21.0
,Russell Wilson,SEA,@TEN,22,33,250,1,0,7,35,0,20.0
,Case Keenum,MIN,TB,20,34,235,2,1,0,0,0,19.8
,Marcus Mariota,TEN,SEA,20,33,245,1,0,4,25,0,18.8
,DeShone Kizer,CLE,@IND,21,35,240,1,1,5,25,0,18.5
,Tyrod Taylor,BUF,DEN,16,26,205,1,1,7,35,0,17.8
,Deshaun Watson,HOU,@NE,18,29,215,1,1,6,25,0,17.3
,Blake Bortles,JAC,BAL,18,29,220,1,1,5,20,0,17.0
,Jared Goff,LAR,@SF,23,35,245,1,1,2,5,0,16.8
,Eli Manning,NYG,@PHI,20,33,255,1,1,0,0,0,16.8
,Mike Glennon,CHI,PIT,21,36,245,1,1,0,0,0,16.3
,Jacoby Brissett,IND,CLE,18,31,220,1,1,2,10,0,16.0
,Joe Flacco,BAL,@JAC,20,35,240,1,1,0,0,0,16.0
,Josh McCown,NYJ,MIA,18,28,210,1,1,2,10,0,15.5
,Brian Hoyer,SF,LAR,20,33,210,1,1,1,5,0,15.0
