Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Zach Ertz,PHI,@LAC,6,70,1,13.0
,Rob Gronkowski,NE,CAR,5,70,1,13.0
,Travis Kelce,KC,WAS,6,70,1,13.0
,Martellus Bennett,GB,CHI,4,50,1,11.0
,Cameron Brate,TB,NYG,4,50,1,11.0
,Charles Clay,BUF,@ATL,4,50,1,11.0
,Jimmy Graham,SEA,IND,4,50,1,11.0
,Jared Cook,OAK,@DEN,5,45,1,10.5
,Evan Engram,NYG,@TB,4,45,1,10.5
,Jack Doyle,IND,@SEA,4,40,1,10.0
,Jordan Reed,WAS,@KC,4,40,1,10.0
,Delanie Walker,TEN,@HOU,5,60,0,6.0
,Jason Witten,DAL,LAR,5,55,0,5.5
,Zach Miller,CHI,@GB,4,45,0,4.5
,Seth Devalve,CLE,CIN,4,40,0,4.0
,Eric Ebron,DET,@MIN,4,40,0,4.0
,Coby Fleener,NO,@MIA,4,40,0,4.0
,Kyle Rudolph,MIN,DET,4,40,0,4.0
,Ben Watson,BAL,PIT,4,40,0,4.0
,Jermaine Gresham,ARI,SF,3,35,0,3.5
,Ryan Griffin,HOU,TEN,3,35,0,3.5
,Jesse James,PIT,@BAL,3,35,0,3.5
,Austin Seferian-Jenkins,NYJ,JAC,3,35,0,3.5
,Gerald Everett,LAR,@DAL,3,30,0,3.0
,Hunter Henry,LAC,PHI,3,30,0,3.0
,Julius Thomas,MIA,NO,3,30,0,3.0
,Antonio Gates,LAC,PHI,2,25,0,2.5
,Austin Hooper,ATL,BUF,2,25,0,2.5
,George Kittle,SF,@ARI,2,25,0,2.5
,Tyler Kroft,CIN,@CLE,2,25,0,2.5
,Marcedes Lewis,JAC,@NYJ,2,25,0,2.5
,Nick Boyle,BAL,PIT,2,20,0,2.0
,Vernon Davis,WAS,@KC,2,20,0,2.0
,Ed Dickson,CAR,@NE,2,20,0,2.0
,Virgil Green,DEN,OAK,2,20,0,2.0
,David Njoku,CLE,CIN,2,20,0,2.0
,Trey Burton,PHI,@LAC,1,10,0,1.0
,Brent Celek,PHI,@LAC,1,10,0,1.0
,Rhett Ellison,NYG,@TB,1,10,0,1.0
,Tyler Higbee,LAR,@DAL,1,10,0,1.0
,O.J. Howard,TB,NYG,1,10,0,1.0
,Nick O'Leary,BUF,@ATL,1,10,0,1.0
,Dwayne Allen,NE,CAR,1,5,0,0.5
