Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Stephen Gostkowski,NE,@PIT,3,0,3,0,12.0
,Justin Tucker,BAL,@CLE,3,0,2,0,11.0
,Chris Boswell,PIT,NE,2,0,3,0,9.0
,Matt Bryant,ATL,@TB,2,0,3,0,9.0
,Kai Forbath,MIN,CIN,2,0,3,0,9.0
,Graham Gano,CAR,GB,2,0,3,0,9.0
,Dustin Hopkins,WAS,ARI,2,0,3,0,9.0
,Josh Lambo,JAC,HOU,2,0,3,0,9.0
,Wil Lutz,NO,NYJ,2,0,3,0,9.0
,Matt Prater,DET,CHI,2,0,3,0,9.0
,Blair Walsh,SEA,LAR,2,0,3,0,9.0
,Greg Zuerlein,LAR,@SEA,2,0,3,0,9.0
,Travis Coons,LAC,@KC,2,0,2,0,8.0
,Mason Crosby,GB,@CAR,2,0,2,0,8.0
,Brandon McManus,DEN,@IND,2,0,2,0,8.0
,Patrick Murray,TB,ATL,2,0,2,0,8.0
,Cody Parkey,MIA,@BUF,2,0,2,0,8.0
,Ryan Succop,TEN,@SF,2,0,2,0,8.0
,Giorgio Tavecchio,OAK,DAL,2,0,2,0,8.0
,Adam Vinatieri,IND,DEN,2,0,2,0,8.0
,Randy Bullock,CIN,@MIN,2,0,1,0,7.0
,Ka'imi Fairbairn,HOU,@JAC,2,0,1,0,7.0
,Steve Hauschka,BUF,MIA,2,0,1,0,7.0
,Aldrick Rosas,NYG,PHI,2,0,1,0,7.0
,Dan Bailey,DAL,@OAK,1,0,3,0,6.0
,Harrison Butker,KC,LAC,1,0,3,0,6.0
,Phil Dawson,ARI,@WAS,1,0,3,0,6.0
,Jake Elliott,PHI,@NYG,1,0,3,0,6.0
,Robbie Gould,SF,TEN,1,0,3,0,6.0
,Zane Gonzalez,CLE,BAL,1,0,2,0,5.0
,Mike Nugent,CHI,@DET,1,0,2,0,5.0
,Chandler Catanzaro,NYJ,@NO,1,0,1,0,4.0
