Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,JAC,26,105,1,2,25,0,19.0
,Ezekiel Elliott,DAL,GB,25,110,1,3,20,0,19.0
,Todd Gurley,LAR,SEA,21,85,1,4,30,0,17.5
,Kareem Hunt,KC,@HOU,20,90,1,4,25,0,17.5
,Carlos Hyde,SF,@IND,18,80,1,3,25,0,16.5
,Leonard Fournette,JAC,@PIT,19,75,1,3,25,0,16.0
,Melvin Gordon,LAC,@NYG,18,70,1,4,25,0,15.5
,Jay Ajayi,MIA,TEN,19,75,1,1,10,0,14.5
,Frank Gore,IND,SF,16,65,1,2,20,0,14.5
,Jordan Howard,CHI,MIN,18,75,1,1,10,0,14.5
,Lamar Miller,HOU,KC,16,65,1,2,20,0,14.5
,DeMarco Murray,TEN,@MIA,15,70,1,1,10,0,14.0
,Marshawn Lynch,OAK,BAL,15,65,1,1,10,0,13.5
,Bilal Powell,NYJ,@CLE,13,50,1,3,25,0,13.5
,Christian McCaffrey,CAR,@DET,6,20,0,5,50,1,13.0
,Duke Johnson,CLE,NYJ,4,15,0,6,45,1,12.0
,Mike Gillislee,NE,@TB,14,55,1,0,0,0,11.5
,LeSean McCoy,BUF,@CIN,19,75,0,4,30,0,10.5
,Ameer Abdullah,DET,CAR,16,65,0,2,20,0,8.5
,Joe Mixon,CIN,BUF,14,55,0,2,20,0,7.5
,LeGarrette Blount,PHI,ARI,15,60,0,1,5,0,6.5
,Aaron Jones,GB,@DAL,13,50,0,2,15,0,6.5
,Elijah McGuire,NYJ,@CLE,13,45,0,2,20,0,6.5
,Javorius Allen,BAL,@OAK,8,30,0,4,30,0,6.0
,Tarik Cohen,CHI,MIN,6,25,0,4,35,0,6.0
,Derrick Henry,TEN,@MIA,14,55,0,1,5,0,6.0
,Jonathan Stewart,CAR,@DET,14,55,0,1,5,0,6.0
,Isaiah Crowell,CLE,NYJ,11,45,0,1,10,0,5.5
,Latavius Murray,MIN,@CHI,11,45,0,1,10,0,5.5
,James White,NE,@TB,3,15,0,6,40,0,5.5
,Giovani Bernard,CIN,BUF,5,20,0,4,30,0,5.0
,Corey Clement,PHI,ARI,10,30,0,2,20,0,5.0
,Andre Ellington,ARI,@PHI,4,15,0,4,35,0,5.0
,Wayne Gallman,NYG,LAC,10,40,0,1,10,0,5.0
,Doug Martin,TB,NE,13,50,0,0,0,0,5.0
,Chris Johnson,ARI,@PHI,9,40,0,1,5,0,4.5
,Eddie Lacy,SEA,@LAR,10,45,0,0,0,0,4.5
,Thomas Rawls,SEA,@LAR,10,40,0,1,5,0,4.5
,Jerick McKinnon,MIN,@CHI,5,20,0,2,20,0,4.0
,Terrance West,BAL,@OAK,9,35,0,1,5,0,4.0
,Matt Breida,SF,@IND,6,25,0,1,10,0,3.5
,Alex Collins,BAL,@OAK,9,35,0,0,0,0,3.5
,D'Onta Foreman,HOU,KC,8,30,0,1,5,0,3.5
,Chris Ivory,JAC,@PIT,6,25,0,1,10,0,3.5
,Jacquizz Rodgers,TB,NE,6,25,0,1,10,0,3.5
,Jamaal Williams,GB,@DAL,7,25,0,1,10,0,3.5
,Austin Ekeler,LAC,@NYG,5,20,0,1,10,0,3.0
,J.D. McKissic,SEA,@LAR,3,10,0,2,20,0,3.0
,Theo Riddick,DET,CAR,3,10,0,3,20,0,3.0
,Mike Tolbert,BUF,@CIN,8,25,0,1,5,0,3.0
,Robert Turbin,IND,SF,5,20,0,1,10,0,3.0
,Shane Vereen,NYG,LAC,3,10,0,2,20,0,3.0
,Charcandrick West,KC,@HOU,4,15,0,1,10,0,2.5
,Kenyan Drake,MIA,TEN,3,10,0,1,10,0,2.0
,Dion Lewis,NE,@TB,3,10,0,1,10,0,2.0
,Jalen Richard,OAK,BAL,3,10,0,1,10,0,2.0
,Charles Sims,TB,NE,3,10,0,1,10,0,2.0
,DeAndre Washington,OAK,BAL,3,10,0,1,10,0,2.0
,Orleans Darkwa,NYG,LAC,3,10,0,1,5,0,1.5
,Kyle Juszczyk,SF,@IND,1,5,0,1,10,0,1.5
,Damien Williams,MIA,TEN,3,10,0,1,5,0,1.5
,Kerwynn Williams,ARI,@PHI,3,10,0,1,5,0,1.5
,Malcolm Brown,LAR,SEA,3,10,0,0,0,0,1.0
,James Conner,PIT,JAC,2,10,0,0,0,0,1.0
,Jeremy Hill,CIN,BUF,3,10,0,0,0,0,1.0
,Alfred Morris,DAL,GB,3,10,0,0,0,0,1.0
,Aaron Ripkowski,GB,@DAL,0,0,0,1,10,0,1.0
,Zach Zenner,DET,CAR,1,5,0,0,0,0,0.5
