Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,NE,24,105,1,5,40,0,20.5
,Kenyan Drake,MIA,@BUF,22,95,1,4,30,0,18.5
,LeSean McCoy,BUF,MIA,23,105,1,2,20,0,18.5
,Alvin Kamara,NO,NYJ,13,65,0,7,55,1,18.0
,Devonta Freeman,ATL,@TB,21,85,1,3,25,0,17.0
,Mark Ingram,NO,NYJ,20,85,1,4,25,0,17.0
,Todd Gurley,LAR,@SEA,16,70,1,5,35,0,16.5
,Alex Collins,BAL,@CLE,20,80,1,2,20,0,16.0
,Kareem Hunt,KC,LAC,23,75,1,4,25,0,16.0
,Melvin Gordon,LAC,@KC,16,70,1,4,25,0,15.5
,Samaje Perine,WAS,ARI,19,75,1,3,20,0,15.5
,Jamaal Williams,GB,@CAR,17,70,1,3,25,0,15.5
,Alfred Morris,DAL,@OAK,21,90,1,0,0,0,15.0
,Latavius Murray,MIN,CIN,19,75,1,2,15,0,15.0
,Mike Davis,SEA,LAR,14,65,1,3,20,0,14.5
,Chris Ivory,JAC,HOU,18,70,1,2,15,0,14.5
,Lamar Miller,HOU,@JAC,18,70,1,2,15,0,14.5
,Jordan Howard,CHI,@DET,18,75,1,1,5,0,14.0
,Carlos Hyde,SF,TEN,15,60,1,2,20,0,14.0
,Jay Ajayi,PHI,@NYG,16,65,1,1,10,0,13.5
,C.J. Anderson,DEN,@IND,16,65,1,1,10,0,13.5
,Frank Gore,IND,DEN,18,60,1,2,15,0,13.5
,Marshawn Lynch,OAK,DAL,16,65,1,1,10,0,13.5
,Theo Riddick,DET,CHI,8,30,1,6,40,0,13.0
,Rex Burkhead,NE,@PIT,8,35,1,4,25,0,12.0
,Jonathan Stewart,CAR,GB,13,50,1,0,0,0,11.0
,Giovani Bernard,CIN,@MIN,16,70,0,3,25,0,9.5
,Christian McCaffrey,CAR,GB,12,35,0,7,50,0,8.5
,Kerwynn Williams,ARI,@WAS,21,70,0,1,10,0,8.0
,Isaiah Crowell,CLE,BAL,14,55,0,2,15,0,7.0
,Jerick McKinnon,MIN,CIN,9,40,0,4,30,0,7.0
,Wayne Gallman,NYG,PHI,10,40,0,3,25,0,6.5
,Doug Martin,TB,ATL,13,45,0,2,20,0,6.5
,DeMarco Murray,TEN,@SF,11,45,0,2,20,0,6.5
,Bilal Powell,NYJ,@NO,10,40,0,2,20,0,6.0
,T.J. Yeldon,JAC,HOU,9,35,0,4,25,0,6.0
,Peyton Barber,TB,ATL,10,40,0,2,15,0,5.5
,Devontae Booker,DEN,@IND,9,35,0,2,20,0,5.5
,Orleans Darkwa,NYG,PHI,9,40,0,2,15,0,5.5
,Derrick Henry,TEN,@SF,13,50,0,1,5,0,5.5
,Duke Johnson,CLE,BAL,5,20,0,4,35,0,5.5
,Matt Forte,NYJ,@NO,9,35,0,2,15,0,5.0
,Dion Lewis,NE,@PIT,10,40,0,1,10,0,5.0
,Rod Smith,DAL,@OAK,7,30,0,2,20,0,5.0
,Austin Ekeler,LAC,@KC,6,25,0,2,20,0,4.5
,Matt Breida,SF,TEN,8,30,0,1,10,0,4.0
,Tarik Cohen,CHI,@DET,4,15,0,3,25,0,4.0
,Tion Green,DET,CHI,10,40,0,0,0,0,4.0
,J.D. McKissic,SEA,LAR,5,20,0,2,20,0,4.0
,Danny Woodhead,BAL,@CLE,3,10,0,4,25,0,3.5
