Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,@KC,25,110,1,3,30,0,20.0
,Todd Gurley,LAR,@JAC,22,90,1,5,35,0,18.5
,Devonta Freeman,ATL,MIA,19,85,1,4,35,0,18.0
,Kareem Hunt,KC,PIT,22,95,1,4,25,0,18.0
,Melvin Gordon,LAC,@OAK,20,80,1,5,30,0,17.0
,Leonard Fournette,JAC,LAR,20,80,1,3,25,0,16.5
,Javorius Allen,BAL,CHI,18,70,1,4,30,0,16.0
,Lamar Miller,HOU,CLE,19,75,1,2,20,0,15.5
,C.J. Anderson,DEN,NYG,19,75,1,1,10,0,14.5
,Jordan Howard,CHI,@BAL,17,70,1,1,10,0,14.0
,Mark Ingram,NO,DET,16,55,1,3,25,0,14.0
,Carlos Hyde,SF,@WAS,13,55,1,2,20,0,13.5
,Marshawn Lynch,OAK,LAC,15,65,1,1,10,0,13.5
,Tevin Coleman,ATL,MIA,10,40,1,4,30,0,13.0
,Alvin Kamara,NO,DET,6,20,0,6,45,1,12.5
,Chris Thompson,WAS,SF,6,25,0,5,40,1,12.5
,LeGarrette Blount,PHI,@CAR,14,55,1,1,5,0,12.0
,Mike Gillislee,NE,@NYJ,15,60,1,0,0,0,12.0
,Duke Johnson,CLE,@HOU,4,15,0,6,45,1,12.0
,D'Onta Foreman,HOU,CLE,10,40,1,1,5,0,10.5
,Jerick McKinnon,MIN,GB,18,65,0,4,35,0,10.0
,Ameer Abdullah,DET,@NO,16,65,0,2,15,0,8.0
,Jay Ajayi,MIA,@ATL,18,70,0,1,5,0,7.5
,Frank Gore,IND,@TEN,16,55,0,2,20,0,7.5
,Elijah McGuire,NYJ,NE,14,50,0,3,25,0,7.5
,DeMarco Murray,TEN,IND,13,60,0,1,10,0,7.0
,Doug Martin,TB,@ARI,15,65,0,0,0,0,6.5
,Christian McCaffrey,CAR,PHI,7,25,0,4,40,0,6.5
,Andre Ellington,ARI,TB,4,15,0,6,45,0,6.0
,Aaron Jones,GB,@MIN,13,50,0,1,10,0,6.0
,Ty Montgomery,GB,@MIN,12,45,0,2,15,0,6.0
,Samaje Perine,WAS,SF,15,60,0,0,0,0,6.0
,Matt Breida,SF,@WAS,10,40,0,2,15,0,5.5
,Matt Forte,NYJ,NE,9,35,0,2,20,0,5.5
,Jonathan Stewart,CAR,PHI,13,50,0,1,5,0,5.5
,Tarik Cohen,CHI,@BAL,5,20,0,4,30,0,5.0
,Alex Collins,BAL,CHI,13,50,0,0,0,0,5.0
,Isaiah Crowell,CLE,@HOU,10,40,0,1,10,0,5.0
,Wayne Gallman,NYG,@DEN,10,40,0,1,10,0,5.0
,Adrian Peterson,ARI,TB,13,45,0,1,5,0,5.0
,Jamaal Charles,DEN,NYG,9,35,0,1,10,0,4.5
,Marlon Mack,IND,@TEN,9,35,0,1,10,0,4.5
,James White,NE,@NYJ,3,15,0,4,30,0,4.5
,Corey Clement,PHI,@CAR,8,25,0,2,15,0,4.0
,Orleans Darkwa,NYG,@DEN,9,35,0,1,5,0,4.0
,Latavius Murray,MIN,GB,8,30,0,1,10,0,4.0
,Theo Riddick,DET,@NO,3,10,0,4,30,0,4.0
,Shane Vereen,NYG,@DEN,3,10,0,4,30,0,4.0
,Derrick Henry,TEN,IND,8,30,0,1,5,0,3.5
,Chris Ivory,JAC,LAR,6,25,0,1,10,0,3.5
,Austin Ekeler,LAC,@OAK,5,20,0,1,10,0,3.0
,Jacquizz Rodgers,TB,@ARI,5,20,0,1,10,0,3.0
,Charcandrick West,KC,PIT,4,15,0,1,10,0,2.5
,Rex Burkhead,NE,@NYJ,2,10,0,1,10,0,2.0
,Benny Cunningham,CHI,@BAL,3,10,0,1,10,0,2.0
,Kenyan Drake,MIA,@ATL,3,10,0,1,10,0,2.0
,Dion Lewis,NE,@NYJ,3,10,0,1,10,0,2.0
,Jalen Richard,OAK,LAC,3,10,0,1,10,0,2.0
,Charles Sims,TB,@ARI,3,10,0,1,10,0,2.0
,DeAndre Washington,OAK,LAC,3,10,0,1,10,0,2.0
,Kyle Juszczyk,SF,@WAS,1,5,0,1,10,0,1.5
,Damien Williams,MIA,@ATL,3,10,0,1,5,0,1.5
,Kerwynn Williams,ARI,TB,3,10,0,1,5,0,1.5
,Malcolm Brown,LAR,@JAC,3,10,0,0,0,0,1.0
,James Conner,PIT,@KC,2,10,0,0,0,0,1.0
,Robert Turbin,IND,@TEN,3,10,0,0,0,0,1.0
,Jamaal Williams,GB,@MIN,3,10,0,0,0,0,1.0
