Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Keenan Allen,LAC,OAK,8,110,1,17.0
,Julio Jones,ATL,CAR,7,105,1,16.5
,Michael Thomas,NO,@TB,7,100,1,16.0
,Marvin Jones,DET,GB,5,90,1,15.0
,Keelan Cole,JAC,@TEN,6,85,1,14.5
,Mike Evans,TB,NO,7,85,1,14.5
,Marquise Goodwin,SF,@LAR,6,85,1,14.5
,T.Y. Hilton,IND,HOU,6,85,1,14.5
,Brandin Cooks,NE,NYJ,5,80,1,14.0
,A.J. Green,CIN,@BAL,6,80,1,14.0
,JuJu Smith-Schuster,PIT,CLE,6,80,1,14.0
,Adam Thielen,MIN,CHI,6,80,1,14.0
,Robby Anderson,NYJ,@NE,5,75,1,13.5
,Dede Westbrook,JAC,@TEN,6,75,1,13.5
,Jamison Crowder,WAS,@NYG,6,70,1,13.0
,Larry Fitzgerald,ARI,@SEA,6,70,1,13.0
,Jarvis Landry,MIA,BUF,7,70,1,13.0
,Mike Wallace,BAL,CIN,5,70,1,13.0
,Randall Cobb,GB,@DET,5,60,1,12.5
,Josh Doctson,WAS,@NYG,5,65,1,12.5
,Demaryius Thomas,DEN,KC,5,65,1,12.5
,Doug Baldwin,SEA,ARI,5,60,1,12.0
,Kelvin Benjamin,BUF,@MIA,4,55,1,11.5
,Josh Reynolds,LAR,SF,4,55,1,11.5
,Demarcus Robinson,KC,@DEN,4,55,1,11.5
,Stefon Diggs,MIN,CHI,4,50,1,11.0
,Michael Crabtree,OAK,@LAC,5,60,0,6.0
,Devin Funchess,CAR,@ATL,4,60,0,6.0
,Josh Gordon,CLE,@PIT,4,60,0,6.0
,Rishard Matthews,TEN,JAC,4,60,0,6.0
,Golden Tate,DET,GB,6,60,0,6.0
,Will Fuller,HOU,@IND,4,55,0,5.5
,Alshon Jeffery,PHI,DAL,4,55,0,5.5
,Kenny Stills,MIA,BUF,4,55,0,5.5
,Tyrell Williams,LAC,OAK,5,55,0,5.5
,Kendall Wright,CHI,@MIN,4,55,0,5.5
,Nelson Agholor,PHI,DAL,3,50,0,5.0
,Dez Bryant,DAL,@PHI,4,50,0,5.0
,Martavis Bryant,PIT,CLE,3,45,0,5.0
,Jermaine Kearse,NYJ,@NE,3,50,0,5.0
,Paul Richardson,SEA,ARI,3,50,0,5.0
,Mohamed Sanu,ATL,CAR,4,50,0,5.0
,Trent Taylor,SF,@LAR,4,50,0,5.0
,Dontrelle Inman,CHI,@MIN,3,45,0,4.5
,DeSean Jackson,TB,NO,3,45,0,4.5
,Roger Lewis,NYG,WAS,3,45,0,4.5
,Braxton Miller,HOU,@IND,3,45,0,4.5
,Albert Wilson,KC,@DEN,3,45,0,4.5
,Geronimo Allison,GB,@DET,3,40,0,4.0
,Danny Amendola,NE,NYJ,4,40,0,4.0
,Amari Cooper,OAK,@LAC,3,40,0,4.0
,Eric Decker,TEN,JAC,3,40,0,4.0
,Bennie Fowler,DEN,KC,3,40,0,4.0
,Ted Ginn Jr.,NO,@TB,3,40,0,4.0
,Adam Humphries,TB,NO,4,40,0,4.0
,Brandon LaFell,CIN,@BAL,3,40,0,4.0
,DeVante Parker,MIA,BUF,3,40,0,4.0
,Chester Rogers,IND,HOU,3,40,0,4.0
,Travis Rudolph,NYG,WAS,3,40,0,4.0
,Ryan Switzer,DAL,@PHI,3,40,0,4.0
,Deonte Thompson,BUF,@MIA,3,40,0,4.0
,Terrance Williams,DAL,@PHI,3,40,0,4.0
,Robert Woods,LAR,SF,3,40,0,4.0
,Michael Campanaro,BAL,CIN,2,35,0,3.5
,Corey Davis,TEN,JAC,2,35,0,3.5
,Ryan Grant,WAS,@NYG,3,35,0,3.5
,J.J. Nelson,ARI,@SEA,3,35,0,3.5
,Eli Rogers,PIT,CLE,3,35,0,3.5
,Kaelin Clay,CAR,@ATL,2,30,0,3.0
,Corey Coleman,CLE,@PIT,2,30,0,3.0
,Kenny Golladay,DET,GB,2,30,0,3.0
,Jakeem Grant,MIA,BUF,2,25,0,3.0
,Allen Hurns,JAC,@TEN,2,30,0,3.0
,Tyler Lockett,SEA,ARI,2,30,0,3.0
,Louis Murphy,SF,@LAR,2,30,0,3.0
,Sammy Watkins,LAR,SF,2,30,0,3.0
,Travis Benjamin,LAC,OAK,2,25,0,2.5
,Jaron Brown,ARI,@SEA,2,25,0,2.5
,Michael Clark,GB,@DET,2,25,0,2.5
,Chris Godwin,TB,NO,2,25,0,2.5
,Zay Jones,BUF,@MIA,2,25,0,2.5
,Torrey Smith,PHI,DAL,1,25,0,2.5
,Tavon Austin,LAR,SF,1,10,0,2.0
,Josh Bellamy,CHI,@MIN,1,20,0,2.0
,Brandon Coleman,NO,@TB,1,20,0,2.0
,Taylor Gabriel,ATL,CAR,2,20,0,2.0
,Justin Hardy,ATL,CAR,1,20,0,2.0
,Jeff Janis,GB,@DET,1,20,0,2.0
,Seth Roberts,OAK,@LAC,1,20,0,2.0
,Aldrick Robinson,SF,@LAR,1,20,0,2.0
,Laquon Treadwell,MIN,CHI,1,20,0,2.0
,Phillip Dorsett,NE,NYJ,1,15,0,1.5
,Cordarrelle Patterson,OAK,@LAC,1,10,0,1.5
,Willie Snead,NO,@TB,1,15,0,1.5
,Kamar Aiken,IND,HOU,1,10,0,1.0
,Maurice Harris,WAS,@NYG,1,10,0,1.0
,Darrius Heyward-Bey,PIT,CLE,1,10,0,1.0
,Ricardo Louis,CLE,@PIT,1,10,0,1.0
,Russell Shepard,CAR,@ATL,1,10,0,1.0
,Jordan Taylor,DEN,KC,1,10,0,1.0
