Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Stephen Gostkowski,NE,@OAK,3,0,3,0,12.0
,Wil Lutz,NO,WAS,3,0,3,0,12.0
,Matt Prater,DET,@CHI,3,0,2,0,11.0
,Justin Tucker,BAL,@GB,3,0,2,0,11.0
,Jake Elliott,PHI,@DAL,2,0,3,0,9.0
,Giorgio Tavecchio,OAK,NE,2,0,3,0,9.0
,Greg Zuerlein,LAR,@MIN,2,0,3,0,9.0
,Connor Barth,CHI,DET,2,0,2,0,8.0
,Chris Boswell,PIT,TEN,2,0,2,0,8.0
,Matt Bryant,ATL,@SEA,2,0,2,0,8.0
,Harrison Butker,KC,@NYG,2,0,2,0,8.0
,Phil Dawson,ARI,@HOU,2,0,2,0,8.0
,Ka'imi Fairbairn,HOU,ARI,2,0,2,0,8.0
,Josh Lambo,JAC,@CLE,2,0,2,0,8.0
,Patrick Murray,TB,@MIA,2,0,2,0,8.0
,Aldrick Rosas,NYG,KC,2,0,2,0,8.0
,Ryan Succop,TEN,@PIT,2,0,2,0,8.0
,Blair Walsh,SEA,ATL,2,0,2,0,8.0
,Steve Hauschka,BUF,@LAC,2,0,1,0,7.0
,Kai Forbath,MIN,LAR,1,0,3,0,6.0
,Brandon McManus,DEN,CIN,1,0,3,0,6.0
,Nick Novak,LAC,BUF,1,0,3,0,6.0
,Mike Nugent,DAL,PHI,1,0,3,0,6.0
,Cody Parkey,MIA,TB,1,0,3,0,6.0
,Nick Rose,WAS,@NO,1,0,3,0,6.0
,Randy Bullock,CIN,@DEN,1,0,2,0,5.0
,Mason Crosby,GB,BAL,1,0,2,0,5.0
,Zane Gonzalez,CLE,JAC,1,0,1,0,4.0
