Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Rob Gronkowski,NE,BUF,5,80,1,14.0
,Travis Kelce,KC,MIA,6,75,1,13.5
,Evan Engram,NYG,@ARI,6,70,1,13.0
,Zach Ertz,PHI,OAK,6,65,1,12.5
,Delanie Walker,TEN,LAR,6,65,1,12.5
,Greg Olsen,CAR,TB,5,60,1,12.0
,Charles Clay,BUF,@NE,5,55,1,11.5
,Jimmy Graham,SEA,@DAL,5,55,1,11.5
,Jack Doyle,IND,@BAL,6,50,1,11.0
,Eric Ebron,DET,@CIN,4,45,1,10.5
,Ben Watson,BAL,IND,4,45,1,10.5
,Cameron Brate,TB,@CAR,3,40,1,10.0
,Garrett Celek,SF,JAC,3,40,1,10.0
,Kyle Rudolph,MIN,@GB,4,40,1,10.0
,Jason Witten,DAL,SEA,5,50,0,5.0
,Adam Shaheen,CHI,CLE,4,45,0,4.5
,Jared Cook,OAK,@PHI,3,40,0,4.0
,Vernon Davis,WAS,DEN,4,40,0,4.0
,Antonio Gates,LAC,@NYJ,3,35,0,3.5
,David Njoku,CLE,@CHI,3,35,0,3.5
,Jesse James,PIT,@HOU,3,30,0,3.0
,Tyler Kroft,CIN,DET,3,30,0,3.0
,Austin Seferian-Jenkins,NYJ,LAC,4,30,0,3.0
,Stephen Anderson,HOU,PIT,2,25,0,2.5
,Jermaine Gresham,ARI,NYG,2,25,0,2.5
,Austin Hooper,ATL,@NO,2,25,0,2.5
,Ricky Seals-Jones,ARI,NYG,2,25,0,2.5
,Julius Thomas,MIA,@KC,2,25,0,2.5
,Virgil Green,DEN,@WAS,2,20,0,2.0
,Josh Hill,NO,ATL,2,20,0,2.0
,Marcedes Lewis,JAC,@SF,2,20,0,2.0
,Richard Rodgers,GB,MIN,2,20,0,2.0
,Seth Devalve,CLE,@CHI,1,15,0,1.5
,Gerald Everett,LAR,@TEN,1,15,0,1.5
,Tyler Higbee,LAR,@TEN,1,15,0,1.5
,George Kittle,SF,JAC,1,15,0,1.5
,Dwayne Allen,NE,BUF,1,10,0,1.0
,Trey Burton,PHI,OAK,1,10,0,1.0
,Ed Dickson,CAR,TB,1,10,0,1.0
,Lance Kendricks,GB,MIN,1,10,0,1.0
,Dion Sims,CHI,CLE,1,10,0,1.0
,Ross Travis,IND,@BAL,1,10,0,1.0
