Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Leonard Fournette,JAC,@NYJ,24,100,1,3,25,0,18.5
,Kareem Hunt,KC,WAS,22,95,1,4,25,0,18.0
,Ezekiel Elliott,DAL,LAR,23,95,1,3,20,0,17.5
,LeSean McCoy,BUF,@ATL,16,70,0,5,40,1,17.0
,Le'Veon Bell,PIT,@BAL,20,80,1,2,25,0,16.5
,Chris Carson,SEA,IND,21,85,1,2,20,0,16.5
,Dalvin Cook,MIN,DET,20,80,1,4,25,0,16.5
,Todd Gurley,LAR,@DAL,20,80,1,4,25,0,16.5
,Devonta Freeman,ATL,BUF,18,80,1,2,20,0,16.0
,Melvin Gordon,LAC,PHI,16,65,1,6,35,0,16.0
,C.J. Anderson,DEN,OAK,18,70,1,3,25,0,15.5
,Carlos Hyde,SF,@ARI,18,70,1,3,25,0,15.5
,Ty Montgomery,GB,CHI,16,60,1,4,35,0,15.5
,Jay Ajayi,MIA,NO,20,80,1,1,10,0,15.0
,Christian McCaffrey,CAR,@NE,7,25,0,7,65,1,15.0
,Joe Mixon,CIN,@CLE,18,70,1,2,20,0,15.0
,Mark Ingram,NO,@MIA,16,55,0,4,30,1,14.5
,Mike Gillislee,NE,CAR,18,70,1,1,10,0,14.0
,Tarik Cohen,CHI,@GB,9,35,0,5,40,1,13.5
,DeMarco Murray,TEN,@HOU,13,60,1,1,10,0,13.0
,Jacquizz Rodgers,TB,NYG,15,60,1,1,10,0,13.0
,Chris Thompson,WAS,@KC,6,25,0,6,45,1,13.0
,Duke Johnson,CLE,CIN,4,15,0,6,45,1,12.0
,Jordan Howard,CHI,@GB,20,75,0,2,15,0,9.0
,Ameer Abdullah,DET,@MIN,14,55,0,3,25,0,8.0
,Frank Gore,IND,@SEA,14,55,0,2,20,0,7.5
,Lamar Miller,HOU,TEN,15,60,0,2,15,0,7.5
,Bilal Powell,NYJ,JAC,13,50,0,3,25,0,7.5
,Marshawn Lynch,OAK,@DEN,14,60,0,1,10,0,7.0
,Giovani Bernard,CIN,@CLE,7,30,0,4,35,0,6.5
,Isaiah Crowell,CLE,CIN,14,55,0,1,10,0,6.5
,Wendell Smallwood,PHI,@LAC,15,45,0,2,20,0,6.5
,Rob Kelley,WAS,@KC,14,55,0,1,5,0,6.0
,Javorius Allen,BAL,PIT,8,30,0,3,25,0,5.5
,Tevin Coleman,ATL,BUF,9,35,0,2,20,0,5.5
,Jonathan Stewart,CAR,@NE,13,50,0,1,5,0,5.5
,Derrick Henry,TEN,@HOU,11,45,0,1,5,0,5.0
,Chris Johnson,ARI,SF,10,45,0,1,5,0,5.0
,Terrance West,BAL,PIT,10,40,0,1,10,0,5.0
,James White,NE,CAR,3,15,0,5,35,0,5.0
,Jamaal Charles,DEN,OAK,9,35,0,1,10,0,4.5
,Chris Ivory,JAC,@NYJ,9,35,0,1,10,0,4.5
,Alvin Kamara,NO,@MIA,4,15,0,4,30,0,4.5
,Elijah McGuire,NYJ,JAC,8,30,0,2,15,0,4.5
,Theo Riddick,DET,@MIN,3,10,0,4,30,0,4.0
,LeGarrette Blount,PHI,@LAC,9,35,0,0,0,0,3.5
,Andre Ellington,ARI,SF,3,10,0,3,25,0,3.5
,D'Onta Foreman,HOU,TEN,8,30,0,1,5,0,3.5
,Charles Sims,TB,NYG,4,15,0,2,20,0,3.5
,Matt Breida,SF,@ARI,5,20,0,1,10,0,3.0
,Branden Oliver,LAC,PHI,5,20,0,1,10,0,3.0
,Paul Perkins,NYG,@TB,6,25,0,1,5,0,3.0
,Adrian Peterson,NO,@MIA,9,30,0,0,0,0,3.0
,Jalen Richard,OAK,@DEN,5,20,0,1,10,0,3.0
,Mike Tolbert,BUF,@ATL,7,20,0,1,10,0,3.0
,Robert Turbin,IND,@SEA,5,20,0,1,10,0,3.0
,Shane Vereen,NYG,@TB,3,10,0,2,20,0,3.0
,DeAndre Washington,OAK,@DEN,4,15,0,1,10,0,2.5
,Charcandrick West,KC,WAS,4,15,0,1,10,0,2.5
,Kenyan Drake,MIA,NO,3,10,0,1,10,0,2.0
,Jerick McKinnon,MIN,DET,3,10,0,1,10,0,2.0
,Thomas Rawls,SEA,IND,4,15,0,1,5,0,2.0
,Jamaal Williams,GB,CHI,5,20,0,0,0,0,2.0
,Kerwynn Williams,ARI,SF,4,15,0,1,5,0,2.0
,Orleans Darkwa,NYG,@TB,3,10,0,1,5,0,1.5
,Kyle Juszczyk,SF,@ARI,1,5,0,1,10,0,1.5
,Damien Williams,MIA,NO,3,10,0,1,5,0,1.5
,Malcolm Brown,LAR,@DAL,3,10,0,0,0,0,1.0
,James Conner,PIT,@BAL,2,10,0,0,0,0,1.0
,Tyler Ervin,HOU,TEN,1,5,0,1,5,0,1.0
,Jeremy Hill,CIN,@CLE,3,10,0,0,0,0,1.0
,Dion Lewis,NE,CAR,3,10,0,0,0,0,1.0
,Alfred Morris,DAL,LAR,3,10,0,0,0,0,1.0
,Samaje Perine,WAS,@KC,3,10,0,0,0,0,1.0
,Aaron Ripkowski,GB,CHI,0,0,0,1,10,0,1.0
,Zach Zenner,DET,@MIN,1,5,0,0,0,0,0.5
