Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Russell Wilson,SEA,@SF,22,35,265,2,0,7,35,1,30.8
,Tom Brady,NE,MIA,25,37,310,3,0,0,0,0,27.5
,Cam Newton,CAR,@NYJ,22,34,265,2,0,8,45,0,25.8
,Marcus Mariota,TEN,@IND,22,36,270,2,1,4,25,0,24.0
,Carson Wentz,PHI,CHI,22,35,275,2,0,4,20,0,23.8
,Kirk Cousins,WAS,NYG,23,38,280,2,1,3,15,0,23.5
,Ryan Fitzpatrick,TB,@ATL,23,38,285,2,1,2,10,0,23.3
,Jacoby Brissett,IND,TEN,21,36,255,2,1,5,20,0,22.8
,Case Keenum,MIN,@DET,23,39,270,2,1,3,10,0,22.5
,Matthew Stafford,DET,MIN,23,36,270,2,0,3,10,0,22.5
,Jared Goff,LAR,NO,24,36,255,2,1,3,10,0,21.8
,Matt Moore,MIA,@NE,22,36,255,2,0,2,10,0,21.8
,Matt Ryan,ATL,TB,24,35,265,2,0,1,5,0,21.8
,Alex Smith,KC,BUF,21,31,235,2,0,4,20,0,21.8
,Drew Brees,NO,@LAR,25,39,270,2,0,0,0,0,21.5
,Andy Dalton,CIN,CLE,22,35,255,2,1,1,5,0,21.3
,Ben Roethlisberger,PIT,GB,22,38,255,2,1,0,0,0,20.8
,Philip Rivers,LAC,@DAL,21,32,250,2,1,0,0,0,20.5
,Derek Carr,OAK,DEN,20,32,245,2,1,0,0,0,20.3
,Dak Prescott,DAL,LAC,21,34,240,1,0,4,30,0,19.0
,Tyrod Taylor,BUF,@KC,16,27,210,1,0,7,40,0,18.5
,Blaine Gabbert,ARI,JAC,18,29,220,1,1,7,25,0,17.5
,C.J. Beathard,SF,SEA,20,32,240,1,1,2,10,0,17.0
,Blake Bortles,JAC,@ARI,18,29,220,1,1,5,20,0,17.0
,Mitchell Trubisky,CHI,@PHI,16,27,195,1,1,7,30,0,16.8
,Brett Hundley,GB,@PIT,18,32,210,1,2,4,20,0,16.5
,Josh McCown,NYJ,CAR,20,31,230,1,1,1,5,0,16.0
,Joe Flacco,BAL,HOU,19,33,225,1,1,2,5,0,15.8
,DeShone Kizer,CLE,@CIN,16,29,175,1,1,6,30,0,15.8
,Eli Manning,NYG,@WAS,18,30,230,1,1,0,0,0,15.5
,Paxton Lynch,DEN,@OAK,16,24,205,1,1,3,10,0,15.3
,Tom Savage,HOU,@BAL,19,32,225,1,1,0,0,0,15.3
