"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Rob Gronkowski","TE","NE","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","69.8","0.7"
"2","Travis Kelce","TE","KC","PHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","59.4","0.5"
"3","Jordan Reed","TE","WAS","@LA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","56.0","0.6"
"4","Jimmy Graham","TE","SEA","SF","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","50.8","0.3"
"5","Greg Olsen","TE","CAR","BUF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","59.3","0.4"
"6","Martellus Bennett","TE","NE","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","42.4","0.4"
"7","Delanie Walker","TE","TEN","@JAC","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","50.8","0.4"
"8","Zach Ertz","TE","PHI","@KC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","51.7","0.2"
"9","Kyle Rudolph","TE","MIN","@PIT","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","51.4","0.3"
"10","Coby Fleener","TE","NO","NE","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","45.0","0.2"
"11","Antonio Gates","TE","LAC","MIA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","30.8","0.3"
"12","Jared Cook","TE","OAK","NYJ","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","33.7","0.2"
"13","Hunter Henry","TE","LAC","MIA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","37.3","0.3"
"14","Charles Clay","TE","BUF","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","46.2","0.2"
"15","Evan Engram","TE","NYG","DET","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","30.0","0.3"
"16","Austin Hooper","TE","ATL","GB","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","34.2","0.3"
"17","Tyler Eifert","TE","CIN","HOU","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","45.6","0.5"
"18","Cameron Brate","TE","TB","CHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","31.2","0.3"
"19","Zach Miller","TE","CHI","@TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","37.5","0.3"
"20","Jason Witten","TE","DAL","@DEN","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","42.9","0.1"
"21","Eric Ebron","TE","DET","@NYG","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","48.5","0.2"
"22","Julius Thomas","TE","MIA","@LAC","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","33.2","0.3"
"23","Jesse James","TE","PIT","MIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","22.4","0.2"
