"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Stephen Gostkowski","K","NE","BUF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","Jake Elliott","K","PHI","OAK","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","Chris Boswell","K","PIT","@HOU","Mon 4:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","Wil Lutz","K","NO","ATL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","Justin Tucker","K","BAL","IND","Sat 4:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","Matt Prater","K","DET","@CIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","Josh Lambo","K","JAC","@SF","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","Phil Dawson","K","ARI","NYG","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","Kai Forbath","K","MIN","@GB","Sat 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","Harrison Butker","K","KC","MIA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","Brandon McManus","K","DEN","@WAS","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","Matt Bryant","K","ATL","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","Ryan Succop","K","TEN","LA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","Sam Ficken","K","LA","@TEN","Sun 1:00 PM","-","-","-","-","-","-","-"
"15","Dan Bailey","K","DAL","SEA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","Graham Gano","K","CAR","TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","Nick Rose","K","LAC","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Mike Nugent","K","CHI","CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","Blair Walsh","K","SEA","@DAL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","Robbie Gould","K","SF","JAC","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
