"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Antonio Brown","WR","PIT","@CHI","Sun 1:00 PM","0.0","0.0","0.0","0.9","0.0","97.4","0.7"
"2","Julio Jones","WR","ATL","@DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","79.4","0.6"
"3","A.J. Green","WR","CIN","@GB","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","83.9","0.5"
"4","Mike Evans","WR","TB","@MIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","78.3","0.7"
"5","Jordy Nelson","WR","GB","CIN","Sun 4:25 PM","1.0","0.0","0.0","0.0","0.0","69.7","0.7"
"6","Odell Beckham","WR","NYG","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.2","0.0","72.8","0.6"
"7","Demaryius Thomas","WR","DEN","@BUF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","71.2","0.5"
"8","Keenan Allen","WR","LAC","KC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","70.1","0.6"
"9","Michael Thomas","WR","NO","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","67.0","0.5"
"10","Amari Cooper","WR","OAK","@WAS","Sun 8:30 PM","0.0","0.0","0.0","0.7","0.0","83.3","0.6"
"11","Doug Baldwin","WR","SEA","@TEN","Sun 4:05 PM","0.0","0.0","0.0","0.5","0.0","79.3","0.5"
"12","Larry Fitzgerald","WR","ARI","DAL","Mon 8:30 PM","0.0","0.0","0.0","0.1","0.0","64.0","0.3"
"13","Emmanuel Sanders","WR","DEN","@BUF","Sun 1:00 PM","0.0","0.0","0.0","0.4","0.0","65.1","0.3"
"14","Martavis Bryant","WR","PIT","@CHI","Sun 1:00 PM","0.0","0.0","0.0","0.4","0.0","55.1","0.4"
"15","Terrelle Pryor","WR","WAS","OAK","Sun 8:30 PM","0.0","0.0","0.0","0.9","0.0","67.7","0.6"
"16","Kelvin Benjamin","WR","BUF","DEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","64.9","0.4"
"17","Tyreek Hill","WR","KC","@LAC","Sun 4:25 PM","0.0","0.0","0.0","7.7","0.0","74.7","0.5"
"18","Dez Bryant","WR","DAL","@ARI","Mon 8:30 PM","0.6","0.0","0.0","-0.0","0.0","71.7","0.5"
"19","Brandin Cooks","WR","NE","HOU","Sun 1:00 PM","0.0","0.0","0.0","0.7","0.0","72.0","0.5"
"20","Davante Adams","WR","GB","CIN","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","56.0","0.5"
"21","J.J. Nelson","WR","ARI","DAL","Mon 8:30 PM","0.0","0.0","0.0","0.1","0.0","48.3","0.4"
"22","Michael Crabtree","WR","OAK","@WAS","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","78.1","0.6"
"23","Alshon Jeffery","WR","PHI","NYG","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","75.5","0.5"
"24","DeAndre Hopkins","WR","HOU","@NE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","78.3","0.4"
"25","Golden Tate","WR","DET","ATL","Sun 1:00 PM","0.8","0.0","0.0","1.2","0.0","70.0","0.5"
"26","DeSean Jackson","WR","TB","@MIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","43.7","0.2"
"27","DeVante Parker","WR","MIA","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","53.4","0.3"
"28","Jarvis Landry","WR","MIA","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","1.2","0.0","81.2","0.4"
"29","Jamison Crowder","WR","WAS","OAK","Sun 8:30 PM","0.2","0.0","0.0","0.4","0.0","52.9","0.4"
"30","Jeremy Maclin","WR","BAL","@JAC","Sun 9:30 AM","0.0","0.0","0.0","0.4","0.0","54.2","0.4"
"31","Devin Funchess","WR","CAR","NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","24.6","0.2"
"32","Marqise Lee","WR","JAC","BAL","Sun 9:30 AM","0.0","0.0","0.0","0.2","0.0","64.9","0.2"
"33","Kendall Wright","WR","CHI","PIT","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","35.6","0.3"
"34","Tyrell Williams","WR","LAC","KC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","46.4","0.4"
"35","Eric Decker","WR","TEN","SEA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","47.2","0.4"
"36","Pierre Garcon","WR","SF","LA","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","61.9","0.4"
"37","T.Y. Hilton","WR","IND","CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","60.4","0.6"
"38","Jermaine Kearse","WR","NYJ","MIA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","54.4","0.3"
"39","Adam Thielen","WR","MIN","TB","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","49.7","0.4"
"40","Stefon Diggs","WR","MIN","TB","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","67.3","0.3"
"41","Sammy Watkins","WR","LA","@SF","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","62.0","0.2"
"42","Rishard Matthews","WR","TEN","SEA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","46.6","0.5"
"43","Allen Hurns","WR","JAC","BAL","Sun 9:30 AM","0.0","0.0","0.0","0.0","0.0","55.4","0.2"
"44","Chris Hogan","WR","NE","HOU","Sun 1:00 PM","0.0","0.0","0.0","1.8","0.0","48.5","0.5"
"45","Mohamed Sanu","WR","ATL","@DET","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","48.1","0.5"
"46","Rashard Higgins","WR","CLE","@IND","Sun 1:00 PM","0.0","0.0","0.0","0.3","0.0","47.3","0.1"
"47","Taywan Taylor","WR","TEN","SEA","Sun 4:05 PM","-","-","-","-","-","-","-"
"48","Sterling Shepard","WR","NYG","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.9","0.0","44.0","0.3"
"49","Cooper Kupp","WR","LA","@SF","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","55.9","0.3"
"50","Mike Wallace","WR","BAL","@JAC","Sun 9:30 AM","0.0","0.0","0.0","1.1","0.0","43.0","0.2"
