"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Russell Wilson","QB","SEA","WAS","Sun 4:05 PM","283.5","1.8","0.9","14.4","0.2","0.0","0.0"
"2","Drew Brees","QB","NO","TB","Sun 1:00 PM","297.8","2.8","0.6","4.1","0.1","-0.1","0.0"
"3","Dak Prescott","QB","DAL","KC","Sun 4:25 PM","221.3","1.7","0.7","33.6","0.5","0.7","0.0"
"4","Alex Smith","QB","KC","@DAL","Sun 4:25 PM","247.3","2.4","0.6","19.3","0.2","0.0","0.0"
"5","Tyrod Taylor","QB","BUF","@NYJ","Thu 8:25 PM","217.0","1.8","0.3","29.0","0.2","-0.3","0.0"
"6","Cam Newton","QB","CAR","ATL","Sun 1:00 PM","242.5","1.7","0.8","32.4","0.4","0.1","0.0"
"7","Carson Wentz","QB","PHI","DEN","Sun 1:00 PM","247.0","1.8","0.7","22.1","0.2","0.0","0.0"
"8","Matthew Stafford","QB","DET","@GB","Mon 8:30 PM","246.7","1.5","1.0","13.2","0.1","0.4","0.0"
"9","Derek Carr","QB","OAK","@MIA","Sun 8:30 PM","290.7","1.9","0.8","8.4","0.1","0.0","0.0"
"10","Jameis Winston","QB","TB","@NO","Sun 1:00 PM","321.6","1.6","1.0","7.1","0.2","0.0","0.0"
"11","Kirk Cousins","QB","WAS","@SEA","Sun 4:05 PM","276.3","1.5","1.2","8.1","0.1","0.6","0.0"
"12","Marcus Mariota","QB","TEN","BAL","Sun 1:00 PM","208.7","1.2","1.1","21.4","0.3","0.0","0.0"
"13","Jared Goff","QB","LA","@NYG","Sun 1:00 PM","235.2","1.4","0.6","18.4","0.1","0.0","0.0"
"14","Josh McCown","QB","NYJ","BUF","Thu 8:25 PM","253.3","1.4","1.3","3.5","0.1","0.0","0.0"
"15","Matt Ryan","QB","ATL","@CAR","Sun 1:00 PM","313.0","1.9","1.0","3.2","0.1","0.0","0.0"
"16","Jacoby Brissett","QB","IND","@HOU","Sun 1:00 PM","238.0","1.1","1.1","22.3","0.1","1.4","0.0"
"17","Jay Cutler","QB","MIA","OAK","Sun 8:30 PM","227.7","1.3","0.9","10.8","0.1","0.0","0.0"
"18","C.J. Beathard","QB","SF","ARI","Sun 4:05 PM","208.9","1.3","1.0","16.6","0.1","0.4","0.0"
"19","Eli Manning","QB","NYG","LA","Sun 1:00 PM","246.6","1.3","1.6","9.3","0.0","0.2","0.0"
"20","Andy Dalton","QB","CIN","@JAC","Sun 1:00 PM","205.3","1.3","1.2","8.5","0.1","0.0","0.0"
"21","Blake Bortles","QB","JAC","CIN","Sun 1:00 PM","184.2","1.2","0.5","21.1","0.1","0.0","0.0"
"22","Drew Stanton","QB","ARI","@SF","Sun 4:05 PM","200.2","0.9","0.9","16.5","0.1","-0.1","0.0"
"23","Brock Osweiler","QB","DEN","@PHI","Sun 1:00 PM","229.5","1.5","1.3","6.3","0.0","0.5","0.0"
"24","Brett Hundley","QB","GB","DET","Mon 8:30 PM","199.2","0.9","0.9","20.1","0.1","0.0","0.0"
"25","Joe Flacco","QB","BAL","@TEN","Sun 1:00 PM","218.8","1.2","0.8","10.1","0.1","0.0","0.0"
