"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Tom Brady","QB","NE","MIA","Sun 1:00 PM","338.4","3.1","0.5","0.8","0.0","-0.0","0.0"
"2","Russell Wilson","QB","SEA","@SF","Sun 4:05 PM","264.2","2.0","0.9","25.8","0.2","0.0","0.0"
"3","Carson Wentz","QB","PHI","CHI","Sun 1:00 PM","262.7","2.4","0.6","25.1","0.1","0.0","0.0"
"4","Philip Rivers","QB","LAC","@DAL","Thu 4:30 PM","290.0","2.0","0.6","0.7","0.1","-0.2","0.0"
"5","Kirk Cousins","QB","WAS","NYG","Thu 8:30 PM","296.2","2.5","0.7","6.2","0.1","0.0","0.0"
"6","Cam Newton","QB","CAR","@NYJ","Sun 1:00 PM","239.1","1.3","0.6","28.0","0.2","0.0","0.0"
"7","Drew Brees","QB","NO","@LA","Sun 4:25 PM","285.6","2.4","1.0","8.0","0.1","0.0","0.0"
"8","Jared Goff","QB","LA","NO","Sun 4:25 PM","249.4","1.6","0.8","26.5","0.1","0.1","0.0"
"9","Tyrod Taylor","QB","BUF","@KC","Sun 1:00 PM","211.4","1.3","0.7","26.2","0.1","-0.1","0.0"
"10","Ben Roethlisberger","QB","PIT","GB","Sun 8:30 PM","280.4","2.4","0.5","1.7","0.0","-0.1","0.0"
"11","Marcus Mariota","QB","TEN","@IND","Sun 1:00 PM","255.5","1.8","0.7","14.0","0.3","-0.1","0.0"
"12","Matt Ryan","QB","ATL","TB","Sun 1:00 PM","305.7","2.3","0.7","3.4","0.0","0.0","0.0"
"13","Derek Carr","QB","OAK","DEN","Sun 4:25 PM","268.5","1.9","0.7","6.2","0.0","0.0","0.0"
"14","Matthew Stafford","QB","DET","MIN","Thu 12:30 PM","263.4","1.6","1.1","13.6","0.1","0.0","0.0"
"15","Josh McCown","QB","NYJ","CAR","Sun 1:00 PM","246.2","1.8","1.0","2.3","0.1","0.0","0.0"
"16","Alex Smith","QB","KC","BUF","Sun 1:00 PM","224.7","1.8","0.5","25.3","0.3","0.0","0.0"
"17","Case Keenum","QB","MIN","@DET","Thu 12:30 PM","239.4","1.7","0.5","12.7","0.1","-0.1","0.0"
"18","Dak Prescott","QB","DAL","LAC","Thu 4:30 PM","225.6","1.4","1.0","37.8","0.2","0.0","0.0"
"19","Blake Bortles","QB","JAC","@ARI","Sun 4:25 PM","218.4","1.1","0.7","23.5","0.1","0.0","0.0"
"20","Brett Hundley","QB","GB","@PIT","Sun 8:30 PM","206.8","0.8","1.1","18.9","0.0","0.0","0.0"
"21","Jameis Winston","QB","TB","@ATL","Sun 1:00 PM","-","-","-","-","-","-","-"
"22","Andy Dalton","QB","CIN","CLE","Sun 1:00 PM","249.2","1.6","0.6","4.6","0.1","0.0","0.0"
"23","Blaine Gabbert","QB","ARI","JAC","Sun 4:25 PM","169.8","0.7","1.4","1.9","0.0","0.0","0.0"
"24","Joe Flacco","QB","BAL","HOU","Mon 8:30 PM","202.7","0.8","1.0","3.3","0.0","0.0","0.0"
"25","Jimmy Garoppolo","QB","SF","SEA","Sun 4:05 PM","-","-","-","-","-","-","-"
"26","Trevor Siemian","QB","DEN","@OAK","Sun 4:25 PM","-","-","-","-","-","-","-"
"27","Mitchell Trubisky","QB","CHI","@PHI","Sun 1:00 PM","173.9","0.7","0.9","16.0","0.1","0.0","0.0"
"28","DeShone Kizer","QB","CLE","@CIN","Sun 1:00 PM","180.8","0.9","0.7","24.9","0.2","0.3","0.0"
"29","Tom Savage","QB","HOU","@BAL","Mon 8:30 PM","160.9","0.9","1.1","2.7","0.0","0.0","0.0"
"30","Jacoby Brissett","QB","IND","TEN","Sun 1:00 PM","216.5","1.7","0.9","14.5","0.1","0.0","0.0"
"31","Matt Moore","QB","MIA","@NE","Sun 1:00 PM","227.9","1.1","1.1","4.3","0.0","-0.2","0.0"
"32","Geno Smith","QB","NYG","@WAS","Thu 8:30 PM","-","-","-","-","-","-","-"
