"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Minnesota Vikings","DST","MIN","CHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","Baltimore Ravens","DST","BAL","CIN","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","Seattle Seahawks","DST","SEA","ARI","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","Pittsburgh Steelers","DST","PIT","CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","New England Patriots","DST","NE","NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","Los Angeles Chargers","DST","LAC","OAK","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","Denver Broncos","DST","DEN","KC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","Indianapolis Colts","DST","IND","HOU","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","Washington Redskins","DST","WAS","@NYG","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","Detroit Lions","DST","DET","GB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","Dallas Cowboys","DST","DAL","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","New Orleans Saints","DST","NO","@TB","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","Tennessee Titans","DST","TEN","JAC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","Buffalo Bills","DST","BUF","@MIA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","San Francisco 49ers","DST","SF","@LA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
