"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Tom Brady","QB","NE","@TB","Thu 8:25 PM","339.7","2.4","0.8","4.5","0.1","-0.1","0.0"
"2","Aaron Rodgers","QB","GB","@DAL","Sun 4:25 PM","309.3","2.2","0.6","12.2","0.1","0.7","0.0"
"3","Jameis Winston","QB","TB","NE","Thu 8:25 PM","298.6","2.4","0.7","11.2","0.1","0.0","0.0"
"4","Dak Prescott","QB","DAL","GB","Sun 4:25 PM","249.7","1.5","0.5","26.4","0.3","0.7","0.0"
"5","Russell Wilson","QB","SEA","@LA","Sun 4:05 PM","283.3","1.9","0.9","22.2","0.1","0.0","0.0"
"6","Carson Wentz","QB","PHI","ARI","Sun 1:00 PM","248.2","1.3","1.1","15.9","0.3","0.0","0.0"
"7","Matthew Stafford","QB","DET","CAR","Sun 1:00 PM","274.6","1.8","1.0","11.4","0.2","-0.1","0.0"
"8","Deshaun Watson","QB","HOU","KC","Sun 8:30 PM","220.4","1.5","1.2","25.8","0.3","0.0","0.0"
"9","Tyrod Taylor","QB","BUF","@CIN","Sun 1:00 PM","213.5","1.2","0.6","33.0","0.2","0.1","0.0"
"10","Eli Manning","QB","NYG","LAC","Sun 1:00 PM","274.0","1.5","1.0","12.7","0.1","0.0","0.0"
"11","Carson Palmer","QB","ARI","@PHI","Sun 1:00 PM","258.8","1.6","1.0","6.5","0.0","0.2","0.0"
"12","Cam Newton","QB","CAR","@DET","Sun 1:00 PM","211.7","1.4","0.8","32.2","0.2","-0.1","0.0"
"13","Philip Rivers","QB","LAC","@NYG","Sun 1:00 PM","270.1","1.7","1.2","4.7","0.0","0.0","0.0"
"14","Ben Roethlisberger","QB","PIT","JAC","Sun 1:00 PM","248.1","1.9","0.8","10.4","0.1","0.0","0.0"
"15","Andy Dalton","QB","CIN","BUF","Sun 1:00 PM","248.9","1.7","0.9","8.3","0.1","-0.1","0.0"
"16","Alex Smith","QB","KC","@HOU","Sun 8:30 PM","260.3","1.6","0.9","17.4","0.1","0.0","0.0"
"17","DeShone Kizer","QB","CLE","NYJ","Sun 1:00 PM","241.8","1.6","0.9","26.7","0.2","-0.0","0.0"
"18","Jacoby Brissett","QB","IND","SF","Sun 1:00 PM","198.0","1.1","0.6","17.8","0.1","0.9","0.0"
"19","Brian Hoyer","QB","NE","@TB","Thu 8:25 PM","228.2","1.6","0.6","11.0","0.1","-0.2","0.0"
"20","Jay Cutler","QB","MIA","TEN","Sun 1:00 PM","234.7","1.8","0.7","6.8","0.2","-0.1","0.0"
"21","Sam Bradford","QB","MIN","@CHI","Mon 8:30 PM","146.0","1.1","0.4","1.8","0.0","0.0","0.0"
"22","Jared Goff","QB","LA","SEA","Sun 4:05 PM","252.2","1.9","0.8","5.7","0.1","0.0","0.0"
"23","Blake Bortles","QB","JAC","@PIT","Sun 1:00 PM","234.1","1.3","1.0","16.7","0.1","0.0","0.0"
"24","Matt Cassel","QB","TEN","@MIA","Sun 1:00 PM","228.8","1.2","0.9","5.1","0.0","-0.1","0.0"
"25","Josh McCown","QB","NYJ","@CLE","Sun 1:00 PM","258.8","1.9","0.7","3.0","0.0","0.0","0.0"
"26","Joe Flacco","QB","BAL","@OAK","Sun 4:05 PM","263.6","1.6","0.8","10.5","0.1","0.4","0.0"
"27","Mitchell Trubisky","QB","CHI","MIN","Mon 8:30 PM","219.6","1.0","1.3","14.7","0.1","0.0","0.0"
"28","EJ Manuel","QB","OAK","BAL","Sun 4:05 PM","227.9","1.1","1.1","24.5","0.2","-0.2","0.0"
