"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Rob Gronkowski","TE","NE","NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","64.8","1.0"
"2","Jimmy Graham","TE","SEA","ARI","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","46.2","0.3"
"3","Greg Olsen","TE","CAR","@ATL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","46.5","0.4"
"4","Vernon Davis","TE","WAS","@NYG","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","37.5","0.3"
"5","Eric Ebron","TE","DET","GB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","33.8","0.2"
"6","Antonio Gates","TE","LAC","OAK","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","37.5","0.5"
"7","Delanie Walker","TE","TEN","JAC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","52.0","0.2"
"8","Jack Doyle","TE","IND","HOU","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","44.1","0.3"
"9","Cameron Brate","TE","TB","NO","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","38.5","0.4"
"10","Kyle Rudolph","TE","MIN","CHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","23.8","0.2"
"11","Charles Clay","TE","BUF","@MIA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","41.8","0.2"
"12","Rhett Ellison","TE","NYG","WAS","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","23.6","0.2"
"13","Jared Cook","TE","OAK","@LAC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","41.1","0.3"
"14","Austin Hooper","TE","ATL","CAR","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","27.4","0.4"
"15","Benjamin Watson","TE","BAL","CIN","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","29.9","0.4"
"16","Stephen Anderson","TE","HOU","@IND","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","27.9","0.3"
"17","Jason Witten","TE","DAL","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","45.4","0.1"
"18","Travis Kelce","TE","KC","@DEN","Sun 4:25 PM","-","-","-","-","-","-","-"
"19","Zach Ertz","TE","PHI","DAL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","26.3","0.2"
"20","George Kittle","TE","SF","@LA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","28.8","0.1"
