"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Rob Gronkowski","TE","NE","BUF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","74.0","0.8"
"2","Travis Kelce","TE","KC","MIA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","62.8","0.4"
"3","Zach Ertz","TE","PHI","OAK","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","58.4","0.4"
"4","Jimmy Graham","TE","SEA","@DAL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","51.5","0.3"
"5","Greg Olsen","TE","CAR","TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","50.2","0.4"
"6","Evan Engram","TE","NYG","@ARI","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","49.5","0.4"
"7","Delanie Walker","TE","TEN","LA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","49.8","0.3"
"8","Kyle Rudolph","TE","MIN","@GB","Sat 8:30 PM","0.0","0.0","0.0","0.0","0.0","48.7","0.4"
"9","Antonio Gates","TE","LAC","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","32.2","0.2"
"10","Vernon Davis","TE","WAS","DEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","38.7","0.3"
"11","Cameron Brate","TE","TB","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","39.4","0.5"
"12","Eric Ebron","TE","DET","@CIN","Sun 1:00 PM","0.7","0.0","0.0","0.0","0.0","33.1","0.1"
"13","Jack Doyle","TE","IND","@BAL","Sat 4:30 PM","0.0","0.0","0.0","0.0","0.0","42.4","0.2"
"14","Jared Cook","TE","OAK","@PHI","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","36.7","0.3"
"15","Charles Clay","TE","BUF","@NE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","43.8","0.4"
"16","Austin Hooper","TE","ATL","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","32.1","0.3"
"17","Tyler Kroft","TE","CIN","DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","26.9","0.3"
"18","Jesse James","TE","PIT","@HOU","Mon 4:30 PM","0.0","0.0","0.0","0.0","0.0","29.9","0.2"
"19","Jason Witten","TE","DAL","SEA","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","48.4","0.2"
"20","Ricky Seals-Jones","TE","ARI","NYG","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","27.7","0.3"
"21","Benjamin Watson","TE","BAL","IND","Sat 4:30 PM","0.0","0.0","0.0","0.0","0.0","26.9","0.5"
"22","Stephen Anderson","TE","HOU","PIT","Mon 4:30 PM","0.0","0.0","0.0","0.0","0.0","25.3","0.3"
"23","Garrett Celek","TE","SF","JAC","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","19.9","0.1"
"24","Marcedes Lewis","TE","JAC","@SF","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","21.2","0.2"
"25","Adam Shaheen","TE","CHI","CLE","Sun 1:00 PM","-","-","-","-","-","-","-"
