Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Le'Veon Bell,22,98,4.4,0,5,39,8.0,0,0,17
Todd Gurley,20,73,3.6,0,3,35,11.5,0,0,16.8
Leonard Fournette,19,90,4.7,0,1,17,8.9,0,0,14.6
Jordan Howard,22,91,4.1,0,1,10,7.6,0,0,13.4
LeSean McCoy,18,89,4.9,0,4,27,6.8,0,0,12.6
Devonta Freeman,15,64,4.3,0,3,25,7.8,0,0,12
Melvin Gordon,15,61,3.9,0,3,22,7.1,0,0,11.2
Mark Ingram,17,70,4.2,0,3,25,6.5,0,0,10.8
Ameer Abdullah,16,54,3.3,0,2,15,6.9,0,0,10
Alvin Kamara,7,31,4.3,0,5,47,8.7,0,0,9.6
Lamar Miller,18,69,3.8,0,2,15,8.0,0,0,9.2
Bilal Powell,13,58,4.4,0,2,21,7.7,0,0,9.2
Jerick McKinnon,11,42,3.8,0,3,23,6.9,0,0,8.6
DeMarco Murray,13,54,4.0,0,2,16,6.8,0,0,8.2
Doug Martin,14,50,3.6,0,1,12,9.0,0,0,8.2
Alfred Morris,14,62,4.2,0,1,8,6.6,0,0,8.2
Joe Mixon,15,42,2.8,0,2,27,9.6,0,0,8.2
Carlos Hyde,13,50,3.8,0,2,14,6.7,0,0,7.6
Isaiah Crowell,13,54,4.0,0,2,19,8.3,0,0,7.6
Chris Thompson,5,23,4.0,0,4,42,10.4,0,0,7.4
Tevin Coleman,8,37,4.6,0,1,22,11.6,0,0,7.2
Thomas Rawls,13,41,3.1,0,1,12,8.5,0,0,7
Frank Gore,14,49,3.4,0,2,15,7.7,0,0,6.6
Tarik Cohen,7,29,4.1,0,3,32,9.9,0,0,6.2
Orleans Darkwa,12,48,3.9,0,1,9,6.5,0,0,6.2
Ty Montgomery,11,45,4.0,0,2,15,7.0,0,0,6
Adrian Peterson,19,56,3.0,0,1,7,7.0,0,0,6
Aaron Jones,13,58,4.3,0,0,3,5.4,0,0,6
Duke Johnson,3,17,4.5,0,4,40,8.5,0,0,6
James White,3,11,3.4,0,3,30,8.2,0,0,5.6
Dion Lewis,10,40,4.0,0,1,8,7.2,0,0,5.6
Derrick Henry,10,43,4.1,0,1,6,6.9,0,0,5.6
Elijah McGuire,9,35,3.8,0,1,10,7.8,0,0,5.4
Marlon Mack,7,28,3.6,0,1,18,9.9,0,0,5.2
C.J. Anderson,11,46,4.2,0,1,8,7.6,0,0,5
Theo Riddick,3,9,2.9,0,4,35,8.7,0,0,4.6
Mike Gillislee,9,32,3.6,0,0,4,6.7,0,0,4.4
Latavius Murray,10,38,3.6,0,0,5,6.4,0,0,4
Wayne Gallman,9,35,3.7,0,0,5,6.0,0,0,4
Rod Smith,8,35,4.1,0,0,2,7.0,0,0,4
Devontae Booker,6,24,4.1,0,1,17,10.2,0,0,4
Mike Tolbert,6,29,4.6,0,1,6,6.1,0,0,3.6
C.J. Prosise,3,9,2.9,0,2,35,14.2,0,0,3.4
D'Onta Foreman,10,39,3.8,0,0,3,9.2,0,0,3.2
Matt Breida,4,17,3.7,0,1,10,7.6,0,0,3
Giovani Bernard,4,17,3.6,0,1,11,9.8,0,0,3
Rex Burkhead,3,13,3.4,0,1,14,9.3,0,0,3
Austin Ekeler,3,11,3.4,0,1,10,6.7,0,0,3
